level,n,throughput_targets_per_s,gpu_time_ms,kernel_time_ms,conv_rate,avg_iters
A0,100,134008,0.751,,1.0,4.31
A0,500,21094,23.710,,0.804,35.74
A0,5000,30695,162.900,,0.834,30.86
A1,100,138125,0.728,,1.0,4.31
A2,100,138562,0.726,,1.0,4.31
A3,100,129712,0.775,,1.0,4.31
A4,100,141015,0.713,,1.0,4.31
A4,500,21176,23.620,,0.806,35.64
A5,100,52064,1.925,,1.0,12.43
A5,500,59821,8.360,,1.0,13.32
A5,5000,71380,70.060,,1.0,13.11
A6,100,43223,2.318,,1.0,13.66
A6,500,50981,9.810,,1.0,14.88
A6,5000,56932,87.830,,1.0,14.63
A7,100,107250,0.932,0.915,1.0,13.95
A7,500,149787,3.338,3.315,0.998,14.54
A7,1000,140246,7.130,7.101,0.998,15.34
A7,5000,180962,27.630,27.537,0.9998,14.66
A8,100,111238,0.899,0.899,1.0,13.95
