N,Method,Graph,GPU_stream_ms_mean,GPU_stream_ms_std,raw_tps,success_rate,valid_tps
100,CUDA-Mixed,--,1.24,0.04,80757,1.0,80757
100,cuRobo,On,2.60,0.13,38398,1.0,38398
500,CUDA-Mixed,--,3.89,0.05,128404,0.998,128147
500,cuRobo,On,2.60,0.14,192400,1.0,192400
1000,CUDA-Mixed,--,7.21,0.49,138719,1.0,138719
1000,cuRobo,On,2.99,0.24,334189,1.0,334189
4000,CUDA-Mixed,--,25.44,1.11,157236,1.0,157236
4000,cuRobo,On,27.50,0.84,145437,0.9998,145401
5000,CUDA-Mixed,--,31.75,0.50,157481,0.999,157387
5000,cuRobo,On,4.73,0.29,1056171,1.0,1056171
10000,CUDA-Mixed,--,63.51,0.60,157454,0.9995,157375
10000,cuRobo,On,61.29,1.26,163160,0.9999,163144
