experiment_name,run_id,process_mode,order_mode,cache_policy,N,max_batch_size,actual_batch_size,repeat,warmup,use_cuda_graph,host_wall_mean_ms,host_wall_std_ms,host_wall_min_ms,host_wall_max_ms,host_wall_median_ms,throughput_mean_tps,conv_rate,memory_allocated_before,memory_allocated_after,memory_reserved_before,memory_reserved_after,max_memory_allocated,max_memory_reserved,num_cuda_malloc_events,num_cuda_free_events,num_cuda_sync_events,notes
phase4_fixed_max_batch,0,single_process,ordered,keep_cache,100,10000,100,30,3,False,31.592808703620296,1.5215917557131966,29.560521012172103,35.97901700413786,31.23432249412872,3165.2772926308626,1.0,932.25146484375,934.181640625,1976.0,1978.0,993.05419921875,1978.0,nan,nan,nan,
phase4_fixed_max_batch,1,single_process,ordered,keep_cache,500,10000,500,30,3,False,31.52268146319936,2.572967370359462,28.465459996368736,41.95301700383425,30.81513149663806,15861.594787985181,1.0,471.5703125,473.50048828125,1978.0,1978.0,993.05419921875,1978.0,nan,nan,nan,
phase4_fixed_max_batch,2,single_process,ordered,keep_cache,1000,10000,1000,30,3,False,32.24897266482003,2.6543358233555967,28.041342011420056,41.849098983220756,32.41522450116463,31008.73973237871,1.0,900.68359375,902.61376953125,2124.0,2124.0,993.05419921875,2124.0,nan,nan,nan,
phase4_fixed_max_batch,3,single_process,ordered,keep_cache,2000,10000,2000,30,3,False,31.515874363443192,2.741990249767516,28.924929996719584,43.94558200147003,30.696026995428838,63460.082907295066,1.0,1328.197265625,1330.12744140625,2256.0,2258.0,1357.7392578125,2258.0,nan,nan,nan,
phase4_fixed_max_batch,4,single_process,ordered,keep_cache,3000,10000,3000,30,3,False,30.849567464125965,1.3874775545264297,29.905314004281536,36.80538199841976,30.3245524992235,97246.09602674689,1.0,1757.44384765625,1759.3740234375,2610.0,2612.0,1786.486328125,2612.0,nan,nan,nan,
phase4_fixed_max_batch,5,single_process,ordered,keep_cache,4000,10000,4000,30,3,False,230.09721689935154,9.91661342621518,217.1661329921335,255.09662498370744,228.73736849578563,17383.956459367644,1.0,2191.16064453125,2193.0908203125,3108.0,3110.0,2232.8974609375,3110.0,nan,nan,nan,
phase4_fixed_max_batch,6,single_process,ordered,keep_cache,5000,10000,5000,30,3,False,31.93901506892871,2.337075022753577,28.967985999770463,39.81758700683713,31.318831010139547,156548.34656639613,1.0,473.0302734375,474.96044921875,3114.0,3114.0,2232.8974609375,3114.0,nan,nan,nan,
phase4_fixed_max_batch,7,single_process,ordered,keep_cache,6000,10000,6000,30,3,False,33.93578399942877,5.643831728900946,28.54525198927149,59.645614004693925,32.86218001449015,176804.51997516825,1.0,903.40625,905.33642578125,3136.0,3136.0,2232.8974609375,3136.0,nan,nan,nan,
phase4_fixed_max_batch,8,single_process,ordered,keep_cache,7000,10000,7000,30,3,False,225.40221116602575,9.653715900377524,212.43953800876625,252.16150199412368,224.06759750447236,31055.59596682027,0.9998571428571429,477.34228515625,479.2724609375,3158.0,3158.0,2232.8974609375,3158.0,nan,nan,nan,
phase4_fixed_max_batch,9,single_process,ordered,keep_cache,8000,10000,8000,30,3,False,31.756614265032113,1.834775031324093,29.70203699078411,36.24311799649149,30.937960982555524,251916.02395753417,1.0,908.033203125,909.96337890625,3162.0,3162.0,2232.8974609375,3162.0,nan,nan,nan,
phase4_fixed_max_batch,10,single_process,ordered,keep_cache,9000,10000,9000,30,3,False,231.90917909960262,8.71688505206062,217.2490599914454,256.37129801907577,229.88973850442562,38808.29570844452,0.9998888888888889,477.98583984375,479.916015625,3162.0,3162.0,2232.8974609375,3162.0,nan,nan,nan,
phase4_fixed_max_batch,11,single_process,ordered,keep_cache,10000,10000,10000,30,3,False,228.08700193515202,8.38709378275258,216.50866500567645,243.08224400738254,227.53049299353734,43842.91921572595,1.0,911.74755859375,913.677734375,3162.0,3162.0,2232.8974609375,3162.0,nan,nan,nan,
