N,CUDA_B5_TP_targets_per_s,CUDA_B5_GPU_time_ms,CUDA_B5_ConvRate,CUDA_B5_AvgIters,cuRobo_TP_targets_per_s,cuRobo_Host_time_ms,cuRobo_ConvRate,cuRobo_Status,Speedup_B5_vs_cuRobo,Speedup_Note
100,112414,0.890,1.000,13.95,3118,32.08,1.000,normal,36.1x,小批量per-target开销碾压
500,158251,3.160,0.998,14.55,15844,31.56,1.000,normal,10.0x,批量弹性开始显现
1000,148412,6.738,0.998,15.34,31611,31.63,1.000,normal,4.7x,差距继续缩小
2000,156007,12.820,1.000,~15,62455,32.02,1.000,normal,2.5x,批量弹性持续
3000,160785,18.659,1.000,~15,95300,31.48,1.000,normal,1.69x,接近交汇点
4000,166898,23.967,0.999,~15,18297,218.61,0.9998,DEGRADED,9.1x,🔴 崩塌!cuRobo触发内部重分配
5000,168683,29.641,0.9998,15.24,155059,32.25,1.000,normal,1.09x,恢复-两条路线基本持平
6000,167030,35.921,0.9998,~15,182869,32.81,1.000,normal,0.91x,cuRobo正常模式略快(1.10x)
7000,166933,41.934,0.9996,~15,30643,228.44,0.9999,DEGRADED,5.4x,🔴 再次崩塌!不可预测
8000,173709,46.050,0.9999,~15,248732,32.16,1.000,normal,0.70x,cuRobo正常模式更快(1.43x)
9000,164979,54.554,0.9999,~15,38126,236.06,0.9999,DEGRADED,4.3x,🔴 第三次崩塌!
10000,165550,60.405,0.9996,15.73,41832,239.05,1.000,DEGRADED,3.96x,🔴 持续崩塌-不可恢复

# 实验配置:
# Robot: UR10 (official URDF), TCP: tool0
# Threshold: Medium (position=0.01m=10mm, orientation=0.08727rad=5°)
# Seed strategy: zero_seed, Seed: 42
# Repeat: 30, Max iterations: 160
# CUDA B5: A7 binary (FP32 FK/Jacobian + FP64 LDLT), weight_level=2
# cuRobo: bench_curobo.py (max_batch_size=N, num_seeds=1, seed_solver_num_seeds=1, self_collision_check=False)
# GPU: NVIDIA GeForce RTX 4090 (assumed based on driver)
# Date: 2026-06-12
#
# cuRobo Status列说明:
#   normal   = ~32ms host time, expected GPU utilization scaling
#   DEGRADED = ~230ms host time (7x normal), likely GPU workspace reallocation triggered
# 模式: N=4000,7000,9000,10000 持续触发退化; N=5000,6000,8000 正常
# 振荡不可从N值大小预测: N=4000退化但N=5000正常, N=8000正常但N=9000退化
