tier,N,throughput_targets_per_s,convergence_rate,host_api_total_ms_mean,avg_pos_error_m,avg_rot_error_rad
loose,100,3139.8397326797535,1.0,31.848759336086612,9.328517999672256e-08,1.234913513559482e-07
loose,500,15732.745593629537,1.0,31.780848233029246,1.1357505275124439e-07,1.3027209267955122e-07
loose,1000,32867.44734617134,1.0,30.425240800347336,1.2564815432323472e-07,1.2519040038428894e-07
loose,5000,157396.55240265708,1.0,31.766896565871622,1.177906050881769e-07,1.2177778813698393e-07
medium,100,3117.6219075255954,1.0,32.075730465779394,9.328517999672256e-08,1.234913513559482e-07
medium,500,15843.805145063832,1.0,31.55807556468062,1.1357505275124439e-07,1.3027209267955122e-07
medium,1000,31610.912822720788,1.0,31.63464483319937,1.2564815432323472e-07,1.2519040038428894e-07
medium,5000,155059.36584175768,1.0,32.245714232461374,1.177906050881769e-07,1.2177778813698393e-07
strict,100,3062.046189760426,1.0,32.65790056805903,9.328517999672256e-08,1.234913513559482e-07
strict,500,16823.842159968957,1.0,29.719727232683606,1.1357505275124439e-07,1.3027209267955122e-07
strict,1000,33629.66158251741,1.0,29.73565456632059,1.2564815432323472e-07,1.2519040038428894e-07
strict,5000,155675.98857587253,1.0,32.117991000025846,1.177906050881769e-07,1.2177778813698393e-07
