N,Threshold,PosTol_m,RotTol_rad,CUDA_B5_TP,CUDA_B5_ConvRate,cuRobo_TP,cuRobo_ConvRate,Speedup_B5_vs_cuRobo,Repeat,SeedStrategy,Date
100,Loose,0.030,0.1745,103361,1.000,3140,1.000,32.9x,30,zero_seed,2026-06-12
100,Medium,0.010,0.0873,112414,1.000,3118,1.000,36.1x,30,zero_seed,2026-06-12
100,Strict,0.005,0.0175,108545,1.000,3062,1.000,35.5x,30,zero_seed,2026-06-12
500,Loose,0.030,0.1745,143925,0.996,15733,1.000,9.1x,30,zero_seed,2026-06-12
500,Medium,0.010,0.0873,158251,0.998,15844,1.000,10.0x,30,zero_seed,2026-06-12
500,Strict,0.005,0.0175,150832,0.998,16824,1.000,9.0x,30,zero_seed,2026-06-12
1000,Loose,0.030,0.1745,153620,0.998,32867,1.000,4.7x,30,zero_seed,2026-06-12
1000,Medium,0.010,0.0873,148412,0.998,31611,1.000,4.7x,30,zero_seed,2026-06-12
1000,Strict,0.005,0.0175,145052,0.998,33630,1.000,4.3x,30,zero_seed,2026-06-12
5000,Loose,0.030,0.1745,175075,0.9994,157397,1.000,1.11x,30,zero_seed,2026-06-12
5000,Medium,0.010,0.0873,168683,0.9998,155059,1.000,1.09x,30,zero_seed,2026-06-12
5000,Strict,0.005,0.0175,164030,0.9998,155676,1.000,1.05x,30,zero_seed,2026-06-12
10000,Loose,0.030,0.1745,171492,0.9987,42892,1.000,4.00x,30,zero_seed,2026-06-12
10000,Medium,0.010,0.0873,165550,0.9996,41832,1.000,3.96x,30,zero_seed,2026-06-12
10000,Strict,0.005,0.0175,164210,0.9996,44828,1.000,3.66x,30,zero_seed,2026-06-12
