target_id,q_sampled,position_xyz,rotation_matrix,quaternion_wxyz,transform_row_major,within_joint_limits,fk_verified
0,"[0.0033926197570001405, -1.5726502176422068, 1.571974176148096, 0.004359671832597256, 1.5679872940772686, -0.0030809636999534727]","[0.6623772220802859, 0.16644814019064427, 0.6236470031724908]","[-0.006212913252445697, 0.0036644762646984947, 0.9999739853229296, 0.9999759853016199, 0.0030933970329324167, 0.006201589703556868, -0.0030705909809354724, 0.9999885011881396, -0.003683607270827259]","[0.4982963165902542, 0.4985923427474216, 0.5032370012122035, 0.49985895734414076]","[-0.006212913252445697, 0.0036644762646984947, 0.9999739853229296, 0.6623772220802859, 0.9999759853016199, 0.0030933970329324167, 0.006201589703556868, 0.16644814019064427, -0.0030705909809354724, 0.9999885011881396, -0.003683607270827259, 0.6236470031724908, 0.0, 0.0, 0.0, 1.0]",True,True
1,"[-0.005973750490587639, -1.5760858444504255, 1.5615294761832719, 0.0037668174792712134, 1.5798769014746783, 0.007156537215786317]","[0.6634038744921916, 0.1591436365172222, 0.6329232245789733]","[0.01497563024241137, -0.010896600915954808, 0.9998284825845484, 0.9998615451981577, -0.007091214006658215, -0.015053408845312762, 0.0072540287285714575, 0.9999154858148713, 0.010788896830300713]","[0.5046467361100372, 0.5028115818621247, 0.4917174643330835, 0.5007255936624738]","[0.01497563024241137, -0.010896600915954808, 0.9998284825845484, 0.6634038744921916, 0.9998615451981577, -0.007091214006658215, -0.015053408845312762, 0.1591436365172222, 0.0072540287285714575, 0.9999154858148713, 0.010788896830300713, 0.6329232245789733, 0.0, 0.0, 0.0, 1.0]",True,True
2,"[-0.008138031178517203, -1.5670420972269308, 1.57741279163356, -0.0018184720075361714, 1.5714460065226024, -0.009921194934129185]","[0.6670855448955788, 0.15845764367090237, 0.6168763711582161]","[0.008702298538229368, 0.008638595683336057, 0.9999248195063325, 0.999912866226208, 0.00985105631294227, -0.008787300200225407, -0.009926225639243358, 0.9999141619929877, -0.008552116136941772]","[0.5024940891976317, 0.5018474266054944, 0.5024193651501838, 0.49317708001586175]","[0.008702298538229368, 0.008638595683336057, 0.9999248195063325, 0.6670855448955788, 0.999912866226208, 0.00985105631294227, -0.008787300200225407, 0.15845764367090237, -0.009926225639243358, 0.9999141619929877, -0.008552116136941772, 0.6168763711582161, 0.0, 0.0, 0.0, 1.0]",True,True
3,"[0.0013167493133405081, -1.575824937172153, 1.5706950672749127, -0.006769975885979318, 1.5738275917780238, 0.005385747330744094]","[0.6625687256556686, 0.1645340971748449, 0.6276334005454273]","[0.0016501876636453756, -0.011908614988718756, 0.9999277282732614, 0.999983942469748, -0.005401381478329793, -0.0017146080558245447, 0.00542140971835695, 0.9999145013285765, 0.011899510472691135]","[0.502032946293868, 0.49878654218745805, 0.4952395683871932, 0.5038974856772395]","[0.0016501876636453756, -0.011908614988718756, 0.9999277282732614, 0.6625687256556686, 0.999983942469748, -0.005401381478329793, -0.0017146080558245447, 0.1645340971748449, 0.00542140971835695, 0.9999145013285765, 0.011899510472691135, 0.6276334005454273, 0.0, 0.0, 0.0, 1.0]",True,True
4,"[-0.003945665350300287, -1.5759725395829838, 1.5580833783920394, 0.0004893139893158178, 1.5684456049971833, -0.007292413172923534]","[0.6638819965092988, 0.16153954448144633, 0.6354509166341198]","[0.0017221346573533345, -0.017386737900696166, 0.9998473561486243, 0.9999716365553785, 0.0073609881703492995, -0.0015943456067281975, -0.00733214409157774, 0.9998217427113337, 0.0173989213657591]","[0.506577250820016, 0.4942069974012015, 0.49705128813514715, 0.5020746454806436]","[0.0017221346573533345, -0.017386737900696166, 0.9998473561486243, 0.6638819965092988, 0.9999716365553785, 0.0073609881703492995, -0.0015943456067281975, 0.16153954448144633, -0.00733214409157774, 0.9998217427113337, 0.0173989213657591, 0.6354509166341198, 0.0, 0.0, 0.0, 1.0]",True,True
5,"[0.0022191069193461194, -1.5722607290822237, 1.5624315283090888, 4.107031120910345e-05, 1.577013766148343, 0.003729505333521074]","[0.6643382435626062, 0.16484239812513046, 0.6301324809954607]","[0.003961492016393959, -0.00980279281834163, 0.999944104354821, 0.9999849704720911, -0.003751186855556352, -0.003998428079324238, 0.0037901729426075286, 0.9999449154079114, 0.009787785190213096]","[0.5024933060128888, 0.49948095401169623, 0.4956055729957637, 0.5023886642902523]","[0.003961492016393959, -0.00980279281834163, 0.999944104354821, 0.6643382435626062, 0.9999849704720911, -0.003751186855556352, -0.003998428079324238, 0.16484239812513046, 0.0037901729426075286, 0.9999449154079114, 0.009787785190213096, 0.6301324809954607, 0.0, 0.0, 0.0, 1.0]",True,True
6,"[-0.0007155988767908865, -1.566582607058894, 1.5607406198560698, 0.004167866906833477, 1.5727585707088545, -0.0013315379218658055]","[0.6673794275095635, 0.1632825471850585, 0.6270924327462173]","[0.002680063619697685, -0.0016705521658036877, 0.999995013244794, 0.9999955264940694, 0.001332731161915503, -0.002677838587213731, -0.0013282510468599004, 0.9999977165389484, 0.0016741164968805539]","[0.5014197122367882, 0.49991829731489656, 0.49924406632561424, 0.49941498818999897]","[0.002680063619697685, -0.0016705521658036877, 0.999995013244794, 0.6673794275095635, 0.9999955264940694, 0.001332731161915503, -0.002677838587213731, 0.1632825471850585, -0.0013282510468599004, 0.9999977165389484, 0.0016741164968805539, 0.6270924327462173, 0.0, 0.0, 0.0, 1.0]",True,True
7,"[0.0020892059355266755, -1.5731940010194405, 1.567625655710805, 0.008149253347783452, 1.557859574118764, 0.00732073491324844]","[0.6623706749185115, 0.1665179265513974, 0.6265474341905732]","[-0.015006053570775155, 0.0026908257990410217, 0.9998837821530812, 0.9998603585390571, -0.0073144508099977235, 0.015025386234514201, 0.007354031437193579, 0.9999696286717249, -0.0025806890074996755]","[0.49373545715588607, 0.4987206347863305, 0.5025615116003902, 0.5049108375181883]","[-0.015006053570775155, 0.0026908257990410217, 0.9998837821530812, 0.6623706749185115, 0.9998603585390571, -0.0073144508099977235, 0.015025386234514201, 0.1665179265513974, 0.007354031437193579, 0.9999696286717249, -0.0025806890074996755, 0.6265474341905732, 0.0, 0.0, 0.0, 1.0]",True,True
8,"[-0.015351875795149307, -1.5719343692210137, 1.5685392098354383, 0.005371653613009471, 1.5655942089843045, -0.0037011288793958085]","[0.6660159842229113, 0.15421461242736426, 0.6253606454648504]","[0.010142209985708396, 0.0020138111698364053, 0.9999465386415306, 0.9999417549724541, 0.003670588728089736, -0.010149553733919377, -0.0036908317781081715, 0.9999912356330737, -0.001976465993697886]","[0.5029503784470443, 0.5021075799197112, 0.49887494543624844, 0.4960369782819885]","[0.010142209985708396, 0.0020138111698364053, 0.9999465386415306, 0.6660159842229113, 0.9999417549724541, 0.003670588728089736, -0.010149553733919377, 0.15421461242736426, -0.0036908317781081715, 0.9999912356330737, -0.001976465993697886, 0.6253606454648504, 0.0, 0.0, 0.0, 1.0]",True,True
9,"[0.0049923039086444245, -1.5779746679803386, 1.567206031579559, 0.008427214794495257, 1.5674969305728945, -0.0007048301511840341]","[0.6595156704791292, 0.16753978064298466, 0.6299631986559555]","[-0.008289943732276725, -0.002347234081243321, 0.9999628829737048, 0.9999653839508451, 0.0006931172460565886, 0.008291591434816552, -0.0007125538256090877, 0.9999970050358404, 0.002341406926303308]","[0.49868441434440364, 0.4971608220926513, 0.5016576656575752, 0.5024784158082124]","[-0.008289943732276725, -0.002347234081243321, 0.9999628829737048, 0.6595156704791292, 0.9999653839508451, 0.0006931172460565886, 0.008291591434816552, 0.16753978064298466, -0.0007125538256090877, 0.9999970050358404, 0.002341406926303308, 0.6299631986559555, 0.0, 0.0, 0.0, 1.0]",True,True
