target_id,pos_error_m,rot_error_rad,num_iterations,converged
0,1.683932700688e-03,5.070476445959e-03,17.000000,1
1,1.547127666747e-03,1.012333139924e-03,13.000000,1
2,2.970366247542e-03,2.017151586754e-03,14.000000,1
3,7.437722207308e-03,6.721209648381e-03,16.000000,1
4,6.430557193416e-03,1.284146318305e-03,18.000000,1
5,3.400205071848e-04,4.971292472351e-04,17.000000,1
6,3.132761711287e-03,8.944011297411e-03,14.000000,1
7,3.926075292248e-04,5.040881843682e-04,19.000000,1
8,3.154213657163e-04,3.724421361735e-04,14.000000,1
9,5.574484714822e-03,7.443203494808e-03,15.000000,1
10,4.957606345114e-03,1.507735807567e-03,13.000000,1
11,2.902159015379e-03,9.261959777587e-04,16.000000,1
12,3.507391978773e-03,7.989548679799e-04,22.000000,1
13,6.701769049801e-04,0.000000000000e+00,15.000000,1
14,5.078165251893e-04,0.000000000000e+00,14.000000,1
15,6.894159384787e-03,4.686526809030e-03,13.000000,1
16,4.112276496128e-03,1.058773923388e-02,15.000000,1
17,1.163129672129e-03,5.686105624945e-04,14.000000,1
18,6.280771092092e-03,1.646200677250e-03,14.000000,1
19,2.780559489229e-03,1.023326429363e-03,16.000000,1
20,3.330900025597e-04,4.392279771192e-04,17.000000,1
21,8.660722191997e-03,1.522847193302e-03,13.000000,1
22,8.583388364424e-03,6.899501634188e-04,18.000000,1
23,3.947279123678e-04,0.000000000000e+00,16.000000,1
24,8.140706879708e-03,1.644097179977e-03,21.000000,1
25,4.714617782261e-03,6.156630361705e-03,20.000000,1
26,5.856227037817e-03,1.857415050018e-03,14.000000,1
27,1.895199963883e-03,7.057395500226e-03,17.000000,1
28,2.505714511575e-04,3.719732750021e-04,19.000000,1
29,8.866979621432e-03,2.667339639988e-03,15.000000,1
30,3.302143650235e-03,3.635535672723e-03,24.000000,1
31,8.852883924471e-04,2.783148752778e-04,18.000000,1
32,8.168647224690e-03,1.378839118538e-03,17.000000,1
33,5.724345070409e-03,8.865551083792e-04,14.000000,1
34,6.392803333620e-03,8.711888469779e-03,17.000000,1
35,3.919852008498e-03,5.889680556197e-03,21.000000,1
36,3.175143078905e-03,6.459596131976e-03,14.000000,1
37,3.699775323355e-03,9.619094130482e-04,15.000000,1
38,1.094505860226e-04,1.529176911252e-04,13.000000,1
39,5.617265577121e-03,2.708962766419e-03,21.000000,1
40,8.315463241176e-03,9.554559288423e-03,17.000000,1
41,6.932522274584e-03,1.168211233616e-03,15.000000,1
42,2.262702912090e-03,1.627714752146e-03,16.000000,1
43,3.363601652792e-03,1.836947234481e-03,13.000000,1
44,1.480965054378e-03,1.931992683620e-03,19.000000,1
45,1.774066455372e-03,1.740595088867e-03,15.000000,1
46,5.058105484546e-03,1.901385404800e-03,15.000000,1
47,4.519976967062e-04,3.621859522856e-04,17.000000,1
48,6.024808965801e-03,2.753968836691e-03,18.000000,1
49,7.409489126979e-04,2.974227641357e-04,16.000000,1
50,6.664889742082e-04,3.257500414069e-04,15.000000,1
51,6.775595884781e-03,4.459896339995e-03,13.000000,1
52,3.997105811957e-03,1.695770699466e-03,13.000000,1
53,4.969135355122e-04,3.459274455380e-04,14.000000,1
54,1.196035234434e-03,8.772149898492e-04,14.000000,1
55,5.734812360796e-03,1.762189955189e-03,15.000000,1
56,4.080797893581e-03,0.000000000000e+00,14.000000,1
57,3.858517445830e-03,5.025594965955e-04,13.000000,1
58,4.582941417817e-03,4.254131352167e-03,16.000000,1
59,2.819416419910e-04,6.432043055400e-04,22.000000,1
60,5.044522506751e-03,1.379408905427e-03,13.000000,1
61,4.159144414975e-03,2.966429543222e-03,14.000000,1
62,4.824880980899e-04,2.597201136730e-04,14.000000,1
63,4.840247922625e-03,2.577218565309e-03,13.000000,1
64,3.930303902204e-03,2.242935101086e-03,20.000000,1
65,1.552833424321e-03,8.885448420073e-04,15.000000,1
66,8.835702787499e-03,9.595270759695e-03,16.000000,1
67,8.548390242408e-03,7.916016166454e-04,12.000000,1
68,5.880603113653e-03,4.820553664019e-03,15.000000,1
69,1.698784315263e-03,8.156386924344e-04,14.000000,1
70,5.166547295809e-03,1.693710200456e-03,13.000000,1
71,3.482433718678e-03,2.974592747936e-03,17.000000,1
72,4.061460324859e-03,8.179268291859e-03,14.000000,1
73,7.762845641523e-03,3.366911546366e-03,12.000000,1
