target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
0,1.3219155671963386e-08,5.16191365590357e-08,1,1,1
1,3.0287955406691165e-08,1.9542689693874154e-07,1,1,1
2,6.107758127529685e-08,2.706930357901008e-07,1,1,1
3,4.705429784972057e-08,8.161702118890975e-08,1,1,1
4,4.4461628899053457e-07,1.332800374925012e-07,1,1,1
5,4.7410332130596737e-08,1.8371385344770506e-07,1,1,1
6,2.802626509904967e-07,1.5485740967710726e-07,1,1,1
7,9.819518995928941e-08,1.2818463544611084e-07,1,1,1
8,5.3596192955180295e-08,1.3978528260658483e-07,1,1,1
9,8.092037267093621e-08,1.4136482746161737e-07,1,1,1
10,5.528681890700079e-08,1.2818463544611084e-07,1,1,1
11,2.091714976044429e-08,6.989264130329237e-08,1,1,1
12,6.431719772290896e-08,1.7756782901008428e-07,1,1,1
13,2.2794853247335446e-08,1.534168443230839e-07,1,1,1
14,1.0333390888080986e-07,1.5196262340524166e-07,1,1,1
15,3.172062813731925e-08,2.965293637235831e-07,1,1,1
16,5.711309085780641e-08,1.2287812309317777e-07,1,1,1
17,1.193610509590066e-07,7.300048299977716e-08,1,1,1
18,1.0673308924388579e-07,1.1348386266624797e-07,1,1,1
19,1.2393291955410272e-07,1.9768624248238833e-07,1,1,1
20,9.345223539197887e-08,8.940696716308596e-08,1,1,1
21,3.9094716826780326e-08,1.1151007970493862e-07,1,1,1
22,6.935587735884476e-08,1.6323404237781964e-07,1,1,1
23,7.753077282152344e-08,1.264405455326822e-07,1,1,1
24,1.3255768605449952e-07,1.8371385344770506e-07,1,1,1
25,7.990100613064822e-08,8.940696716308596e-08,1,1,1
26,5.351582327085944e-08,3.6500241499888574e-08,1,1,1
27,1.3785854088844866e-08,6.322027276634106e-08,1,1,1
28,5.2581251059102674e-08,2.11785292678355e-07,1,1,1
29,7.300893557179612e-08,5.575503985246929e-08,1,1,1
30,8.426686118053424e-08,1.6726511955740805e-07,1,1,1
31,2.80823323889393e-08,1.6186804311275822e-07,1,1,1
32,1.511103415550273e-07,1.9082797281243975e-07,1,1,1
33,1.0613979877017059e-07,1.0323827311807144e-07,1,1,1
34,1.005988385313906e-07,2.0102765505361653e-07,1,1,1
35,6.589129149696417e-08,2.45756246186356e-07,1,1,1
36,1.613161311140098e-07,1.3978528260658483e-07,1,1,1
37,1.0052861036264203e-07,9.65705618025044e-08,1,1,1
38,5.8087572744315346e-08,1.0106459234841571e-07,1,1,1
39,1.1017892592969516e-07,6.322027276634106e-08,1,1,1
40,5.117928817822119e-08,1.2287812309317777e-07,1,1,1
41,6.166257589088323e-08,1.6049041769309372e-07,1,1,1
42,6.962702860920836e-08,1.1542389828584848e-07,1,1,1
43,8.000809765336396e-08,1.1151007970493862e-07,1,1,1
44,4.5191624303678164e-08,7.598131170262078e-08,1,1,1
45,5.2578409962958205e-08,1.6323404237781964e-07,1,1,1
46,1.3388572985245635e-07,1.6858739404357632e-07,1,1,1
47,7.452190405566826e-08,6.664001874625058e-08,1,1,1
