target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
0,3.58846145162413e-08,2.6656007498500305e-07,1,1,1
1,1.259973566813094e-07,2.2101993820356363e-07,1,1,1
2,2.514099302349426e-07,3.002500784339005e-07,1,1,1
3,6.13176904164994e-08,1.8730469182098736e-07,1,1,1
4,4.116011906305794e-08,1.2105760581248948e-07,1,1,1
5,1.2105755914809983e-07,1.0950072449966577e-07,1,1,1
6,9.387855575933475e-08,7.598131170262078e-08,1,1,1
7,8.716218775039198e-08,1.2105760581248948e-07,1,1,1
8,9.8179827763287e-08,5.16191365590357e-08,1,1,1
9,6.089604771012598e-08,1.6186804311275822e-07,1,1,1
10,7.783845693322747e-08,8.688795409866128e-08,1,1,1
11,5.314881075878728e-08,1.6049041769309372e-07,1,1,1
12,1.163886998699239e-07,1.9542689693874154e-07,1,1,1
13,9.578478514365707e-08,9.65705618025044e-08,1,1,1
14,7.690138144524778e-08,1.534168443230839e-07,1,1,1
15,9.294451754296496e-08,5.575503985246929e-08,1,1,1
16,6.318588892817739e-08,1.9314112360500902e-07,1,1,1
17,3.2512200420663016e-08,4.2146848510894035e-08,1,1,1
18,1.1580303113611052e-07,1.460009659995544e-07,1,1,1
19,1.0019996060989493e-07,1.7631291696726156e-07,1,1,1
20,1.884599203582959e-07,1.4751396978812924e-07,1,1,1
21,2.9903409607051554e-08,1.1348386266624797e-07,1,1,1
22,9.807539717931659e-08,5.16191365590357e-08,1,1,1
23,1.166392112268371e-07,6.989264130329237e-08,1,1,1
24,1.1101489170196362e-07,2.1073424255447017e-08,1,1,1
25,8.939073762944392e-08,1.1920928955078133e-07,1,1,1
26,1.6497187040872255e-07,8.940696716308596e-08,1,1,1
27,1.4557394384888693e-07,7.884953353001449e-08,1,1,1
28,1.209812330468943e-07,1.3818768405162858e-07,1,1,1
29,7.173583791508028e-08,6.664001874625058e-08,1,1,1
30,1.7413890926007097e-07,8.940696716308596e-08,1,1,1
31,1.8193626134034622e-07,1.0106459234841571e-07,1,1,1
32,1.7180621219055703e-07,1.4751396978812924e-07,1,1,1
33,1.2032504244746912e-07,1.2287812309317777e-07,1,1,1
34,1.6865731352774504e-07,1.4136482746161737e-07,1,1,1
35,8.761914487062508e-08,1.9542689693874154e-07,1,1,1
36,1.7960245787562059e-07,1.3818768405162858e-07,1,1,1
37,1.1767601062535503e-07,8.429369702178808e-08,1,1,1
38,1.4449705390951167e-07,5.575503985246929e-08,1,1,1
39,7.400153851341267e-08,7.884953353001449e-08,1,1,1
