strategy,K,threshold,N,SR,pos_p50_all_mm,pos_p95_all_mm,pos_max_all_mm,pos_p95_success_mm,rot_p95_all_deg,rot_p95_success_deg,iter_mean,time_s,A_success,B_rot_fail,C_pos_fail,D_both_fail
Random-K4,4,Medium,200,0.8350,2.25,110.63,215.67,8.87,3.4326,2.7662,32.5,8.7,,,,
Random-K4,4,Strict,200,0.8400,0.42,110.63,215.67,3.36,1.5726,0.7754,32.6,9.1,168,1,20,11
Random-K8,8,Medium,200,0.9150,1.78,50.04,196.60,9.11,2.3880,2.0162,28.9,17.7,,,,
Random-K8,8,Strict,200,0.9100,0.21,39.88,196.60,2.84,0.6532,0.5581,30.4,18.5,182,0,13,5
Random-K16,16,Medium,200,0.9350,1.13,21.68,111.33,7.47,1.3151,1.0109,28.3,35.0,,,,
Random-K16,16,Strict,200,0.9350,0.18,18.49,111.33,2.41,0.5215,0.2944,27.2,37.0,187,0,10,3
Sobol-K4,4,Medium,200,0.8650,3.49,82.26,211.48,9.33,3.5817,3.2507,31.4,9.5,,,,
Sobol-K4,4,Strict,200,0.8650,0.35,83.99,220.52,3.58,0.9256,0.7814,32.4,9.0,173,0,18,9
Sobol-K8,8,Medium,200,0.9100,1.85,41.05,175.61,9.29,1.5537,1.5270,28.9,17.3,,,,
Sobol-K8,8,Strict,200,0.9300,0.32,19.29,175.61,3.77,0.7023,0.6383,28.5,18.0,186,0,12,2
Sobol-K16,16,Medium,200,0.9250,1.11,20.10,73.91,7.40,0.6223,0.5741,28.1,34.7,,,,
Sobol-K16,16,Strict,200,0.9500,0.18,5.25,73.91,2.62,0.6158,0.5353,29.5,38.1,190,0,8,2
Structured-K4,4,Medium,200,0.8500,1.46,72.84,249.25,7.19,2.9693,2.6095,29.1,6.0,,,,
Structured-K4,4,Strict,200,0.8650,0.17,72.84,249.25,2.50,1.1099,0.6050,28.5,6.6,173,0,16,11
Structured-K8,8,Medium,200,0.8650,1.04,61.43,205.25,6.32,2.2352,1.8460,28.2,12.8,,,,
Structured-K8,8,Strict,200,0.8600,0.14,61.43,205.25,1.85,0.8353,0.4982,27.9,12.2,172,0,18,10
Structured-K16,16,Medium,200,0.8800,0.62,51.85,240.02,7.17,1.9180,1.6077,28.4,23.3,,,,
Structured-K16,16,Strict,200,0.9050,0.12,51.85,240.02,1.70,0.9576,0.4887,27.5,24.6,181,0,10,9
TargetAware-K4,4,Medium,200,0.8700,2.99,84.37,278.48,9.22,3.1913,2.8654,31.8,8.8,,,,
TargetAware-K4,4,Strict,200,0.8750,0.38,84.37,278.48,3.91,1.0651,0.7551,32.9,9.2,175,1,14,10
TargetAware-K8,8,Medium,200,0.9100,1.49,32.58,183.95,9.17,2.3557,1.5151,29.0,17.2,,,,
TargetAware-K8,8,Strict,200,0.9100,0.23,29.37,183.95,2.85,0.9005,0.6745,28.4,18.2,182,0,11,7
TargetAware-K16,16,Medium,200,0.9200,1.33,20.99,131.61,7.65,1.0904,0.8518,26.7,34.4,,,,
TargetAware-K16,16,Strict,200,0.9350,0.23,17.53,131.61,2.11,0.6533,0.4399,26.5,35.8,187,0,8,5
