config,N,K,w_limit,w_smooth,Loose_SR,Medium_SR,Strict_SR,monotonic,pos_p50_all,pos_p95_all,pos_p95_suc,rot_p95_all,rot_p95_suc,iter_mean,near_limit,mean_dq,max_dq,time_s
V3-Sobol-K16,200,16,0.0,0.0,0.9850,0.9750,0.9700,✓,0.19,4.06,2.59,0.4637,0.4570,24.3,0.125,N/A,N/A,34.4
V3-Sobol-K32,200,32,0.0,0.0,0.9900,0.9800,0.9800,✓,0.12,2.59,1.56,0.1801,0.1751,23.8,0.080,N/A,N/A,70.9
V3-Sobol-K16,1000,16,0.0,0.0,0.9650,0.9590,0.9540,✓,0.18,4.76,2.92,0.5239,0.3828,26.8,0.095,N/A,N/A,175.0
V3-Sobol-K32,1000,32,0.0,0.0,0.9840,0.9750,0.9720,✓,0.12,3.32,2.14,0.3039,0.2495,25.9,0.081,N/A,N/A,353.1
V4-Limit-w0.1,200,16,0.1,0.0,0.9800,0.9750,0.9700,✓,0.20,4.15,2.62,0.4966,0.4446,25.0,0.010,N/A,N/A,40.1
V4-Limit-w1.0,200,16,1.0,0.0,0.9750,0.9700,0.9650,✓,0.20,3.85,2.28,0.4674,0.3964,26.0,0.010,N/A,N/A,41.0
V4-Limit-w10,200,16,10.0,0.0,0.9700,0.9650,0.9650,✓,0.22,4.16,2.71,0.5831,0.4344,27.0,0.010,N/A,N/A,41.2
V4-Smooth-w0.1,50,16,0.0,0.1,0.0200,0.0200,0.0200,✓,212.80,366.70,0.16,21.2415,0.0068,78.7,N/A,7.4919,12.3716,14.8
V4-Smooth-w1.0,50,16,0.0,1.0,0.0200,0.0200,0.0200,✓,313.74,533.77,0.16,24.3001,0.0068,78.7,N/A,7.4919,12.3716,14.6
V4-Smooth-w0(nobase),50,16,0.0,0.0,1.0000,1.0000,1.0000,✓,0.18,1.53,1.53,0.1356,0.1356,22.5,N/A,7.4919,12.3716,7.3
