repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.7e-05,0,0.018524,61.3192329,0,61.365676,0
1,1.9e-05,0,0.010447,60.8094063,0,60.845123,0
2,1.4e-05,0,0.009631,61.2888947,0,61.322848,0
3,1.3e-05,0,0.007497,60.0672302,0,60.096877,0
4,1.4e-05,0,0.008008,60.0464325,0,60.078031,0
5,1.3e-05,0,0.009281,60.9564171,0,60.991481,0
6,1.2e-05,0,0.008238,61.6520958,0,61.683884,0
7,1.5e-05,0,0.009277,60.9592323,0,60.989117,0
8,1.4e-05,0,0.008852,60.9137917,0,60.945225,0
9,1.5e-05,0,0.00969,60.6133766,0,60.643695,0
10,1.2e-05,0,0.008489,59.6646385,0,59.695066,0
11,1.3e-05,0,0.007727,61.0518417,0,61.081208,0
12,1.5e-05,0,0.009012,60.8255997,0,60.854522,0
13,1.3e-05,0,0.008408,61.5426865,0,61.570501,0
14,1.4e-05,0,0.009245,60.475296,0,60.515077,0
15,1.5e-05,0,0.013421,59.9230385,0,59.953373,0
16,1.3e-05,0,0.007946,61.0417595,0,61.091127,0
17,1.4e-05,0,0.015492,61.7514229,0,61.78386,0
18,1.5e-05,0,0.008838,60.8191986,0,60.847076,0
19,1.4e-05,0,0.007264,60.9443855,0,60.975237,0
20,1.4e-05,0,0.009053,60.9697266,0,60.998434,0
21,1.4e-05,0,0.007605,59.2189102,0,59.247304,0
22,1.3e-05,0,0.007063,61.1172485,0,61.155211,0
23,1.3e-05,0,0.0087,61.2310066,0,61.26198,0
24,1.4e-05,0,0.008042,61.0321617,0,61.059726,0
25,1.4e-05,0,0.010377,60.6809921,0,60.709983,0
26,1.4e-05,0,0.00845,60.1068497,0,60.133961,0
27,1.4e-05,0,0.007181,60.010849,0,60.040189,0
28,1.4e-05,0,0.0082,61.3812485,0,61.409195,0
29,1.4e-05,0,0.008529,61.1405754,0,61.167913,0
30,1.4e-05,0,0.007888,61.4716148,0,61.499816,0
31,1.4e-05,0,0.008814,62.0391693,0,62.067611,0
32,1.3e-05,0,0.008013,60.6964149,0,60.723523,0
33,1.3e-05,0,0.006995,59.9961929,0,60.030331,0
34,1.4e-05,0,0.009252,61.3552017,0,61.381536,0
35,1.4e-05,0,0.007708,61.2875519,0,61.315552,0
36,1.3e-05,0,0.007385,61.6559372,0,61.683929,0
37,1.4e-05,0,0.008237,60.8952942,0,60.923726,0
38,1.3e-05,0,0.007793,60.3231354,0,60.351638,0
39,1.4e-05,0,0.008086,59.8095665,0,59.842547,0
40,1.4e-05,0,0.008888,61.7106552,0,61.738816,0
41,1.3e-05,0,0.007031,61.240448,0,61.267213,0
