repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.7e-05,0,0.01438,56.6123199,0,56.683264,0
1,2.6e-05,0,0.020948,56.1065903,0,56.158554,0
2,2e-05,0,0.017694,56.5149765,0,56.550296,0
3,1.4e-05,0,0.006674,56.1614723,0,56.192775,0
4,2e-05,0,0.008407,56.217247,0,56.243136,0
5,1.7e-05,0,0.0067,57.4307823,0,57.456368,0
6,1.3e-05,0,0.007017,55.9249268,0,55.950109,0
7,1.4e-05,0,0.006264,56.5545273,0,56.611934,0
8,2.6e-05,0,0.018157,56.6275215,0,56.654863,0
9,1.9e-05,0,0.006794,55.6380157,0,55.669926,0
10,1.4e-05,0,0.006977,56.5888634,0,56.619193,0
11,1.5e-05,0,0.007559,55.9360962,0,55.974885,0
12,1.9e-05,0,0.01396,56.2258568,0,56.253211,0
13,1.7e-05,0,0.007845,56.7043839,0,56.732693,0
14,1.2e-05,0,0.007501,55.8906898,0,55.915809,0
15,1.3e-05,0,0.006483,56.4971504,0,56.52229,0
16,1.3e-05,0,0.006642,56.4308167,0,56.456218,0
17,1.2e-05,0,0.007499,56.0857925,0,56.111515,0
18,1.3e-05,0,0.007746,56.8503036,0,56.874822,0
19,1.4e-05,0,0.006351,56.2249298,0,56.253278,0
20,1.3e-05,0,0.006691,57.1364174,0,57.16442,0
21,1.5e-05,0,0.007905,56.4090881,0,56.438502,0
22,1.4e-05,0,0.008281,56.5333748,0,56.562147,0
23,3.4e-05,0,0.008034,56.8415985,0,56.882825,0
24,1.4e-05,0,0.01159,55.6722565,0,55.69691,0
25,1.3e-05,0,0.006134,56.5468788,0,56.572291,0
26,1.3e-05,0,0.005547,56.7237129,0,56.748851,0
27,1.2e-05,0,0.006939,56.2049904,0,56.23031,0
28,1.4e-05,0,0.006525,57.4883842,0,57.513606,0
29,1.3e-05,0,0.007277,56.2594223,0,56.291691,0
30,1.4e-05,0,0.011574,56.0909119,0,56.120583,0
31,1.3e-05,0,0.008273,56.7115211,0,56.740413,0
32,1.3e-05,0,0.008545,55.698143,0,55.723579,0
33,1.2e-05,0,0.007038,57.170208,0,57.196418,0
34,1.3e-05,0,0.007277,56.0546227,0,56.078899,0
35,1.3e-05,0,0.006392,56.241024,0,56.26617,0
36,1.4e-05,0,0.005857,56.8279343,0,56.857536,0
37,1.4e-05,0,0.006775,55.9553299,0,55.979696,0
38,1.4e-05,0,0.006341,56.0883217,0,56.111469,0
39,1.4e-05,0,0.005799,56.8061447,0,56.834541,0
40,2.3e-05,0,0.006985,56.3916168,0,56.430219,0
41,1.4e-05,0,0.01356,57.882431,0,57.913974,0
42,1.3e-05,0,0.007532,56.2496948,0,56.281929,0
43,1.4e-05,0,0.008035,57.0950737,0,57.148093,0
44,2.4e-05,0,0.019497,57.2031021,0,57.240859,0
45,1.9e-05,0,0.009262,56.5210571,0,56.553382,0
46,1.9e-05,0,0.008737,57.6692467,0,57.695668,0
47,1.3e-05,0,0.006683,56.3800964,0,56.415993,0
48,1.5e-05,0,0.014529,57.2009583,0,57.236727,0
49,1.3e-05,0,0.008731,56.6103363,0,56.637982,0
50,1.3e-05,0,0.007449,56.9446068,0,56.970067,0
51,1.4e-05,0,0.005877,57.0429459,0,57.067497,0
52,1.3e-05,0,0.006602,56.4237747,0,56.450895,0
53,1.4e-05,0,0.007758,57.5867844,0,57.614114,0
54,1.2e-05,0,0.007884,56.5141754,0,56.53948,0
55,1.4e-05,0,0.007639,57.6344643,0,57.687504,0
56,1.9e-05,0,0.017801,56.8537292,0,56.883651,0
57,1.3e-05,0,0.009593,56.9979858,0,57.022867,0
58,1.3e-05,0,0.007766,57.7450256,0,57.795366,0
59,1.4e-05,0,0.0176,56.5877457,0,56.629801,0
60,1.9e-05,0,0.015047,57.9874573,0,58.015222,0
61,1.3e-05,0,0.00807,56.9871368,0,57.012352,0
62,1.5e-05,0,0.006023,57.9357109,0,57.966062,0
63,1.4e-05,0,0.007831,57.3653107,0,57.389706,0
64,1.3e-05,0,0.007125,57.7483215,0,57.776297,0
65,2.1e-05,0,0.008872,56.4604797,0,56.48985,0
66,1.4e-05,0,0.008318,56.9143028,0,56.939748,0
67,1.3e-05,0,0.006252,57.4111366,0,57.438616,0
68,1.3e-05,0,0.008342,56.3181458,0,56.347149,0
69,1.3e-05,0,0.006044,57.3364487,0,57.377018,0
70,2e-05,0,0.015551,56.5730896,0,56.599896,0
71,1.3e-05,0,0.007468,57.1119041,0,57.137653,0
72,1.2e-05,0,0.007732,56.8793907,0,56.905713,0
73,1.4e-05,0,0.007173,56.5138893,0,56.548021,0
74,1.4e-05,0,0.007794,57.0555191,0,57.110203,0
75,2.3e-05,0,0.017745,56.4659195,0,56.524064,0
76,2.5e-05,0,0.018974,57.6736946,0,57.736988,0
77,2.8e-05,0,0.019428,57.0449905,0,57.07354,0
78,1.4e-05,0,0.007457,58.3979836,0,58.450966,0
79,2.6e-05,0,0.018227,57.5316162,0,57.561451,0
80,1.3e-05,0,0.007328,56.1600952,0,56.19987,0
81,1.4e-05,0,0.014713,57.0880623,0,57.117243,0
82,1.4e-05,0,0.006881,57.3245773,0,57.376338,0
83,2.6e-05,0,0.018169,56.8466568,0,56.880975,0
84,1.8e-05,0,0.009434,55.621376,0,55.65524,0
85,1.5e-05,0,0.009157,55.4360008,0,55.461144,0
86,1.2e-05,0,0.005749,57.0426559,0,57.066968,0
87,1.4e-05,0,0.005875,55.6383057,0,55.691773,0
88,2.6e-05,0,0.01874,55.9201927,0,55.959641,0
89,2e-05,0,0.00889,56.2774391,0,56.307543,0
90,1.3e-05,0,0.008313,55.3107834,0,55.337812,0
91,1.3e-05,0,0.007412,55.4862099,0,55.512578,0
92,1.3e-05,0,0.007231,56.1968307,0,56.223309,0
93,1.3e-05,0,0.00683,55.5453758,0,55.572868,0
94,1.4e-05,0,0.008116,55.5147858,0,55.539698,0
95,1.4e-05,0,0.006827,56.0535355,0,56.079327,0
96,1.4e-05,0,0.00683,55.4059181,0,55.428503,0
97,1.4e-05,0,0.005414,56.2918701,0,56.322684,0
98,2.4e-05,0,0.007338,55.4755821,0,55.502932,0
99,1.2e-05,0,0.007389,55.4018555,0,55.425486,0
