repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.3e-05,0.155136004,0.007148,55.8590736,0.0429439992,56.413566,0
1,1.3e-05,0.205247998,0.010188,56.1184654,0.0467839986,56.411373,0
2,2.5e-05,0.156767994,0.017654,55.6494064,0.0388160013,55.871769,0
3,1.3e-05,0.161152005,0.008348,56.1268158,0.0430720001,56.493421,0
4,2.5e-05,0.161471993,0.017721,55.8259506,0.0372160003,56.049061,0
5,2.4e-05,0.150848001,0.007898,55.5989456,0.0413120016,55.936137,0
6,1.9e-05,0.163392007,0.010908,56.0900154,0.0425920002,56.583726,0
7,1.4e-05,0.150560006,0.008028,55.587265,0.0443199985,55.812957,0
8,1.4e-05,0.160255998,0.013335,55.7391663,0.0519040003,56.356449,0
9,2.7e-05,0.204032004,0.009279,55.7319374,0.0466240011,56.022903,0
10,2.5e-05,0.154367998,0.017225,55.5406075,0.0383360013,55.757855,0
11,1.9e-05,0.155103996,0.005163,55.9471359,0.0481600016,56.311409,0
12,1.8e-05,0.192543998,0.00786,56.3092499,0.0370239988,56.564479,0
13,1.3e-05,0.146111995,0.005351,55.5925102,0.0433279984,55.925722,0
14,1.3e-05,0.150463998,0.005726,56.0581741,0.0361919999,56.376896,0
15,1.4e-05,0.147264004,0.00486,55.8506241,0.0382720008,56.060602,0
16,1.3e-05,0.146752,0.005075,55.5536652,0.0376319997,55.761707,0
17,1.3e-05,0.179552004,0.004479,56.6380463,0.0370239988,56.881117,0
18,1.3e-05,0.144191995,0.004261,55.7320633,0.0384000018,55.939195,0
19,1.4e-05,0.148064002,0.005398,55.9862709,0.0487359986,56.344117,0
20,1.4e-05,0.191808,0.00799,56.0476151,0.0366079994,56.301858,0
21,1.3e-05,0.148000002,0.00576,55.5048637,0.0371199995,55.715445,0
22,1.3e-05,0.147712007,0.005797,56.2497902,0.064319998,56.593975,0
23,1.3e-05,0.159327999,0.00629,55.9702721,0.0370879993,56.193265,0
24,1.3e-05,0.151040003,0.00607,55.7504654,0.0469760001,55.975263,0
25,1.5e-05,0.197567999,0.005353,56.5287361,0.0381439999,56.790995,0
26,1.4e-05,0.145888001,0.006026,55.5459824,0.0469119996,55.765039,0
27,1.4e-05,0.196960002,0.005957,55.9685135,0.0396800004,56.476608,0
28,1.3e-05,0.148640007,0.005113,56.1722565,0.0392960012,56.386981,0
29,1.5e-05,0.156351998,0.006266,55.3183022,0.0481919982,55.56078,0
