repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.7e-05,0.171455994,0.020248,55.9784317,0.0405759998,56.219562,0
1,1.3e-05,0.164672002,0.014193,53.994175,0.0507839993,54.241715,0
2,1.8e-05,0.185312003,0.017155,51.7764816,0.0519040003,52.050519,0
3,1.4e-05,0.137952,0.016984,52.0360336,0.0498559996,52.260656,0
4,1.4e-05,0.175776005,0.016456,51.7878723,0.0510720015,52.057587,0
5,1.4e-05,0.142079994,0.020782,52.3603516,0.0399039984,52.572596,0
6,1.4e-05,0.155711994,0.014564,55.4115524,0.039007999,55.633629,0
7,1.2e-05,0.153503999,0.012236,55.0848007,0.0398400016,55.304912,0
8,1.3e-05,0.158592001,0.011926,56.8414726,0.0385599993,57.31087,0
9,1.9e-05,0.164767995,0.020477,55.2576637,0.0400959998,55.489636,0
10,2e-05,0.161024004,0.011345,55.2002869,0.049056001,55.450381,0
11,2.4e-05,0.168448001,0.020301,55.7616959,0.0405759998,56.130704,0
12,1.4e-05,0.167968005,0.010736,55.3879356,0.0418240018,55.627179,0
13,1.3e-05,0.158943996,0.01326,55.1982384,0.0419199988,55.428076,0
14,1.4e-05,0.158559993,0.013084,56.2143669,0.0369599983,56.568808,0
15,1.3e-05,0.150656,0.007896,55.1526718,0.050751999,55.381462,0
16,1.3e-05,0.214752004,0.008856,54.9992332,0.0413759984,55.283273,0
17,2e-05,0.152383998,0.011821,55.7733421,0.0415039994,56.127153,0
18,1.4e-05,0.153663993,0.00652,55.2099533,0.0416960008,55.433587,0
19,1.3e-05,0.156064004,0.010365,55.2464943,0.037535999,55.465925,0
20,1.3e-05,0.150463998,0.008408,55.9273911,0.0403200015,56.146277,0
21,1.3e-05,0.161280006,0.010481,55.1381111,0.0375679992,55.36403,0
22,1.3e-05,0.155711994,0.007108,54.9928322,0.0406720005,55.218351,0
23,1.4e-05,0.156895995,0.009034,55.9498558,0.0372480005,56.168887,0
24,1.4e-05,0.150687993,0.00664,55.4154549,0.0428799987,55.634054,0
25,1.4e-05,0.178752005,0.005617,55.0099525,0.0425279997,55.393886,0
26,1.3e-05,0.162975997,0.007174,56.4912643,0.0499840006,56.844369,0
27,1.3e-05,0.204416007,0.007909,55.0151672,0.0548160002,55.317533,0
28,1.2e-05,0.206208006,0.020358,55.3095665,0.049279999,55.829281,0
29,1.3e-05,0.201440006,0.012441,55.6171188,0.045632001,55.998301,0
