repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.4e-05,0.149056002,0.010718,54.5719681,0.0463039987,54.807797,0
1,2.8e-05,0.155552,0.017933,55.184864,0.0397440009,55.54244,0
2,2.3e-05,0.165087998,0.017876,55.0579529,0.0492159985,55.31282,0
3,2.5e-05,0.162783995,0.019007,54.7950096,0.0525760017,55.04445,0
4,2.6e-05,0.204288006,0.01955,55.2362862,0.0514560007,55.655526,0
5,2.6e-05,0.259072006,0.010674,54.9293442,0.0397440009,55.254403,0
6,1.7e-05,0.154495999,0.007076,54.6424637,0.0389119983,54.861428,0
7,1.3e-05,0.148415998,0.009861,54.6751022,0.0495040007,55.286843,0
8,1.4e-05,0.213599995,0.007714,54.8736305,0.039007999,55.15213,0
9,1.3e-05,0.152863994,0.005374,54.5421448,0.0506879985,54.790501,0
10,2.9e-05,0.162239999,0.022287,54.5975342,0.0500160009,55.33692,0
11,2.4e-05,0.208639994,0.024378,54.9526711,0.0366079994,55.538221,0
12,1.8e-05,0.166495994,0.011086,54.5247688,0.0377600007,54.756008,0
13,1.3e-05,0.148479998,0.00708,54.5042229,0.0465600006,54.72847,0
14,1.3e-05,0.197183996,0.008072,54.9857292,0.0420479998,55.552385,0
15,1.9e-05,0.178783998,0.018728,54.6320305,0.0399679989,54.878456,0
16,1.4e-05,0.152416006,0.009191,54.550209,0.0388800018,54.770608,0
17,1.3e-05,0.152960002,0.009602,54.9666252,0.0372800007,55.31818,0
18,1.4e-05,0.173280001,0.009263,54.9907532,0.042208001,55.236848,0
19,1.3e-05,0.149984002,0.013476,54.6243515,0.0447679982,54.847273,0
20,1.4e-05,0.158464,0.011958,54.9829102,0.0508159995,55.232659,0
21,1.5e-05,0.164575994,0.018925,55.3120003,0.0382400006,55.54232,0
22,1.4e-05,0.151871994,0.014322,54.6486092,0.0400639996,54.871944,0
23,1.2e-05,0.154495999,0.009177,54.8378258,0.0513599999,55.098013,0
24,1.5e-05,0.216447994,0.013334,55.4409294,0.0544640012,55.75924,0
25,1.4e-05,0.147872001,0.009134,54.6641617,0.0472000018,54.887135,0
26,1.4e-05,0.197024003,0.008646,54.6569595,0.0394559987,54.922554,0
27,1.3e-05,0.157407999,0.009758,55.3787842,0.0388800018,55.602892,0
28,1.3e-05,0.153503999,0.012171,54.6673584,0.0381119996,54.885107,0
29,1.4e-05,0.148607999,0.011062,54.5853119,0.047456,54.8111,0
