repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.3e-05,0.146016002,0.005716,57.4395828,0.04208,57.896714,46
1,1.2e-05,0.166592002,0.005258,58.6999359,0.0412800014,58.937427,46
2,1.2e-05,0.158912003,0.012055,59.5678062,0.0479039997,60.048289,46
3,1.3e-05,0.200320005,0.008403,59.2942085,0.0376639999,59.559765,46
4,1.3e-05,0.147712007,0.005819,59.8185272,0.0381439999,60.030447,46
5,1.3e-05,0.154400006,0.005319,59.3498573,0.0476480015,59.5808,46
6,1.3e-05,0.191167995,0.006827,59.7162552,0.0385279991,59.972877,46
7,1.2e-05,0.151519999,0.006075,59.0486412,0.0399359986,59.397919,46
8,1.4e-05,0.156320006,0.006695,58.4246407,0.0371519998,58.644369,46
9,1.2e-05,0.148607999,0.005997,58.8383675,0.0369919986,59.181726,46
10,1.3e-05,0.145567998,0.005047,59.5440979,0.0380479991,59.75218,46
11,1.3e-05,0.153375998,0.005166,58.8506546,0.0385919996,59.067427,46
12,1.3e-05,0.147808,0.005358,60.0018883,0.0520960018,60.231504,46
13,1.3e-05,0.215903997,0.009602,58.6696014,0.0376639999,58.94854,46
14,1.3e-05,0.151104003,0.005729,58.2139854,0.0364799984,58.426945,46
15,1.3e-05,0.147679999,0.005819,58.3302727,0.0365759991,58.538089,46
16,1.3e-05,0.144736007,0.005616,58.7241287,0.0446080007,59.396437,46
17,1.3e-05,0.192895994,0.006363,59.6307182,0.0385279991,59.887409,46
18,1.5e-05,0.152896002,0.005457,58.3191376,0.0414719991,58.674796,46
19,1.3e-05,0.150240004,0.005687,59.0626564,0.0392960012,59.278215,46
20,1.4e-05,0.153855994,0.005183,59.891201,0.0365759991,60.107298,46
21,1.4e-05,0.144800007,0.005253,58.4136658,0.0472319983,58.633288,46
22,1.2e-05,0.185184002,0.006193,59.8041267,0.0370879993,60.053598,46
23,1.4e-05,0.149728,0.009853,58.8269119,0.0395199992,59.438438,46
24,1.3e-05,0.165023997,0.006766,59.4250221,0.0389759988,59.656718,46
25,1.4e-05,0.154303998,0.007146,56.7208633,0.0478399992,57.333634,46
26,1.2e-05,0.211904004,0.007765,59.0759354,0.0382400006,59.353289,46
27,1.3e-05,0.151168004,0.006295,59.9821129,0.0417920016,60.206621,46
28,1.5e-05,0.155359998,0.016182,56.862175,0.0361919999,57.079133,46
29,1.3e-05,0.150879994,0.007046,59.6733742,0.0391039997,60.021934,46
