repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.3e-05,0.0152319996,0.002281,6.66470385,0.0207679998,6.74685,4
1,1.4e-05,0.0173119996,0.002545,6.662848,0.0184320007,6.741934,4
2,1.3e-05,0.0182719994,0.002183,7.17488003,0.00844800007,7.227381,4
3,1.4e-05,0.0140479999,0.00372,6.65305614,0.0160959996,6.701329,4
4,1.3e-05,0.0131200003,0.002239,7.54668808,0.00739199994,7.586197,4
5,1.4e-05,0.0138560003,0.002733,6.66051197,0.0184000004,6.732593,4
6,1.5e-05,0.0241599996,0.002478,7.14463997,0.023968,7.238573,4
7,2.6e-05,0.0179520007,0.002363,6.65759993,0.0222079996,6.742151,4
8,1.2e-05,0.0196160004,0.004856,6.65903997,0.018592,6.744096,4
9,1.2e-05,0.0160000008,0.002314,6.65510416,0.0226559993,6.737621,4
10,1.3e-05,0.0157120004,0.002149,6.65929604,0.0168960001,6.71954,4
11,1.4e-05,0.0185279995,0.002691,8.24880028,0.0248959996,8.330988,4
12,1.4e-05,0.0222720001,0.003966,6.6552639,0.0229759999,6.747982,4
13,1.4e-05,0.0172799993,0.002236,6.98227215,0.0195840001,7.068665,4
14,1.4e-05,0.0167679992,0.002424,6.66255999,0.0215039998,6.747013,4
15,1.3e-05,0.0158399995,0.002177,6.66857576,0.0154240001,6.748456,4
16,1.4e-05,0.0244479999,0.00245,6.65027189,0.0162560008,6.728185,4
17,1.5e-05,0.0247680005,0.002105,7.37257624,0.0102399997,7.4289,4
18,1.3e-05,0.01456,0.003145,7.37641621,0.0109120002,7.557419,4
19,1.3e-05,0.0173760001,0.002971,6.65782404,0.00777600007,6.701207,4
20,1.5e-05,0.0230720006,0.002698,6.94640017,0.0270399991,7.348214,4
21,1.4e-05,0.0190079994,0.003149,6.65747213,0.0210239999,6.743501,4
22,1.3e-05,0.0172479991,0.00248,6.65920019,0.0215039998,6.74147,4
23,1.3e-05,0.0216639992,0.002139,6.66012812,0.0218560006,6.747684,4
24,1.3e-05,0.0214399993,0.002583,6.66169596,0.0136000002,6.737811,4
25,1.4e-05,0.0270719994,0.002122,6.66451216,0.0104959998,7.060781,4
26,1.3e-05,0.103551999,0.008343,6.91606379,0.0231999997,7.083227,4
27,1.4e-05,0.0183680002,0.00512,6.79657602,0.0141759999,6.876837,4
28,1.5e-05,0.0234239995,0.002611,7.00617599,0.0231359992,7.092542,4
29,1.9e-05,0.0182080008,0.002552,6.67465591,0.0226559993,6.759885,4
