repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.4e-05,0.721599996,0.020586,265.819885,0.195327997,266.781475,0
1,1.8e-05,0.833024025,0.023066,266.165558,0.146656007,267.181283,0
2,1.3e-05,0.617056012,0.01201,266.376434,0.149664,267.180616,0
3,1.2e-05,0.688799977,0.014785,266.440613,0.153055996,267.318348,0
4,1.4e-05,0.626399994,0.01109,269.014618,0.195391998,269.875533,0
5,1.4e-05,0.861311972,0.014597,268.418762,0.161727995,269.800311,0
6,2.5e-05,0.650399983,0.019721,267.987885,0.191039994,269.297837,0
7,1.4e-05,0.857407987,0.012092,267.498779,0.147679999,268.538933,0
8,1.4e-05,0.611679971,0.012085,268.204895,0.158271998,269.023904,0
9,2.5e-05,0.620447993,0.020978,268.637909,0.156384006,269.469148,0
10,2.3e-05,0.619808018,0.017493,265.092712,0.154752001,265.913382,0
11,2.5e-05,0.61808002,0.01969,265.590942,0.181183994,266.429559,0
12,1.8e-05,0.62687999,0.017723,265.085907,0.155136004,265.910879,0
13,2.1e-05,0.621024013,0.019494,265.172699,0.153663993,265.989175,0
14,1.4e-05,0.623839974,0.017631,265.17511,0.153727993,265.996822,0
15,1.3e-05,0.61779201,0.017665,267.775726,0.154303998,268.590945,0
16,1.3e-05,0.621824026,0.017697,268.236115,0.206816003,269.123147,0
17,2.4e-05,0.856768012,0.026648,267.395905,0.161919996,268.464588,0
18,2.4e-05,0.62361598,0.019647,267.296661,0.173951998,268.247706,0
19,2.3e-05,0.81734401,0.02834,267.223633,0.156736001,268.244096,0
20,1.8e-05,0.644352019,0.020336,269,0.152383998,270.077863,0
21,1.6e-05,0.62460798,0.019729,271.186646,0.152671993,272.189249,0
22,1.7e-05,0.618431985,0.014757,269.49646,0.155775994,270.310374,0
23,1.3e-05,0.649695992,0.016141,271.670929,0.156000003,272.760099,0
24,2.6e-05,0.629535973,0.018315,272.556793,0.148767993,273.373492,0
25,1.4e-05,0.611424029,0.015204,270.951111,0.230783999,271.845156,0
26,1.4e-05,0.835391998,0.023486,268.592468,0.220256001,269.69247,0
27,1.4e-05,1.04524803,0.02678,268.327484,0.150048003,269.704505,0
28,2.2e-05,0.625504017,0.018324,271.602875,0.192928001,272.459151,0
29,1.3e-05,0.736352026,0.014874,270.964325,0.213183999,271.954159,0
