repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.7e-05,0.620159984,0.016183,276.892822,0.156415999,277.705573,230
1,1.4e-05,0.621760011,0.013668,280.885376,0.150527999,281.693732,230
2,1.4e-05,0.620000005,0.014102,278.130676,0.149664,278.935066,230
3,1.4e-05,0.615999997,0.01073,279.064941,0.151935995,279.86785,230
4,1.4e-05,0.62035203,0.011194,278.993103,0.157567993,280.016059,230
5,1.4e-05,0.647647977,0.0138,279.959595,0.149728,280.796336,230
6,1.4e-05,0.627071977,0.011532,278.326294,0.150624007,279.140331,230
7,1.3e-05,0.621439993,0.011164,278.615723,0.147136003,279.418712,230
8,1.4e-05,0.61411202,0.00815,278.744324,0.151424006,279.546905,230
9,1.3e-05,0.625728011,0.011222,277.149078,0.149248004,277.95669,230
10,1.3e-05,0.61708802,0.008187,278.395294,0.156608,279.209979,230
11,1.4e-05,0.622399986,0.016695,278.844696,0.150335997,279.652403,230
12,1.2e-05,0.615584016,0.012232,279.274536,0.152160004,280.080277,230
13,1.3e-05,0.620768011,0.013999,278.131317,0.154911995,279.260603,230
14,1.3e-05,0.64547199,0.010905,277.516846,0.147423998,278.344124,230
15,1.4e-05,0.618528008,0.010726,280.337708,0.153280005,281.146392,230
16,1.2e-05,0.623552024,0.014326,278.989471,0.389344007,280.044425,230
17,1.3e-05,0.620480001,0.011117,277.276489,0.169407994,278.317098,230
18,1.2e-05,0.666144013,0.008718,277.013641,0.157856002,277.888716,230
19,2.4e-05,0.620992005,0.020083,280.546814,0.161599994,281.37764,230
20,2.3e-05,0.626847982,0.019247,279.923615,0.160255998,280.759367,230
21,2.4e-05,0.619776011,0.019111,277.673065,0.155295998,278.484514,230
22,1.2e-05,0.672096014,0.012235,277.449799,0.213952005,278.492057,230
23,1.4e-05,0.967999995,0.018481,278.306549,0.149984002,279.463342,230
24,1.4e-05,0.617856026,0.013154,278.183502,0.156000003,278.993019,230
25,1.4e-05,0.65456003,0.011255,277.848907,0.151007995,279.09823,230
26,1.3e-05,0.648159981,0.010967,278.868469,0.159007996,279.712374,230
27,1.4e-05,0.683808029,0.011873,278.692719,0.147551998,279.5589,230
28,1.3e-05,0.647135973,0.009607,278.351654,0.156192005,279.191718,230
29,1.3e-05,0.619455993,0.010908,278.842926,0.147903994,279.64623,230
