repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.7e-05,0.0790719986,0.004444,31.8431683,0.0306880008,32.142829,23
1,1.2e-05,0.168768004,0.01686,29.7621765,0.0240320005,30.164967,23
2,1.3e-05,0.0780479982,0.004311,30.5691204,0.0208960008,30.688975,23
3,1.3e-05,0.0768000036,0.003404,30.4590721,0.0249920003,30.587119,23
4,1.3e-05,0.0799999982,0.008485,31.0105915,0.0207359996,31.132839,23
5,1.3e-05,0.0752319992,0.003972,31.1563835,0.0245760009,31.399009,23
6,1.4e-05,0.0807040036,0.004464,30.6950073,0.0229439996,30.822751,23
7,1.3e-05,0.0790719986,0.005329,31.8001595,0.0314240009,32.156905,23
8,1.8e-05,0.366400003,0.014496,29.7274876,0.0287999995,30.330705,23
9,1.4e-05,0.0816320032,0.007137,31.9167995,0.0305279996,32.276981,23
10,1.3e-05,0.153024003,0.004364,30.5200329,0.0252480004,30.725044,23
11,1.4e-05,0.0822080001,0.010349,30.6654396,0.023968,30.796797,23
12,2.5e-05,0.0769919977,0.009228,30.9622078,0.0217920002,31.08388,23
13,1.4e-05,0.0820799991,0.004424,30.4046726,0.0206719991,30.529833,23
14,1.2e-05,0.0754240006,0.003885,30.3696003,0.0221759994,30.733969,23
15,1.3e-05,0.077887997,0.003506,32.0255356,0.02544,32.396105,23
16,1.3e-05,0.096864,0.003675,31.4620476,0.0282240007,31.608413,23
17,1.9e-05,0.0929920003,0.003641,32.127552,0.0214719996,32.49074,23
18,1.4e-05,0.0761599988,0.004582,30.0632648,0.0218880009,30.183292,23
19,1.3e-05,0.0751679987,0.004155,32.1656303,0.0221439991,32.284879,23
20,1.4e-05,0.0754560009,0.003265,32.3254738,0.0209919997,32.442687,23
21,1.2e-05,0.0729279965,0.003627,30.6225605,0.0216639992,30.738713,23
22,1.3e-05,0.074624002,0.003752,30.5543995,0.0209279992,30.670979,23
23,1.3e-05,0.0738879964,0.003556,32.2576942,0.0247360002,32.378794,23
24,1.2e-05,0.089631997,0.003756,30.3468151,0.0291840006,30.621483,23
25,1.4e-05,0.0769279972,0.004048,30.0981445,0.0231359992,30.416108,23
26,1.2e-05,0.0758719966,0.004486,30.1906872,0.0254079998,30.314969,23
27,1.4e-05,0.09296,0.004187,30.6603203,0.0205760002,30.795131,23
28,1.4e-05,0.0750079975,0.003439,30.6808643,0.0199360009,30.79755,23
29,1.3e-05,0.0712639987,0.003462,32.3011208,0.0215680003,32.415924,23
