repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.4e-05,0.0141759999,0.002249,6.50400019,0.016384,6.552075,0
1,1.4e-05,0.013824,0.003025,6.34204817,0.0165759996,6.770023,0
2,1.3e-05,0.121919997,0.002467,6.44176006,0.0152960001,6.846708,0
3,1.3e-05,0.0138879996,0.002834,6.21020794,0.00937599968,6.371522,0
4,1.5e-05,0.0131839998,0.00227,6.7768321,0.0148799997,6.934246,0
5,1.3e-05,0.0153280003,0.002662,6.51049614,0.0153280003,6.559742,0
6,1.4e-05,0.0136000002,0.002593,6.753088,0.0101760002,6.939454,0
7,1.3e-05,0.0141759999,0.002329,6.50051212,0.00828799978,6.541501,0
8,1.4e-05,0.0139840003,0.002984,6.21164799,0.00879999995,6.372252,0
9,1.3e-05,0.0141439997,0.002991,6.73254395,0.013824,6.887497,0
10,1.4e-05,0.120416,0.002754,6.49715185,0.00822400022,6.644302,0
11,1.3e-05,0.0152639998,0.003496,6.75651217,0.0124479998,6.947904,0
12,1.4e-05,0.0147839999,0.003153,6.50387192,0.0087360004,6.546347,0
13,1.3e-05,0.0145920003,0.003073,6.20774412,0.0101760002,6.369421,0
14,1.3e-05,0.0131839998,0.002507,6.70448017,0.01248,6.858079,0
15,1.4e-05,0.129344001,0.002353,6.59292793,0.0146559998,6.755525,0
16,1.5e-05,0.0139520001,0.002469,6.74953604,0.0104320003,6.937451,0
17,1.4e-05,0.0133760003,0.002341,6.48819208,0.0154240001,6.535407,0
18,1.4e-05,0.0149760004,0.002339,6.21414423,0.0104,6.375893,0
19,1.3e-05,0.0141120004,0.002272,6.69241619,0.014304,6.740083,0
20,1.3e-05,0.0139520001,0.002581,6.49478388,0.01456,6.541457,0
21,1.3e-05,0.013696,0.002667,6.7403841,0.0110400002,6.929363,0
22,1.3e-05,0.0141759999,0.002417,6.50559998,0.0161920004,6.555244,0
23,1.4e-05,0.0143360002,0.002493,6.20873594,0.00934400037,6.370554,0
24,1.3e-05,0.0131839998,0.002244,6.70563221,0.0152960001,6.861825,0
25,1.3e-05,0.0149440002,0.002523,6.49830389,0.0152000003,6.547848,0
26,1.4e-05,0.0144959996,0.002509,6.77052784,0.0110400002,6.959155,0
27,1.4e-05,0.0149119999,0.002476,6.50831985,0.00787200034,6.549278,0
28,1.3e-05,0.0140159996,0.002392,6.20553589,0.00924799964,6.366427,0
29,1.4e-05,0.0128640002,0.002316,6.69561577,0.0138879996,6.850091,0
