repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.3e-05,0.0132799996,0.002565,6.73680019,0.0155520001,6.784305,0
1,1.3e-05,0.0136000002,0.002706,6.54553604,0.0164160002,6.594744,0
2,1.2e-05,0.0135679999,0.002601,6.74153614,0.00819199998,7.035612,0
3,1.2e-05,0.0139199998,0.00237,6.16963196,0.0134399999,6.323727,0
4,1.3e-05,0.0226879995,0.002422,6.77967978,0.0128960004,6.954586,0
5,1.4e-05,0.0184640009,0.003836,6.71875191,0.00908800028,6.765999,0
6,1.3e-05,0.0176960006,0.003587,6.60620785,0.00815999974,6.651876,0
7,1.4e-05,0.015168,0.004094,6.74153614,0.0087360004,7.037559,0
8,2.4e-05,0.0143680004,0.002724,6.17337608,0.00924799964,6.501353,0
9,1.4e-05,0.0154879997,0.002598,6.39455986,0.00707199983,6.435632,0
10,1.3e-05,0.0132480003,0.00284,6.79878378,0.015904,6.845767,0
11,1.4e-05,0.0127360001,0.002435,6.66982412,0.00729600014,6.709245,0
12,1.3e-05,0.0223360006,0.003005,6.76550388,0.0160959996,7.077136,0
13,1.4e-05,0.0137919998,0.002402,6.16527987,0.01088,6.467395,0
14,1.4e-05,0.0225600004,0.002479,6.32166386,0.00742400018,6.744227,0
15,1.3e-05,0.136736006,0.002225,6.17244816,0.00751999998,6.333794,0
16,1.3e-05,0.0131200003,0.002251,6.55679989,0.0156159997,6.603826,0
17,2.4e-05,0.0132160001,0.002948,6.80329609,0.00975999981,6.989785,0
18,1.3e-05,0.0208640005,0.002139,6.17500782,0.00905600004,6.491363,0
19,1.4e-05,0.0219199993,0.002362,6.37017584,0.0141439997,6.424223,0
20,1.4e-05,0.013088,0.00227,6.73731184,0.00815999974,6.776529,0
21,1.5e-05,0.0136320004,0.002457,6.66966391,0.0163519997,6.717916,0
22,1.3e-05,0.0137919998,0.002324,6.74620819,0.0157120004,7.047564,0
23,1.3e-05,0.0217279997,0.002146,6.17248011,0.0122560002,6.481322,0
24,1.3e-05,0.0143360002,0.002196,6.32255983,0.013824,6.368362,0
25,1.4e-05,0.0200960003,0.002069,6.73004818,0.0161920004,6.784092,0
26,1.4e-05,0.0225600004,0.002334,6.73971224,0.0156800002,6.796554,0
27,1.3e-05,0.0138879996,0.002499,6.74387217,0.0157760009,7.045146,0
28,1.3e-05,0.0215680003,0.002203,6.17532778,0.0123840002,6.484531,0
29,1.3e-05,0.0141759999,0.002241,6.31411219,0.0090239998,6.73024,0
