repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.6e-05,0.0160000008,0.003446,6.6104641,0.0156800002,6.808551,0
1,1.4e-05,0.0181120001,0.005533,6.20956802,0.0139840003,6.531934,0
2,1.4e-05,0.0165439993,0.004251,6.16124821,0.0108479997,6.325598,0
3,1.5e-05,0.0142080002,0.003106,6.78115177,0.00758400001,6.821896,0
4,1.4e-05,0.0144959996,0.002807,6.43110418,0.00739199994,6.472448,0
5,1.4e-05,0.0143360002,0.003155,6.62287998,0.0152960001,6.930121,0
6,1.3e-05,0.0144640002,0.003294,6.08499193,0.0121280001,6.396196,0
7,2.4e-05,0.0155840004,0.003088,6.15027189,0.0100800004,6.314928,0
8,2.5e-05,0.0140159996,0.003031,6.65804815,0.00854399987,6.698804,0
9,1.4e-05,0.0149119999,0.002813,6.44239998,0.0087360004,6.485808,0
10,2.6e-05,0.0161600001,0.003397,6.30249596,0.0106239999,6.6844,0
11,4.1e-05,0.244064003,0.009536,6.08483219,0.0152000003,6.624431,0
12,2.6e-05,0.0177599993,0.011011,6.07919979,0.0114879999,6.246809,0
13,1.4e-05,0.0138560003,0.00326,6.62099218,0.00751999998,6.661897,0
14,1.3e-05,0.0142080002,0.002608,6.45244789,0.0124159995,6.500703,0
15,1.7e-05,0.0176960006,0.006425,6.22428799,0.0108160004,6.602707,0
16,1.3e-05,0.244576007,0.00535,6.08102417,0.0164160002,6.477402,0
17,1.4e-05,0.0248959996,0.013157,6.58896017,0.0120000001,6.765853,0
18,1.3e-05,0.0136000002,0.003898,6.42460823,0.0123199997,6.721928,0
19,1.3e-05,0.0143680004,0.004831,6.44515181,0.00819199998,6.488177,0
20,1.4e-05,0.0143999998,0.00484,6.21231985,0.00960000046,6.579648,0
21,1.4e-05,0.243423998,0.003417,6.05750418,0.0139840003,6.444074,0
22,1.4e-05,0.121600002,0.004049,6.55139208,0.00889599975,6.701826,0
23,1.3e-05,0.0231679995,0.00434,6.65750408,0.0174400005,6.973501,0
24,1.3e-05,0.0223040003,0.002221,6.43760014,0.00796800014,6.486073,0
25,1.4e-05,0.014304,0.002923,6.21891212,0.00931200013,6.634119,0
26,1.3e-05,0.136063993,0.00275,6.15910387,0.00745599996,6.321062,0
27,1.4e-05,0.0221759994,0.002239,6.44940805,0.00691200001,6.497353,0
28,1.4e-05,0.0213440005,0.002841,6.63404799,0.010272,6.938224,0
29,1.4e-05,0.0145920003,0.00366,6.42592001,0.00777600007,6.46752,0
