repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.9e-05,0.0147200003,0.002417,6.63657618,0.00812800042,6.678264,0
1,1.2e-05,0.0152319996,0.002803,6.68761587,0.0133119998,6.878305,0
2,1.4e-05,0.0137280002,0.002613,6.07750416,0.0117119998,6.389847,0
3,1.4e-05,0.0140800001,0.00272,6.14207983,0.00969600026,6.302846,0
4,1.4e-05,0.0136000002,0.002479,6.72431993,0.00815999974,6.763898,0
5,1.5e-05,0.0139520001,0.002677,6.54854393,0.0161279999,6.597548,0
6,1.4e-05,0.0140800001,0.002997,6.64688015,0.00809600018,6.941465,0
7,1.4e-05,0.0142080002,0.002546,6.06540823,0.0114559997,6.36849,0
8,1.5e-05,0.0147839999,0.002545,6.15984011,0.0109759998,6.322197,0
9,1.4e-05,0.0131200003,0.002932,6.63353586,0.0163519997,6.681823,0
10,1.4e-05,0.0220480002,0.002584,6.64294386,0.0161920004,6.701758,0
11,1.9e-05,0.0153599996,0.003175,6.68591976,0.0134079996,6.879873,0
12,2.1e-05,0.0180479996,0.002431,6.07091188,0.0140159996,6.391732,0
13,1.4e-05,0.0186880007,0.003096,6.14182377,0.0106880004,6.309034,0
14,1.3e-05,0.0132799996,0.002889,6.64131212,0.0160000008,6.68971,0
15,1.3e-05,0.0125759998,0.002354,6.43603182,0.00723200012,6.47521,0
16,1.3e-05,0.0145920003,0.002948,6.29568005,0.00863999967,6.710619,0
17,1.4e-05,0.136544004,0.002445,6.0635519,0.0143999998,6.341725,0
18,1.5e-05,0.121632002,0.002989,6.53971195,0.0107199997,6.809467,0
19,1.3e-05,0.0129279997,0.002301,6.64207983,0.0163519997,6.690248,0
20,1.4e-05,0.0229759999,0.002523,6.441504,0.00771200005,6.490959,0
21,1.4e-05,0.0140159996,0.002666,6.27686405,0.00838399958,6.692192,0
22,1.3e-05,0.137216002,0.002398,6.07862377,0.0126719996,6.356262,0
23,1.4e-05,0.0135040004,0.002331,6.45785618,0.0105919996,6.619944,0
24,1.4e-05,0.0132480003,0.002552,6.72595215,0.00764800003,6.764649,0
25,1.4e-05,0.0128960004,0.00246,6.36655998,0.00736000016,6.405643,0
26,1.2e-05,0.0135359997,0.002733,6.30572796,0.0101439999,6.67205,0
27,1.5e-05,0.261408001,0.002814,6.1552,0.0137919998,6.454567,0
28,1.4e-05,0.0187199991,0.008939,6.44054413,0.00793599989,6.485456,0
29,1.3e-05,0.0157120004,0.003394,6.64265585,0.0148799997,6.94845,0
