sample_id,kind,index,value
0,T,0,-0.39470463545940182
0,T,1,0.61358467879498058
0,T,2,-0.6839021075380024
0,T,3,-0.26276271664165218
0,T,4,0.90924118030788004
0,T,5,0.15370818495539612
0,T,6,-0.38685174151094487
0,T,7,0.066892254584691058
0,T,8,-0.13224494991943542
0,T,9,-0.77452413508281226
0,T,10,-0.61856579067632544
0,T,11,0.62595624253401594
0,T,12,0
0,T,13,0
0,T,14,0
0,T,15,1
0,p,0,0
0,p,1,0
0,p,2,0.1273
0,p,3,0
0,p,4,0
0,p,5,0.1273
0,p,6,-0.54561420061702193
0,p,7,-0.19561312468428838
0,p,8,0.32372975725764452
0,p,9,-0.26768325206383053
0,p,10,0.07818917824197491
0,p,11,0.773385879455039
0,p,12,-0.19970694232664837
0,p,13,0.10255998515200017
0,p,14,0.68298800843437313
0,p,15,-0.26276271664165218
0,p,16,0.066892254584691058
0,p,17,0.62595624253401594
0,z,0,0
0,z,1,0
0,z,2,1
0,z,3,-0.33748511603621417
0,z,4,0.94133086449665671
0,z,5,-2.0510342851533115e-10
0,z,6,-0.33748511603621417
0,z,7,0.94133086449665671
0,z,8,-2.0510342851533115e-10
0,z,9,-0.33748511603621417
0,z,10,0.94133086449665671
0,z,11,-2.0510342851533115e-10
0,z,12,0.58752212391687264
0,z,13,0.21063791624913789
0,z,14,-0.78131262766349052
0,z,15,-0.6839021075380024
0,z,16,-0.38685174151094487
0,z,17,-0.61856579067632544
1,T,0,-0.43664967387807119
1,T,1,0.63780855163707662
1,T,2,-0.63445828370412849
1,T,3,0.14292282791946645
1,T,4,-0.52128698745485191
1,T,5,-0.75415924003891732
1,T,6,-0.39937916492246783
1,T,7,-0.044226155647055995
1,T,8,-0.73321002380792599
1,T,9,0.15634606526080894
1,T,10,0.6617846846709613
1,T,11,0.41320343099606599
1,T,12,0
1,T,13,0
1,T,14,0
1,T,15,1
1,p,0,0
1,p,1,0
1,p,2,0.1273
1,p,3,0
1,p,4,0
1,p,5,0.1273
1,p,6,-0.31472793664570353
1,p,7,0.47608406669013908
1,p,8,0.34828481246121235
1,p,9,0.13763544974731634
1,p,10,0.089082323934472518
1,p,11,0.34926421846298916
1,p,12,0.2014198816769871
1,p,13,-0.0074033966412044433
1,p,14,0.35218688306940338
1,p,15,0.14292282791946645
1,p,16,-0.044226155647055995
1,p,17,0.41320343099606599
1,z,0,0
1,z,1,0
1,z,2,1
1,z,3,0.83419636343546322
1,z,4,0.55146752146527045
1,z,5,-2.0510342851533115e-10
1,z,6,0.83419636343546322
1,z,7,0.55146752146527045
1,z,8,-2.0510342851533115e-10
1,z,9,0.83419636343546322
1,z,10,0.55146752146527045
1,z,11,-2.0510342851533115e-10
1,z,12,0.55129154649672218
1,z,13,-0.83393016919340501
1,z,14,0.025260713970736585
1,z,15,-0.6344582837041286
1,z,16,-0.39937916492246789
1,z,17,0.66178468467096141
2,T,0,0.57950514134980258
2,T,1,0.67299262074803756
2,T,2,0.45962454630691041
2,T,3,-1.2233461152140181
2,T,4,-0.056780123712011105
2,T,5,-0.5292664891570078
2,T,6,0.84655360196898555
2,T,7,0.23517411728855755
2,T,8,0.81298819714703963
2,T,9,-0.51667970336960478
2,T,10,-0.26850004734730148
2,T,11,-0.083906228186157242
2,T,12,0
2,T,13,0
2,T,14,0
2,T,15,1
2,p,0,0
2,p,1,0
2,p,2,0.1273
2,p,3,0
2,p,4,0
2,p,5,0.1273
2,p,6,-0.58655996858936721
2,p,7,0.15127241664167335
2,p,8,0.040075810626704678
2,p,9,-1.1812094312711134
2,p,10,0.13532589885180016
2,p,11,0.016802079003098234
2,p,12,-1.2657234983835153
2,p,13,0.15712187518701709
2,p,14,-0.059150523820736024
2,p,15,-1.2233461152140181
2,p,16,0.23517411728855755
2,p,17,-0.083906228186157242
2,z,0,0
2,z,1,0
2,z,2,1
2,z,3,-0.24972649331238447
2,z,4,-0.9683164144730273
2,z,5,-2.0510342851533113e-10
2,z,6,-0.24972649331238447
2,z,7,-0.9683164144730273
2,z,8,-2.0510342851533113e-10
2,z,9,-0.24972649331238447
2,z,10,-0.9683164144730273
2,z,11,-2.0510342851533113e-10
2,z,12,-0.73045866129992854
2,z,13,0.188383546544658
2,z,14,-0.65646156286805757
2,z,15,0.45962454630691041
2,z,16,0.84655360196898555
2,z,17,-0.26850004734730148
3,T,0,0.43740934714077895
3,T,1,-0.46935848736910452
3,T,2,-0.76705649946302079
3,T,3,0.062590328108380361
3,T,4,-0.76312773896877106
3,T,5,0.25749875124878224
3,T,6,-0.59273134481122969
3,T,7,0.04785655787015887
3,T,8,0.47571957816584409
3,T,9,0.84462832266027144
3,T,10,-0.24554812055849146
3,T,11,0.051884688546445248
3,T,12,0
3,T,13,0
3,T,14,0
3,T,15,1
3,p,0,0
3,p,1,0
3,p,2,0.1273
3,p,3,0
3,p,4,0
3,p,5,0.1273
3,p,6,0.24638207735265255
3,p,7,-0.53601008255780935
3,p,8,-0.035589727594351223
3,p,9,0.16943415647624083
3,p,10,0.023923814717482061
3,p,11,0.15137815637479707
3,p,12,0.1333129373588709
3,p,13,0.10250638786175424
3,p,14,0.074524225261938165
3,p,15,0.062590328108380361
3,p,16,0.04785655787015887
3,p,17,0.051884688546445248
3,z,0,0
3,z,1,0
3,z,2,1
3,z,3,0.90860790900323862
3,z,4,0.41765017382584962
3,z,5,-2.0510342851533115e-10
3,z,6,0.90860790900323862
3,z,7,0.41765017382584962
3,z,8,-2.0510342851533115e-10
3,z,9,0.90860790900323851
3,z,10,0.41765017382584957
3,z,11,-2.0510342851533113e-10
3,z,12,-0.3121972265978385
3,z,13,0.67919250772923234
3,z,14,-0.66425178144216857
3,z,15,-0.76705649946302079
3,z,16,-0.59273134481122969
3,z,17,-0.24554812055849146
4,T,0,-0.11980840682743309
4,T,1,-0.9728975834293756
4,T,2,0.19777825414021938
4,T,3,0.10610033740429556
4,T,4,0.39208333246069543
4,T,5,-0.22938686078488518
4,T,6,-0.89087166780955118
4,T,7,0.21490597812499712
4,T,8,0.91209462560635013
4,T,9,-0.029188358236405094
4,T,10,0.40893940099173037
4,T,11,0.46202959600050364
4,T,12,0
4,T,13,0
4,T,14,0
4,T,15,1
4,p,0,0
4,p,1,0
4,p,2,0.1273
4,p,3,0
4,p,4,0
4,p,5,0.1273
4,p,6,0.43154687834094985
4,p,7,0.38271155977920057
4,p,8,-0.077255991859326356
4,p,9,0.029158717356073949
4,p,10,0.24498130495552123
4,p,11,0.33929903006024426
4,p,12,0.08786518237256731
4,p,13,0.29704434589703771
4,p,14,0.4243253832290661
4,p,15,0.10610033740429556
4,p,16,0.21490597812499712
4,p,17,0.46202959600050364
4,z,0,0
4,z,1,0
4,z,2,1
4,z,3,-0.66350565331534961
4,z,4,0.74817126917475996
4,z,5,-2.0510342851533115e-10
4,z,6,-0.66350565331534961
4,z,7,0.74817126917475996
4,z,8,-2.0510342851533115e-10
4,z,9,-0.6635056533153495
4,z,10,0.74817126917475985
4,z,11,-2.0510342851533113e-10
4,z,12,0.50740246340962281
4,z,13,0.44998306777455904
4,z,14,0.73488637138134705
4,z,15,0.19777825414021938
4,z,16,-0.89087166780955118
4,z,17,0.40893940099173037
5,T,0,-0.1315946174176891
5,T,1,-0.99050286857506498
5,T,2,0.039836214820940449
5,T,3,-0.087830666080601597
5,T,4,0.8355487241211873
5,T,5,-0.089204645543239314
5,T,6,0.54212624067919934
5,T,7,-0.23273287499801976
5,T,8,-0.53342402109967657
5,T,9,0.10462599370172349
5,T,10,0.8393522592784145
5,T,11,-0.54887041059400921
5,T,12,0
5,T,13,0
5,T,14,0
5,T,15,1
5,p,0,0
5,p,1,0
5,p,2,0.1273
5,p,3,0
5,p,4,0
5,p,5,0.1273
5,p,6,0.1591812349272225
5,p,7,0.12698950811826198
5,p,8,-0.44982996740329317
5,p,9,-0.17429240142755728
5,p,10,-0.34876310132523236
5,p,11,-0.57967113939825854
5,p,12,-0.091503565087092328
5,p,13,-0.28271691438864194
5,p,14,-0.626258688899479
5,p,15,-0.087830666080601597
5,p,16,-0.23273287499801976
5,p,17,-0.54887041059400921
5,z,0,0
5,z,1,0
5,z,2,1
5,z,3,0.62363000441757499
5,z,4,-0.78171965408970978
5,z,5,-2.0510342851533115e-10
5,z,6,0.62363000441757499
5,z,7,-0.78171965408970978
5,z,8,-2.0510342851533115e-10
5,z,9,0.62363000441757499
5,z,10,-0.78171965408970978
5,z,11,-2.0510342851533115e-10
5,z,12,0.7155474186729901
5,z,13,0.57083999080890602
5,z,14,-0.40265816336404847
5,z,15,0.039836214820940449
5,z,16,0.54212624067919934
5,z,17,0.8393522592784145
6,T,0,-0.56805750128626986
6,T,1,0.24411716469810588
6,T,2,-0.78595005256832795
6,T,3,-0.23863737216667064
6,T,4,-0.012494066409675804
6,T,5,0.95232666474860628
6,T,6,0.30482424758103893
6,T,7,0.37319524911110902
6,T,8,0.82289402327210415
6,T,9,0.18297741256382913
6,T,10,-0.53792628951790056
6,T,11,0.15669702964783577
6,T,12,0
6,T,13,0
6,T,14,0
6,T,15,1
6,p,0,0
6,p,1,0
6,p,2,0.1273
6,p,3,0
6,p,4,0
6,p,5,0.1273
6,p,6,-0.0027776414847743712
6,p,7,0.43015393876065722
6,p,8,-0.3080204264406563
6,p,9,-0.16682013528093717
6,p,10,0.4453422512817789
6,p,11,0.26404890228873523
6,p,12,-0.16617277731987082
6,p,13,0.34509045348413725
6,p,14,0.20629383354138622
6,p,15,-0.23863737216667064
6,p,16,0.37319524911110902
6,p,17,0.15669702964783577
6,z,0,0
6,z,1,0
6,z,2,1
6,z,3,-0.99997915216204281
6,z,4,-0.0064571852445270434
6,z,5,-2.0510342851533115e-10
6,z,6,-0.99997915216204281
6,z,7,-0.0064571852445270434
6,z,8,-2.0510342851533115e-10
6,z,9,-0.99997915216204269
6,z,10,-0.0064571852445270425
6,z,11,-2.0510342851533113e-10
6,z,12,0.0055951422736935409
6,z,13,-0.86648053411963433
6,z,14,-0.49917950516291282
6,z,15,-0.78595005256832795
6,z,16,0.30482424758103893
6,z,17,-0.53792628951790056
7,T,0,0.094395155807124265
7,T,1,-0.22934562707672099
7,T,2,0.96875700663320852
7,T,3,-0.13881080788178735
7,T,4,0.90062898128524194
7,T,5,-0.39498132322247875
7,T,6,-0.18126553002302165
7,T,7,-1.1038678975076597
7,T,8,0.42421338101155648
7,T,9,0.88960122394599106
7,T,10,0.16927099492984227
7,T,11,-0.24639876298033112
7,T,12,0
7,T,13,0
7,T,14,0
7,T,15,1
7,p,0,0
7,p,1,0
7,p,2,0.1273
7,p,3,0
7,p,4,0
7,p,5,0.1273
7,p,6,-0.15510908860516912
7,p,7,-0.41846098541563154
7,p,8,-0.29147866984488646
7,p,9,-0.19948182909245399
7,p,10,-1.0098662104530987
7,p,11,-0.34319772997779113
7,p,12,-0.22813020389336916
7,p,13,-1.087155215639537
7,p,14,-0.26200554871286258
7,p,15,-0.13881080788178735
7,p,16,-1.1038678975076597
7,p,17,-0.24639876298033112
7,z,0,0
7,z,1,0
7,z,2,1
7,z,3,0.93765857184538781
7,z,4,-0.34755776878796396
7,z,5,-2.0510342851533115e-10
7,z,6,0.93765857184538781
7,z,7,-0.34755776878796396
7,z,8,-2.0510342851533115e-10
7,z,9,0.93765857184538781
7,z,10,-0.34755776878796396
7,z,11,-2.0510342851533115e-10
7,z,12,-0.24760911668898167
7,z,13,-0.66801214508589657
7,z,14,0.70174746123533738
7,z,15,0.96875700663320852
7,z,16,-0.18126553002302165
7,z,17,0.16927099492984227
8,T,0,0.031302482829471408
8,T,1,0.67492858984216442
8,T,2,-0.73721879600453621
8,T,3,0.05560460675056389
8,T,4,0.022589688814293154
8,T,5,-0.73786956094429057
8,T,6,-0.6745652058853564
8,T,7,-0.27017889113215648
8,T,8,-0.99925465249253875
8,T,9,0.0044620225847948605
8,T,10,-0.038343576078252478
8,T,11,0.037213759105754238
8,T,12,0
8,T,13,0
8,T,14,0
8,T,15,1
8,p,0,0
8,p,1,0
8,p,2,0.1273
8,p,3,0
8,p,4,0
8,p,5,0.1273
8,p,6,-0.026373914066911568
8,p,7,-0.1246898044389884
8,p,8,0.7258823830733393
8,p,9,0.12244756040664746
8,p,10,-0.21331983219176875
8,p,11,0.15632042121400191
8,p,12,0.12357617974218214
8,p,13,-0.20798397914952665
8,p,14,0.040749036820169129
8,p,15,0.05560460675056389
8,p,16,-0.27017889113215648
8,p,17,0.037213759105754238
8,z,0,0
8,z,1,0
8,z,2,1
8,z,3,0.97835411187837074
8,z,4,-0.20693774853971031
8,z,5,-2.0510342851533115e-10
8,z,6,0.97835411187837074
8,z,7,-0.20693774853971031
8,z,8,-2.0510342851533115e-10
8,z,9,0.97835411187837074
8,z,10,-0.20693774853971031
8,z,11,-2.0510342851533115e-10
8,z,12,0.0097547047150793598
8,z,13,0.046118003822317205
8,z,14,-0.99888836986890917
8,z,15,-0.73721879600453621
8,z,16,-0.6745652058853564
8,z,17,-0.038343576078252478
9,T,0,-0.1887978710681012
9,T,1,0.62290756601519925
9,T,2,-0.75917160647720006
9,T,3,-0.47930342797107467
9,T,4,-0.48503121493611251
9,T,5,-0.73134658543680753
9,T,6,-0.47945478671874903
9,T,7,-1.0369532585487937
9,T,8,-0.85387357636698824
9,T,9,0.27770188362872628
9,T,10,0.44020629188064325
9,T,11,0.65617095241990453
9,T,12,0
9,T,13,0
9,T,14,0
9,T,15,1
9,p,0,0
9,p,1,0
9,p,2,0.1273
9,p,3,0
9,p,4,0
9,p,5,0.1273
9,p,6,-0.3052606090673825
9,p,7,-0.50428297234903874
9,p,8,0.29179511953437787
9,p,9,-0.43810127647761216
9,p,10,-1.0403136281740362
9,p,11,0.51412018465036513
9,p,12,-0.40930780585387683
9,p,13,-0.99274752721332515
9,p,14,0.61558393230850916
9,p,15,-0.47930342797107467
9,p,16,-1.0369532585487937
9,p,17,0.65617095241990453
9,z,0,0
9,z,1,0
9,z,2,1
9,z,3,0.85547249497327704
9,z,4,-0.51784825030523796
9,z,5,-2.0510342851533113e-10
9,z,6,0.85547249497327704
9,z,7,-0.51784825030523796
9,z,8,-2.0510342851533113e-10
9,z,9,0.85547249497327704
9,z,10,-0.51784825030523796
9,z,11,-2.0510342851533113e-10
9,z,12,0.24886318603055577
9,z,13,0.41111582507096822
9,z,14,0.87695546809113278
9,z,15,-0.75917160647720006
9,z,16,-0.47945478671874903
9,z,17,0.44020629188064325
10,T,0,0.19160774937682293
10,T,1,0.70699883354080173
10,T,2,0.68076362986773487
10,T,3,-0.63204999864117106
10,T,4,0.29958864552494385
10,T,5,0.61838079639660071
10,T,6,-0.72653412453953947
10,T,7,-0.38705287231472824
10,T,8,-0.93462993417249274
10,T,9,0.34315862224320043
10,T,10,-0.093322270272804028
10,T,11,-0.80503852664936348
10,T,12,0
10,T,13,0
10,T,14,0
10,T,15,1
10,p,0,0
10,p,1,0
10,p,2,0.1273
10,p,3,0
10,p,4,0
10,p,5,0.1273
10,p,6,-0.12192991581712123
10,p,7,-0.092241046003575453
10,p,8,-0.46529487431211891
10,p,9,-0.6333817445960187
