sample_id,comparison,pos_diff_mm,rot_diff_deg,max_T_abs_diff,status
0,cuda_fk_vs_python_urdf_parser,1.1188630228279524e-13,0.0,2.220446049250313e-16,ok
1,cuda_fk_vs_python_urdf_parser,2.7755575615628914e-14,0.0,2.220446049250313e-16,ok
2,cuda_fk_vs_python_urdf_parser,0.0,1.7075472925031877e-06,1.1102230246251565e-16,ok
3,cuda_fk_vs_python_urdf_parser,1.1443916996305594e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
4,cuda_fk_vs_python_urdf_parser,1.1102230246251565e-13,0.0,2.220446049250313e-16,ok
5,cuda_fk_vs_python_urdf_parser,1.4752290795525883e-13,0.0,2.220446049250313e-16,ok
6,cuda_fk_vs_python_urdf_parser,2.7755575615628914e-14,0.0,1.1102230246251565e-16,ok
7,cuda_fk_vs_python_urdf_parser,2.288783399261119e-13,0.0,2.220446049250313e-16,ok
8,cuda_fk_vs_python_urdf_parser,5.928593550334434e-14,0.0,1.1102230246251565e-16,ok
9,cuda_fk_vs_python_urdf_parser,1.1102230246251565e-13,0.0,1.1102230246251565e-16,ok
10,cuda_fk_vs_python_urdf_parser,1.1102230246251565e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
11,cuda_fk_vs_python_urdf_parser,1.3877787807814457e-14,1.7075472925031877e-06,1.1102230246251565e-16,ok
12,cuda_fk_vs_python_urdf_parser,1.1102230246251565e-13,0.0,1.1102230246251565e-16,ok
13,cuda_fk_vs_python_urdf_parser,1.2412670766236365e-13,1.2074182697257333e-06,1.3877787807814457e-16,ok
14,cuda_fk_vs_python_urdf_parser,1.2412670766236365e-13,0.0,1.1102230246251565e-16,ok
15,cuda_fk_vs_python_urdf_parser,3.925231146709438e-14,1.2074182697257333e-06,2.220446049250313e-16,ok
16,cuda_fk_vs_python_urdf_parser,4.163336342344337e-14,0.0,1.1102230246251565e-16,ok
17,cuda_fk_vs_python_urdf_parser,0.0,1.7075472925031877e-06,1.3877787807814457e-16,ok
18,cuda_fk_vs_python_urdf_parser,2.220446049250313e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
19,cuda_fk_vs_python_urdf_parser,1.1443916996305594e-13,0.0,1.1102230246251565e-16,ok
20,cuda_fk_vs_python_urdf_parser,5.594315114139762e-14,1.2074182697257333e-06,2.220446049250313e-16,ok
21,cuda_fk_vs_python_urdf_parser,0.0,1.7075472925031877e-06,1.1102230246251565e-16,ok
22,cuda_fk_vs_python_urdf_parser,1.1102230246251565e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
23,cuda_fk_vs_python_urdf_parser,0.0,0.0,1.1102230246251565e-16,ok
24,cuda_fk_vs_python_urdf_parser,1.1123893155135927e-13,0.0,1.6653345369377348e-16,ok
25,cuda_fk_vs_python_urdf_parser,2.220446049250313e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
26,cuda_fk_vs_python_urdf_parser,1.1236938283130691e-13,1.7075472925031877e-06,1.1102230246251565e-16,ok
27,cuda_fk_vs_python_urdf_parser,0.0,0.0,1.1102230246251565e-16,ok
28,cuda_fk_vs_python_urdf_parser,7.152448122690996e-14,0.0,1.1102230246251565e-16,ok
29,cuda_fk_vs_python_urdf_parser,0.0,0.0,2.220446049250313e-16,ok
30,cuda_fk_vs_python_urdf_parser,0.0,0.0,1.1102230246251565e-16,ok
31,cuda_fk_vs_python_urdf_parser,1.2412670766236365e-13,0.0,2.220446049250313e-16,ok
32,cuda_fk_vs_python_urdf_parser,5.551115123125783e-14,1.2074182697257333e-06,1.1102230246251565e-16,ok
33,cuda_fk_vs_python_urdf_parser,6.359601310784502e-14,1.7075472925031877e-06,2.220446049250313e-16,ok
34,cuda_fk_vs_python_urdf_parser,5.551115123125783e-14,2.4148365394514667e-06,1.1102230246251565e-16,ok
35,cuda_fk_vs_python_urdf_parser,1.962615573354719e-14,1.7075472925031877e-06,1.1102230246251565e-16,ok
36,cuda_fk_vs_python_urdf_parser,5.594315114139762e-14,0.0,1.1102230246251565e-16,ok
37,cuda_fk_vs_python_urdf_parser,0.0,0.0,5.551115123125783e-17,ok
38,cuda_fk_vs_python_urdf_parser,1.570092458683775e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
39,cuda_fk_vs_python_urdf_parser,1.1102230246251565e-13,1.2074182697257333e-06,1.1102230246251565e-16,ok
40,cuda_fk_vs_python_urdf_parser,1.1102230246251565e-13,0.0,1.1102230246251565e-16,ok
41,cuda_fk_vs_python_urdf_parser,1.962615573354719e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
42,cuda_fk_vs_python_urdf_parser,1.570092458683775e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
43,cuda_fk_vs_python_urdf_parser,1.3877787807814457e-14,1.2074182697257333e-06,1.1102230246251565e-16,ok
44,cuda_fk_vs_python_urdf_parser,2.8609792490763985e-14,0.0,1.1102230246251565e-16,ok
45,cuda_fk_vs_python_urdf_parser,0.0,1.2074182697257333e-06,1.3877787807814457e-16,ok
46,cuda_fk_vs_python_urdf_parser,5.721958498152797e-14,0.0,1.1102230246251565e-16,ok
47,cuda_fk_vs_python_urdf_parser,0.0,0.0,1.1102230246251565e-16,ok
48,cuda_fk_vs_python_urdf_parser,2.7755575615628914e-14,1.2074182697257333e-06,1.1102230246251565e-16,ok
49,cuda_fk_vs_python_urdf_parser,0.0,0.0,1.1102230246251565e-16,ok
50,cuda_fk_vs_python_urdf_parser,1.2412670766236365e-13,1.7075472925031877e-06,1.1102230246251565e-16,ok
51,cuda_fk_vs_python_urdf_parser,1.3877787807814457e-14,1.7075472925031877e-06,1.1102230246251565e-16,ok
52,cuda_fk_vs_python_urdf_parser,1.570092458683775e-13,1.7075472925031877e-06,1.1102230246251565e-16,ok
53,cuda_fk_vs_python_urdf_parser,6.206335383118183e-14,0.0,1.1102230246251565e-16,ok
54,cuda_fk_vs_python_urdf_parser,5.721958498152797e-14,1.2074182697257333e-06,2.220446049250313e-16,ok
55,cuda_fk_vs_python_urdf_parser,2.220446049250313e-13,0.0,2.220446049250313e-16,ok
56,cuda_fk_vs_python_urdf_parser,2.220446049250313e-13,0.0,2.220446049250313e-16,ok
57,cuda_fk_vs_python_urdf_parser,4.163336342344337e-14,0.0,1.1102230246251565e-16,ok
58,cuda_fk_vs_python_urdf_parser,2.7755575615628914e-14,1.7075472925031877e-06,1.942890293094024e-16,ok
59,cuda_fk_vs_python_urdf_parser,0.0,1.2074182697257333e-06,1.1102230246251565e-16,ok
60,cuda_fk_vs_python_urdf_parser,2.7755575615628914e-14,1.2074182697257333e-06,1.1102230246251565e-16,ok
61,cuda_fk_vs_python_urdf_parser,0.0,1.7075472925031877e-06,1.1102230246251565e-16,ok
62,cuda_fk_vs_python_urdf_parser,1.0007415106216802e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
63,cuda_fk_vs_python_urdf_parser,1.1102230246251565e-13,0.0,2.220446049250313e-16,ok
64,cuda_fk_vs_python_urdf_parser,1.570092458683775e-13,0.0,1.6653345369377348e-16,ok
65,cuda_fk_vs_python_urdf_parser,5.551115123125783e-14,0.0,1.1102230246251565e-16,ok
66,cuda_fk_vs_python_urdf_parser,2.0816681711721685e-14,0.0,5.551115123125783e-17,ok
67,cuda_fk_vs_python_urdf_parser,5.551115123125783e-14,0.0,1.6653345369377348e-16,ok
68,cuda_fk_vs_python_urdf_parser,0.0,0.0,1.1102230246251565e-16,ok
69,cuda_fk_vs_python_urdf_parser,3.1031676915590914e-14,1.2074182697257333e-06,1.205632815803881e-16,ok
70,cuda_fk_vs_python_urdf_parser,1.1295700899707568e-13,0.0,3.3306690738754696e-16,ok
71,cuda_fk_vs_python_urdf_parser,4.577566798522238e-13,1.2074182697257333e-06,4.440892098500626e-16,ok
72,cuda_fk_vs_python_urdf_parser,2.7769124835677135e-14,0.0,1.1102230246251565e-16,ok
73,cuda_fk_vs_python_urdf_parser,1.688305753616065e-13,0.0,2.220446049250313e-16,ok
74,cuda_fk_vs_python_urdf_parser,1.3877787807814457e-14,0.0,2.498001805406602e-16,ok
75,cuda_fk_vs_python_urdf_parser,2.0816681711721685e-14,1.7075472925031877e-06,2.220446049250313e-16,ok
76,cuda_fk_vs_python_urdf_parser,1.1102230246251565e-13,0.0,2.220446049250313e-16,ok
77,cuda_fk_vs_python_urdf_parser,1.2412670766236365e-13,0.0,2.220446049250313e-16,ok
78,cuda_fk_vs_python_urdf_parser,1.1102230246251565e-13,1.2074182697257333e-06,1.1102230246251565e-16,ok
79,cuda_fk_vs_python_urdf_parser,1.1102230246251565e-13,0.0,2.220446049250313e-16,ok
80,cuda_fk_vs_python_urdf_parser,1.1857187100668867e-13,0.0,2.220446049250313e-16,ok
81,cuda_fk_vs_python_urdf_parser,5.721958498152797e-14,1.7075472925031877e-06,1.1102230246251565e-16,ok
82,cuda_fk_vs_python_urdf_parser,1.570092458683775e-13,1.2074182697257333e-06,1.1102230246251565e-16,ok
83,cuda_fk_vs_python_urdf_parser,1.1102230246251565e-13,1.2074182697257333e-06,1.6653345369377348e-16,ok
84,cuda_fk_vs_python_urdf_parser,9.614813431917819e-14,0.0,1.1102230246251565e-16,ok
85,cuda_fk_vs_python_urdf_parser,6.938893903907228e-15,0.0,1.1102230246251565e-16,ok
86,cuda_fk_vs_python_urdf_parser,7.850462293418876e-14,0.0,2.220446049250313e-16,ok
87,cuda_fk_vs_python_urdf_parser,2.7755575615628914e-14,0.0,2.220446049250313e-16,ok
88,cuda_fk_vs_python_urdf_parser,5.551115123125783e-14,0.0,1.1796119636642288e-16,ok
89,cuda_fk_vs_python_urdf_parser,5.551115123125783e-14,0.0,4.440892098500626e-16,ok
90,cuda_fk_vs_python_urdf_parser,5.551115123125783e-14,0.0,1.1102230246251565e-16,ok
91,cuda_fk_vs_python_urdf_parser,0.0,0.0,2.220446049250313e-16,ok
92,cuda_fk_vs_python_urdf_parser,1.0103182026100663e-13,2.4148365394514667e-06,1.6653345369377348e-16,ok
93,cuda_fk_vs_python_urdf_parser,2.3065952118587557e-13,0.0,2.2898349882893854e-16,ok
94,cuda_fk_vs_python_urdf_parser,9.71445146547012e-14,0.0,1.6653345369377348e-16,ok
95,cuda_fk_vs_python_urdf_parser,4.5102810375396984e-14,0.0,1.1102230246251565e-16,ok
96,cuda_fk_vs_python_urdf_parser,4.163336342344337e-14,1.7075472925031877e-06,2.220446049250313e-16,ok
97,cuda_fk_vs_python_urdf_parser,2.7755575615628914e-14,1.2074182697257333e-06,2.220446049250313e-16,ok
98,cuda_fk_vs_python_urdf_parser,2.618455766672135e-13,0.0,2.220446049250313e-16,ok
99,cuda_fk_vs_python_urdf_parser,2.3551386880256624e-13,0.0,2.220446049250313e-16,ok
0,cuda_fk_vs_yourdfpy_urdf_fk,1.594436429147036e-13,0.0,3.3306690738754696e-16,ok
1,cuda_fk_vs_yourdfpy_urdf_fk,6.206335383118183e-14,0.0,1.1102230246251565e-16,ok
2,cuda_fk_vs_yourdfpy_urdf_fk,2.2761264355043343e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
3,cuda_fk_vs_yourdfpy_urdf_fk,7.601177430610147e-14,1.7075472925031877e-06,2.7755575615628914e-16,ok
4,cuda_fk_vs_yourdfpy_urdf_fk,6.206335383118183e-14,1.2074182697257333e-06,1.6653345369377348e-16,ok
5,cuda_fk_vs_yourdfpy_urdf_fk,5.551115123125783e-14,0.0,2.498001805406602e-16,ok
6,cuda_fk_vs_yourdfpy_urdf_fk,6.206335383118183e-14,0.0,2.220446049250313e-16,ok
7,cuda_fk_vs_yourdfpy_urdf_fk,1.688305753616065e-13,0.0,1.6653345369377348e-16,ok
8,cuda_fk_vs_yourdfpy_urdf_fk,2.220446049250313e-13,0.0,2.220446049250313e-16,ok
9,cuda_fk_vs_yourdfpy_urdf_fk,2.220446049250313e-13,0.0,2.220446049250313e-16,ok
10,cuda_fk_vs_yourdfpy_urdf_fk,1.2412670766236365e-13,0.0,2.220446049250313e-16,ok
11,cuda_fk_vs_yourdfpy_urdf_fk,2.342840229615247e-13,1.2074182697257333e-06,3.3306690738754696e-16,ok
12,cuda_fk_vs_yourdfpy_urdf_fk,0.0,0.0,2.220446049250313e-16,ok
13,cuda_fk_vs_yourdfpy_urdf_fk,2.220446049250313e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
14,cuda_fk_vs_yourdfpy_urdf_fk,5.721958498152797e-14,0.0,1.1102230246251565e-16,ok
15,cuda_fk_vs_yourdfpy_urdf_fk,1.3877787807814457e-13,0.0,3.3306690738754696e-16,ok
16,cuda_fk_vs_yourdfpy_urdf_fk,1.6939998869943825e-13,0.0,2.220446049250313e-16,ok
17,cuda_fk_vs_yourdfpy_urdf_fk,2.482534153247273e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
18,cuda_fk_vs_yourdfpy_urdf_fk,2.326341149472307e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
19,cuda_fk_vs_yourdfpy_urdf_fk,1.5716250041522724e-13,0.0,1.1102230246251565e-16,ok
20,cuda_fk_vs_yourdfpy_urdf_fk,8.886119947416683e-14,1.7075472925031877e-06,1.1102230246251565e-16,ok
21,cuda_fk_vs_yourdfpy_urdf_fk,1.2412670766236365e-13,0.0,2.220446049250313e-16,ok
22,cuda_fk_vs_yourdfpy_urdf_fk,0.0,0.0,1.3877787807814457e-16,ok
23,cuda_fk_vs_yourdfpy_urdf_fk,8.886119947416683e-14,0.0,2.220446049250313e-16,ok
24,cuda_fk_vs_yourdfpy_urdf_fk,6.245004513516506e-14,0.0,2.220446049250313e-16,ok
25,cuda_fk_vs_yourdfpy_urdf_fk,2.288783399261119e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
26,cuda_fk_vs_yourdfpy_urdf_fk,1.665695898455916e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
27,cuda_fk_vs_yourdfpy_urdf_fk,1.1443916996305594e-13,0.0,1.1102230246251565e-16,ok
28,cuda_fk_vs_yourdfpy_urdf_fk,5.003707553108401e-14,0.0,2.220446049250313e-16,ok
29,cuda_fk_vs_yourdfpy_urdf_fk,3.521787733787174e-13,0.0,3.3306690738754696e-16,ok
30,cuda_fk_vs_yourdfpy_urdf_fk,1.3877787807814457e-14,0.0,2.7755575615628914e-16,ok
31,cuda_fk_vs_yourdfpy_urdf_fk,1.570092458683775e-13,0.0,2.220446049250313e-16,ok
32,cuda_fk_vs_yourdfpy_urdf_fk,1.2412670766236365e-13,1.2074182697257333e-06,1.1102230246251565e-16,ok
33,cuda_fk_vs_yourdfpy_urdf_fk,8.441528768080325e-14,1.7075472925031877e-06,2.220446049250313e-16,ok
34,cuda_fk_vs_yourdfpy_urdf_fk,8.326672684688674e-14,2.4148365394514667e-06,1.1102230246251565e-16,ok
35,cuda_fk_vs_yourdfpy_urdf_fk,8.441528768080325e-14,1.2074182697257333e-06,2.220446049250313e-16,ok
36,cuda_fk_vs_yourdfpy_urdf_fk,3.469446951953614e-14,0.0,1.1102230246251565e-16,ok
37,cuda_fk_vs_yourdfpy_urdf_fk,1.2412670766236365e-13,0.0,1.3877787807814457e-16,ok
38,cuda_fk_vs_yourdfpy_urdf_fk,1.6653345369377348e-13,1.2074182697257333e-06,3.3306690738754696e-16,ok
39,cuda_fk_vs_yourdfpy_urdf_fk,1.0949389893418967e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
40,cuda_fk_vs_yourdfpy_urdf_fk,1.594436429147036e-13,0.0,2.220446049250313e-16,ok
41,cuda_fk_vs_yourdfpy_urdf_fk,3.387999773988765e-13,1.7075472925031877e-06,3.3306690738754696e-16,ok
42,cuda_fk_vs_yourdfpy_urdf_fk,2.1613846999907928e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
43,cuda_fk_vs_yourdfpy_urdf_fk,1.5515838457795457e-14,0.0,2.220446049250313e-16,ok
44,cuda_fk_vs_yourdfpy_urdf_fk,3.925231146709438e-14,0.0,2.220446049250313e-16,ok
45,cuda_fk_vs_yourdfpy_urdf_fk,1.2412670766236365e-13,0.0,3.3306690738754696e-16,ok
46,cuda_fk_vs_yourdfpy_urdf_fk,4.444278938805073e-13,0.0,4.440892098500626e-16,ok
47,cuda_fk_vs_yourdfpy_urdf_fk,1.1295700899707568e-13,0.0,1.1102230246251565e-16,ok
48,cuda_fk_vs_yourdfpy_urdf_fk,2.288783399261119e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
49,cuda_fk_vs_yourdfpy_urdf_fk,1.0315407380583415e-13,0.0,1.6653345369377348e-16,ok
50,cuda_fk_vs_yourdfpy_urdf_fk,1.2412670766236365e-13,1.7075472925031877e-06,1.1102230246251565e-16,ok
51,cuda_fk_vs_yourdfpy_urdf_fk,1.1188630228279524e-13,1.7075472925031877e-06,1.1102230246251565e-16,ok
52,cuda_fk_vs_yourdfpy_urdf_fk,1.570092458683775e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
53,cuda_fk_vs_yourdfpy_urdf_fk,7.97218214573518e-14,0.0,2.220446049250313e-16,ok
54,cuda_fk_vs_yourdfpy_urdf_fk,4.163336342344337e-14,0.0,3.3306690738754696e-16,ok
55,cuda_fk_vs_yourdfpy_urdf_fk,1.1102230246251565e-13,0.0,2.220446049250313e-16,ok
56,cuda_fk_vs_yourdfpy_urdf_fk,4.4430599737083416e-13,0.0,4.440892098500626e-16,ok
57,cuda_fk_vs_yourdfpy_urdf_fk,1.9653735636544138e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
58,cuda_fk_vs_yourdfpy_urdf_fk,2.288783399261119e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
59,cuda_fk_vs_yourdfpy_urdf_fk,1.2719202621569003e-13,0.0,1.1102230246251565e-16,ok
60,cuda_fk_vs_yourdfpy_urdf_fk,2.7755575615628914e-14,1.2074182697257333e-06,1.1102230246251565e-16,ok
61,cuda_fk_vs_yourdfpy_urdf_fk,1.0007415106216802e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
62,cuda_fk_vs_yourdfpy_urdf_fk,1.1443916996305594e-13,1.7075472925031877e-06,1.1102230246251565e-16,ok
63,cuda_fk_vs_yourdfpy_urdf_fk,5.551115123125783e-14,0.0,2.220446049250313e-16,ok
64,cuda_fk_vs_yourdfpy_urdf_fk,2.288783399261119e-13,0.0,2.220446049250313e-16,ok
65,cuda_fk_vs_yourdfpy_urdf_fk,5.551115123125783e-14,1.2074182697257333e-06,1.1102230246251565e-16,ok
66,cuda_fk_vs_yourdfpy_urdf_fk,1.3877787807814457e-14,0.0,1.1102230246251565e-16,ok
67,cuda_fk_vs_yourdfpy_urdf_fk,5.551115123125783e-14,0.0,1.6653345369377348e-16,ok
68,cuda_fk_vs_yourdfpy_urdf_fk,1.1443916996305594e-13,0.0,1.6653345369377348e-16,ok
69,cuda_fk_vs_yourdfpy_urdf_fk,2.8609792490763985e-14,1.2074182697257333e-06,1.6653345369377348e-16,ok
70,cuda_fk_vs_yourdfpy_urdf_fk,4.5102810375396984e-14,0.0,2.220446049250313e-16,ok
71,cuda_fk_vs_yourdfpy_urdf_fk,5.087681048627601e-13,1.2074182697257333e-06,4.440892098500626e-16,ok
72,cuda_fk_vs_yourdfpy_urdf_fk,1.1191655590652248e-13,0.0,1.1102230246251565e-16,ok
73,cuda_fk_vs_yourdfpy_urdf_fk,7.850462293418876e-14,0.0,1.6653345369377348e-16,ok
74,cuda_fk_vs_yourdfpy_urdf_fk,4.465220011294948e-13,0.0,4.440892098500626e-16,ok
75,cuda_fk_vs_yourdfpy_urdf_fk,4.451720917549152e-13,1.2074182697257333e-06,4.440892098500626e-16,ok
76,cuda_fk_vs_yourdfpy_urdf_fk,1.1188630228279524e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
77,cuda_fk_vs_yourdfpy_urdf_fk,2.482534153247273e-13,0.0,2.220446049250313e-16,ok
78,cuda_fk_vs_yourdfpy_urdf_fk,3.3306690738754696e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
79,cuda_fk_vs_yourdfpy_urdf_fk,1.3597399555105182e-13,0.0,2.220446049250313e-16,ok
80,cuda_fk_vs_yourdfpy_urdf_fk,1.3877787807814457e-14,0.0,2.220446049250313e-16,ok
81,cuda_fk_vs_yourdfpy_urdf_fk,8.326672684688674e-14,1.2074182697257333e-06,1.8041124150158794e-16,ok
82,cuda_fk_vs_yourdfpy_urdf_fk,2.482534153247273e-13,0.0,2.220446049250313e-16,ok
83,cuda_fk_vs_yourdfpy_urdf_fk,1.3877787807814457e-13,1.7075472925031877e-06,2.220446049250313e-16,ok
84,cuda_fk_vs_yourdfpy_urdf_fk,1.1168440202394181e-13,0.0,4.440892098500626e-16,ok
85,cuda_fk_vs_yourdfpy_urdf_fk,9.93498412932028e-14,0.0,1.6653345369377348e-16,ok
86,cuda_fk_vs_yourdfpy_urdf_fk,1.2412670766236365e-13,0.0,1.6653345369377348e-16,ok
87,cuda_fk_vs_yourdfpy_urdf_fk,2.3551386880256624e-13,0.0,2.220446049250313e-16,ok
88,cuda_fk_vs_yourdfpy_urdf_fk,1.1102230246251565e-13,1.2074182697257333e-06,1.1102230246251565e-16,ok
89,cuda_fk_vs_yourdfpy_urdf_fk,1.2412670766236365e-13,1.2074182697257333e-06,5.551115123125783e-16,ok
90,cuda_fk_vs_yourdfpy_urdf_fk,2.305551267378102e-13,0.0,2.220446049250313e-16,ok
91,cuda_fk_vs_yourdfpy_urdf_fk,1.1102230246251565e-13,0.0,2.220446049250313e-16,ok
92,cuda_fk_vs_yourdfpy_urdf_fk,5.887846720064156e-14,1.7075472925031877e-06,3.3306690738754696e-16,ok
93,cuda_fk_vs_yourdfpy_urdf_fk,2.2740100924753456e-13,0.0,2.220446049250313e-16,ok
94,cuda_fk_vs_yourdfpy_urdf_fk,2.7026078727940895e-13,0.0,2.7755575615628914e-16,ok
