sample_id,max_T_abs_diff,max_p_joint_diff,max_z_joint_diff,pass
0,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1
1,1.1102230246251565e-16,2.7755575615628914e-17,1.1102230246251565e-16,1
2,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1
3,5.551115123125783e-17,0.0,2.7755575615628914e-17,1
4,1.1102230246251565e-16,5.551115123125783e-17,1.1102230246251565e-16,1
5,2.220446049250313e-16,2.7755575615628914e-17,2.220446049250313e-16,1
6,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,1
7,1.1102230246251565e-16,0.0,5.551115123125783e-17,1
8,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1
9,1.1102230246251565e-16,5.551115123125783e-17,1.1102230246251565e-16,1
10,4.440892098500626e-16,5.551115123125783e-17,3.3306690738754696e-16,1
11,1.1102230246251565e-16,4.85722573273506e-17,5.551115123125783e-17,1
12,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1
13,1.1102230246251565e-16,5.551115123125783e-17,2.7755575615628914e-17,1
14,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1
15,2.220446049250313e-16,9.71445146547012e-17,2.220446049250313e-16,1
16,2.220446049250313e-16,2.220446049250313e-16,2.498001805406602e-16,1
17,1.6653345369377348e-16,1.1102230246251565e-16,1.6653345369377348e-16,1
18,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1
19,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1
