sample_id,max_abs_diff,fro_rel_error,pass
0,2.220446049250313e-16,1.1016152770766241e-16,1
1,1.1102230246251565e-16,7.836292677143896e-17,1
2,1.1102230246251565e-16,9.664538288002316e-17,1
3,2.7755575615628914e-17,1.4730132889864604e-17,1
4,1.1102230246251565e-16,7.881527287123936e-17,1
5,2.220446049250313e-16,1.1100994697742534e-16,1
6,2.220446049250313e-16,1.3474550479508075e-16,1
7,5.551115123125783e-17,2.791091720824639e-17,1
8,1.1102230246251565e-16,8.304995248310254e-17,1
9,1.1102230246251565e-16,1.0495100572790456e-16,1
10,3.3306690738754696e-16,1.6650106080863753e-16,1
11,5.551115123125783e-17,3.575492161850261e-17,1
12,1.1102230246251565e-16,8.224546906676471e-17,1
13,5.551115123125783e-17,3.286052512299284e-17,1
14,1.1102230246251565e-16,4.846553735226463e-17,1
15,2.220446049250313e-16,1.6726168854348666e-16,1
16,2.498001805406602e-16,1.6350721470054574e-16,1
17,1.6653345369377348e-16,1.0208527355321336e-16,1
18,1.1102230246251565e-16,8.894969062673844e-17,1
19,1.1102230246251565e-16,8.494849953334651e-17,1
