target_id,best_seed_id,q0,q1,q2,q3,q4,q5,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,success_rank
0,0,-2.1157889455746881,-1.0678594469375524,-0.67700171730584469,-3.5044938180474605,4.2734951952778193,2.802139019955292,0.0854501641438,0.858630165293,0.00022458520311919211,0,0.00011229260155959606,16,1,1,1,0,0
1,0,-2.5049843773133542,-4.289866236875377,1.2631112877386748,2.7076684918278864,2.8042413299439488,-4.1258030160387449,0.0704365239983,0.0193127271256,1.1857794445182998e-07,0,5.928897222591499e-08,14,1,1,1,0,0
2,2,-1.1525981006688626,0.60175293428855403,0.030878154614238817,3.3340052688620863,2.6955830769664653,-1.068308992907171,87.1180213997,0.179162573621,0.0075993276365426297,0,0.0037996638182713149,60,0,0,0,0,3
3,7,-1.0897498140458428,-6.1027642491963352,2.6178170992539487,3.5032661366278206,5.6874249423180139,4.3979850340833746,0.727989750087,0.131847373664,5.8253560374331809e-06,0,2.9126780187165905e-06,60,1,1,1,0,0
4,2,-2.1475880520484059,-0.41934834815144578,0.34824272516740201,5.4480045275344198,-4.5237687645862854,-0.70881996821370996,0.0910567480843,0.436942221402,5.816539366640819e-05,0,2.9082696833204095e-05,23,1,1,1,0,0
5,2,3.1350170972966263,-5.8368351085539256,-1.7645931295915773,5.5132081126231629,-5.8563528020487823,-4.7014594871374324,0.064018501614,0.0694557234967,1.4736025098558693e-06,0,7.3680125492793463e-07,16,1,1,1,0,0
6,4,5.2243972028965908,-4.7111493833283538,1.5831053518168769,-1.2780949787131421,-1.1507364087429413,-3.9135625658952207,0.0236901553479,0.0422847895796,5.4521821481307274e-07,0,2.7260910740653637e-07,32,1,1,1,0,0
7,2,4.044124958318088,1.363898912660364,1.206324286083458,-0.84507337465220456,-1.3306249311650258,-2.5795858514090528,0.0478556296093,0.0545815351376,9.0978931302926355e-07,0,4.5489465651463178e-07,17,1,1,1,0,0
8,2,-3.4608775703725279,-4.7916098977227657,-2.8598343620755742,4.9279257922721094,0.83255270546308136,2.6131000649444096,1.1474056825,0.395148976873,4.8880330434150168e-05,0,2.4440165217075084e-05,6,1,1,1,0,0
9,4,1.4153206359843551,3.963862557290454,-2.6360438024090023,-2.6521426369058503,-4.7745279000540695,-2.7832728362240218,0.609220641926,0.0333606328067,7.1016821034124012e-07,0,3.5508410517062006e-07,14,1,1,1,0,0
10,6,6.1423248331012026,-5.8321717815018204,-2.9561740835664376,-3.4426399840481294,4.146876980186363,-4.8240233388524141,0.652486505032,0.12817546064,5.4302826051620779e-06,0,2.7151413025810389e-06,38,1,1,1,0,0
11,4,-3.9347373331022069,3.7731238800572253,2.8097250312880666,4.9282850914948693,2.8799870656258317,3.0668503378434697,1.7209826161,0.281708934261,2.7136196339418528e-05,0,1.3568098169709264e-05,17,1,1,1,0,0
12,7,4.5642452185652669,-4.5492530960889912,2.6050925799232916,5.2171682209562853,-3.0809597735336238,2.8350788979657175,3.24218171687,0.0878190556959,1.2861008650949002e-05,0,6.4305043254745011e-06,54,1,1,1,0,0
13,1,-3.4146729345338867,-3.3309829602931491,1.8815535919447548,5.876664105461237,0.90256106461781782,-4.5089388201601972,0.109827421403,0.0355537704906,3.9711998590375059e-07,0,1.9855999295187529e-07,27,1,1,1,0,0
14,2,-4.6037418668795294,0.50664780946024557,-1.4802503244723519,5.3169204250737625,-4.2788891380532883,1.4781190613092803,0.0458430424688,0.15226902242,7.0649169677093081e-06,0,3.532458483854654e-06,12,1,1,1,0,0
15,2,5.2376364396383854,-0.77295014125503991,0.83507214497063786,-2.584483273837531,-0.26807841892620737,-0.094257732116798137,0.113249876131,0.175624495057,9.4084340399086223e-06,0,4.7042170199543112e-06,28,1,1,1,0,0
16,6,-0.047718170703165495,0.542356489442123,-1.4713376261056437,-3.5083144870612553,5.0918400527420085,1.8427351202558246,0.0267164089518,0.148858135849,6.7506533748844922e-06,0,3.3753266874422461e-06,24,1,1,1,0,0
17,6,-1.8697635468880591,-3.0446636571435279,2.3203970328928141,-3.8030636342282125,4.6940179357811447,-2.6632122385039403,0.0261555518296,0.0177150427211,9.6279985797100022e-08,0,4.8139992898550011e-08,15,1,1,1,0,0
18,6,1.2455398279710206,4.5829127018125337,-1.4614735748623526,3.9005348446786599,-0.94007114661214264,5.5789171691387853,0.146492385861,0.0344058340883,3.8205436830918892e-07,0,1.9102718415459446e-07,27,1,1,1,0,0
19,6,0.51050300433142159,2.6115416767547432,-0.3159479499845676,5.6958370165568484,-0.83818750683196075,1.0195470567734437,25.7548647962,0.000145626314021,0.00066331306713177216,0,0.00033165653356588608,60,1,0,0,0,2
20,4,-2.297840096383267,2.6057076294105666,2.5853573886577506,5.1945865874600212,-5.2000913068216308,0.85114259529889968,0.0586511021652,0.00044500464052,3.5002749078427081e-09,0,1.7501374539213541e-09,32,1,1,1,0,0
21,7,-3.4547367741018653,2.9797212209420159,1.964740472727788,-2.2599615126628363,-3.2466429523324343,5.52373759772561,0.560411185216,0.0626181448898,1.5084753684098909e-06,0,7.5423768420494547e-07,7,1,1,1,0,0
