repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.5e-05,0.0961920023,0.01886,45.0658569,0.0242880005,45.236086,0
1,2.6e-05,0.0761599988,0.018638,46.4228477,0.0231040008,46.704466,0
2,2.6e-05,0.0969920009,0.0195,44.5545616,0.020544,44.827809,0
3,2.7e-05,0.096479997,0.01857,48.6383362,0.0201600008,48.936463,0
4,2.3e-05,0.102048002,0.018898,49.3302727,0.032159999,49.540407,0
5,1.9e-05,0.099808,0.025642,49.5909767,0.0304639991,49.787568,0
6,1.9e-05,0.102335997,0.028169,47.1750717,0.0286400001,47.371627,0
7,2.8e-05,0.0998720005,0.021229,45.7366409,0.0281920005,45.923175,0
8,2.3e-05,0.0911360011,0.018489,44.749279,0.0263359994,44.925482,0
9,2.5e-05,0.0735360011,0.018405,43.7692795,0.0243200008,43.920755,0
10,2.5e-05,0.0692159981,0.021779,42.8817596,0.0210880004,43.026858,0
11,2.5e-05,0.061152,0.01885,42.8608322,0.0211839993,42.999058,0
12,2.5e-05,0.0612480007,0.018889,42.8811531,0.0120959999,42.990792,0
13,1.3e-05,0.0592320003,0.005788,43.3009605,0.0168960001,43.411206,0
14,1.3e-05,0.0619839989,0.005123,42.846817,0.0114240004,42.953651,0
15,1.4e-05,0.0591679998,0.005032,42.8568954,0.01248,42.961875,0
16,1.4e-05,0.0588480011,0.005855,43.9387856,0.0231040008,44.077866,0
17,2.6e-05,0.0642879978,0.019078,42.8664627,0.0202239994,43.003274,0
18,2.2e-05,0.0616640002,0.018214,43.6395836,0.0148799997,43.876128,0
19,2.2e-05,0.069472,0.020235,42.8763199,0.0182080008,43.011825,0
20,1.8e-05,0.0618560016,0.016197,43.7756157,0.0254079998,43.918282,0
21,2.4e-05,0.0656960011,0.024009,42.8837433,0.0187519994,43.01754,0
22,2.1e-05,0.0615359992,0.022658,42.8667183,0.0213120002,43.003384,0
23,2.5e-05,0.0616319999,0.019913,43.9180145,0.0241919998,44.063277,0
24,2.2e-05,0.071167998,0.021208,43.3902397,0.0228799991,43.539875,0
25,2.3e-05,0.0640959963,0.018243,45.0093765,0.0264960006,45.153369,0
26,2.1e-05,0.093088001,0.021328,44.1338882,0.0181120001,44.403636,0
27,3.1e-05,0.078272,0.017668,44.9316483,0.0317439996,45.120059,0
28,2e-05,0.0811199993,0.028282,42.8752327,0.0204799995,43.031344,0
29,1.9e-05,0.0625599995,0.019535,42.8761902,0.0214719996,43.017779,0
