N,method,gpu_ms_mean,throughput,strict_sr,pos_p95_all_mm,pos_p50_all_mm,rot_p95_all_deg,strict_success_count,strict_failure_count,pos_p95_success_only_mm,pos_p95_failure_only_mm,elapsed_sec
100,cuRobo-Graph,9.631744066874186,10382.335671057055,0.86,74.16660293471118,0.000130426029816419,9.810200535302421,86,14,0.05146155182115662,314.2260733863165,3.0
200,cuRobo-Graph,9.915072123209635,20171.310658631646,0.875,89.07415214236923,0.00012250566552743082,11.672044337193137,175,25,0.018976091463604603,346.1574437571208,1.1
300,cuRobo-Graph,9.852405230204264,30449.41747628262,0.88,84.70994773006575,0.0001233274606669099,7.274049013897901,264,36,0.18208914566986092,345.0413465637152,1.1
400,cuRobo-Graph,10.947253545125326,36538.844957885805,0.83,100.52891012493573,0.00012790427855515532,11.855509157065821,332,68,0.22449498052040215,283.24320243105205,1.1
500,cuRobo-Graph,11.494815826416016,43497.86960926852,0.838,114.45729842614062,0.00012469100230264057,8.364398594729284,419,81,0.22236305744134516,328.8220067413048,1.2
600,cuRobo-Graph,12.122794469197592,49493.538929866394,0.8433333333333334,105.64716146520661,0.0001260081556396116,8.739876016132484,506,94,0.21534083394745754,311.79683581193615,1.2
700,cuRobo-Graph,12.681418736775717,55198.87124064612,0.8442857142857143,88.00642941856471,0.00012729486383271864,7.701192091477483,591,109,0.28224674090074753,208.82558774233277,1.1
800,cuRobo-Graph,13.087285359700521,61128.03213288432,0.83875,92.06152816175714,0.00012980522808424234,7.304644794052844,671,129,0.28286794958766004,274.9445027419726,1.2
900,cuRobo-Graph,13.866474787394205,64904.74426983965,0.8388888888888889,105.28718806384452,0.0001289801008195966,8.957821664777201,755,145,0.2965181536481095,262.7762503133105,1.2
1000,cuRobo-Graph,13.769493420918783,72624.31299620564,0.84,88.67246102970657,0.00012607295695134913,7.915300117836422,840,160,0.28305014312940485,214.7920361436312,1.2
