method,N,K,warmup,repeat,gpu_stream_ms_mean,gpu_stream_ms_std,e2e_ms_mean,e2e_ms_std,raw_throughput_mean,raw_throughput_std,valid_throughput_strict,loose_sr,medium_sr,strict_sr,pos_p50_all_mm,pos_p95_all_mm,pos_p99_all_mm,pos_max_all_mm,pos_p95_suc_mm,rot_p50_all_deg,rot_p95_all_deg,rot_p95_suc_deg,near_limit_ratio,iter_mean,iter_p95,monotonic_pass,nan_count,inf_count
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,100,16,10,30,6.65821654,0.475148566,6.65821654,0.475148566,15019.0369,0,14418.2754,0.98,0.96,0.96,0.151638842,4.38451277,57.9649387,78.5528607,3.1743141,0.0431771737,0.573046801,0.519748983,0.01,21,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,200,16,10,30,13.7242346,0.807846324,13.7242346,0.807846324,14572.7616,0,13844.1235,0.96,0.95,0.95,0.157017191,5.48867184,96.6810384,169.785555,2.25461294,0.0339284285,0.510510182,0.442976469,0.01,20,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,300,16,10,30,19.334305,0.423585695,19.334305,0.423585695,15516.4615,0,14585.4739,0.953333333,0.94,0.94,0.183553318,27.0364254,96.6358102,169.785555,2.35072085,0.028938989,0.573046801,0.435277986,0.00666666667,20,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,400,16,10,30,24.0904076,0.394424226,24.0904076,0.394424226,16604.1193,0,15690.8927,0.9575,0.945,0.945,0.176932114,15.4362359,120.168095,169.785555,2.13323728,0.0285199702,0.580508538,0.448019786,0.005,20,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,500,16,10,30,28.8368417,0.426922062,28.8368417,0.426922062,17338.9307,0,16541.3399,0.966,0.954,0.954,0.174795674,4.33796842,96.6358102,169.785555,2.09849052,0.0308013553,0.568232018,0.452852161,0.004,20,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,600,16,10,30,33.6769695,0.436370636,33.6769695,0.436370636,17816.3299,0,16984.9012,0.963333333,0.953333333,0.953333333,0.173544707,4.36329008,96.6358102,169.785555,2.14457106,0.0292921308,0.568232018,0.478390458,0.005,20,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,700,16,10,30,39.3285726,1.48725471,39.3285726,1.48725471,17798.7645,0,16959.6798,0.962857143,0.952857143,0.952857143,0.185599472,4.7809666,90.625952,169.785555,2.43032926,0.0303825732,0.555079481,0.448409203,0.00714285714,19.5,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,800,16,10,30,44.4214453,1.94833542,44.4214453,1.94833542,18009.3195,0,17131.3651,0.96125,0.95125,0.95125,0.187614037,4.91321802,96.605521,169.785555,2.47257017,0.0303825732,0.571143285,0.448621612,0.0075,19,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,900,16,10,30,49.3296558,1.66415884,49.3296558,1.66415884,18244.6033,0,17352.6449,0.962222222,0.951111111,0.951111111,0.180245476,4.89900681,108.447478,169.785555,2.50836049,0.0299011634,0.568129222,0.457490977,0.00777777778,19,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,1000,16,10,30,54.8680288,1.63697325,54.8680288,1.63697325,18225.55,0,17387.1747,0.965,0.954,0.954,0.181917525,4.56313281,96.5181052,169.785555,2.54634627,0.0298171471,0.529917399,0.448161392,0.007,19,60,1,0,0
