N,cuda_gpu_ms,cuda_throughput,cuda_strict_sr,cuda_pos_p95_mm,cuda_medium_sr,cuda_iter_mean,curobo_gpu_ms,curobo_throughput,curobo_strict_sr,curobo_pos_p95_mm,curobo_p95_success_only_mm,throughput_ratio,valid_throughput_ratio,sr_delta_pp,p95_delta_mm
100,6.658,15019.0,0.9600,4.38,0.9600,21.0,9.632,10382.3,0.8600,74.2,0.1,1.45,,10.0,-69.8
200,13.724,14572.8,0.9500,5.49,0.9500,20.0,9.915,20171.3,0.8750,89.1,0.0,0.72,,7.5,-83.6
300,19.334,15516.5,0.9400,27.04,0.9400,20.0,9.852,30449.4,0.8800,84.7,0.2,0.51,,6.0,-57.7
400,24.090,16604.1,0.9450,15.44,0.9450,20.0,10.947,36538.8,0.8300,100.5,0.2,0.45,,11.5,-85.1
500,28.837,17338.9,0.9540,4.34,0.9540,20.0,11.495,43497.9,0.8380,114.5,0.2,0.40,,11.6,-110.1
600,33.677,17816.3,0.9533,4.36,0.9533,20.0,12.123,49493.5,0.8433,105.6,0.2,0.36,,11.0,-101.3
700,39.329,17798.8,0.9529,4.78,0.9529,19.5,12.681,55198.9,0.8443,88.0,0.3,0.32,,10.9,-83.2
800,44.421,18009.3,0.9513,4.91,0.9513,19.0,13.087,61128.0,0.8387,92.1,0.3,0.29,,11.3,-87.1
900,49.330,18244.6,0.9511,4.90,0.9511,19.0,13.866,64904.7,0.8389,105.3,0.3,0.28,,11.2,-100.4
1000,54.868,18225.5,0.9540,4.56,0.9540,19.0,13.769,72624.3,0.8400,88.7,0.3,0.25,,11.4,-84.1
