
 ** CUDA API Summary (cuda_api_sum):

+----------+-----------------+-----------+------------+----------+----------+-----------+-------------+------------------------+
| Time (%) | Total Time (ns) | Num Calls |  Avg (ns)  | Med (ns) | Min (ns) | Max (ns)  | StdDev (ns) |          Name          |
+----------+-----------------+-----------+------------+----------+----------+-----------+-------------+------------------------+
|     95.7 |      2327343249 |       120 | 19394527.1 | 119563.0 |    20374 |  65896171 |  27417665.7 | cudaEventSynchronize   |
|      4.2 |       102050477 |         7 | 14578639.6 |   5089.0 |     3772 | 102021550 |  38558699.2 | cudaMemcpyToSymbol     |
|      0.0 |          716329 |       160 |     4477.1 |   3271.5 |     1505 |     18875 |      3258.5 | cudaMemcpyAsync        |
|      0.0 |          515312 |         3 |   171770.7 |   2502.0 |     1204 |    511606 |    294306.7 | cudaHostAlloc          |
|      0.0 |          386879 |        40 |     9672.0 |   5740.0 |     3267 |    103616 |     15826.7 | cudaLaunchKernel       |
|      0.0 |          350713 |       240 |     1461.3 |   1086.5 |      869 |     14148 |      1309.0 | cudaEventRecord        |
|      0.0 |          256934 |         3 |    85644.7 |   5036.0 |     1532 |    250366 |    142663.6 | cudaFreeHost           |
|      0.0 |          162431 |         5 |    32486.2 |  10755.0 |     2087 |     95337 |     40777.9 | cudaFree               |
|      0.0 |          124388 |        40 |     3109.7 |   2562.5 |     1617 |      9497 |      1622.0 | cudaMemsetAsync        |
|      0.0 |          104161 |         5 |    20832.2 |   1960.0 |     1508 |     69233 |     29629.4 | cudaMalloc             |
|      0.0 |           41708 |        40 |     1042.7 |    899.5 |      568 |      2778 |       487.8 | cudaStreamSynchronize  |
|      0.0 |           16664 |         1 |    16664.0 |  16664.0 |    16664 |     16664 |         0.0 | cudaStreamCreate       |
|      0.0 |           10803 |        40 |      270.1 |    209.5 |       78 |      1038 |       199.4 | cuKernelGetName        |
|      0.0 |            4230 |         6 |      705.0 |    262.0 |      248 |      2805 |      1030.4 | cudaEventCreate        |
|      0.0 |            3940 |         1 |     3940.0 |   3940.0 |     3940 |      3940 |         0.0 | cudaStreamDestroy      |
|      0.0 |            3595 |         1 |     3595.0 |   3595.0 |     3595 |      3595 |         0.0 | cuModuleGetLoadingMode |
|      0.0 |            2642 |         6 |      440.3 |    231.5 |      201 |      1507 |       523.1 | cudaEventDestroy       |
|      0.0 |            1069 |         1 |     1069.0 |   1069.0 |     1069 |      1069 |         0.0 | cuLibraryGetKernel     |
+----------+-----------------+-----------+------------+----------+----------+-----------+-------------+------------------------+
