
 ** OS Runtime Summary (osrt_sum):

+----------+-----------------+-----------+-------------+-------------+-----------+-----------+-------------+------------------------+
| Time (%) | Total Time (ns) | Num Calls |  Avg (ns)   |  Med (ns)   | Min (ns)  | Max (ns)  | StdDev (ns) |          Name          |
+----------+-----------------+-----------+-------------+-------------+-----------+-----------+-------------+------------------------+
|     70.0 |      4921951587 |       790 |   6230318.5 |   2487400.5 |      1025 | 192967978 |  17723314.8 | poll                   |
|     28.5 |      2000602995 |         4 | 500150748.8 | 500158773.0 | 500118732 | 500166717 |     21672.0 | pthread_cond_timedwait |
|      1.5 |       104127123 |       456 |    228349.0 |      8133.0 |      1000 |  15769381 |    934880.2 | ioctl                  |
|      0.0 |          952833 |        25 |     38113.3 |      5588.0 |      2067 |    651356 |    128699.0 | mmap64                 |
|      0.0 |          644512 |        10 |     64451.2 |     19699.0 |      5406 |    282465 |     89064.6 | sem_timedwait          |
|      0.0 |          273559 |        14 |     19539.9 |      6540.0 |      1392 |    160492 |     41515.4 | mmap                   |
|      0.0 |          214910 |         6 |     35818.3 |      7875.5 |      2365 |    164406 |     63797.5 | fread                  |
|      0.0 |          210813 |        37 |      5697.6 |      2716.0 |      1062 |     45278 |      7920.1 | fopen                  |
|      0.0 |          162019 |        43 |      3767.9 |      2625.0 |      1095 |     12661 |      2948.6 | open64                 |
|      0.0 |          137085 |         4 |     34271.3 |     34243.5 |     17062 |     51536 |     14214.6 | pthread_create         |
|      0.0 |           93305 |         5 |     18661.0 |     16534.0 |     15556 |     22850 |      3702.8 | fgets                  |
|      0.0 |           34923 |        11 |      3174.8 |      3068.0 |      1083 |      6052 |      1628.7 | fclose                 |
|      0.0 |           32633 |         9 |      3625.9 |      2484.0 |      1007 |      7924 |      2890.8 | close                  |
|      0.0 |           17410 |         5 |      3482.0 |      3598.0 |      1370 |      5603 |      1586.3 | open                   |
|      0.0 |           13834 |         8 |      1729.3 |      1542.0 |      1099 |      2923 |       588.6 | read                   |
|      0.0 |           13149 |         8 |      1643.6 |      1721.0 |      1102 |      1955 |       324.0 | write                  |
|      0.0 |           12811 |         4 |      3202.8 |      3112.0 |      1466 |      5121 |      1741.4 | pipe2                  |
|      0.0 |           12725 |         2 |      6362.5 |      6362.5 |      6302 |      6423 |        85.6 | socket                 |
|      0.0 |            9561 |         3 |      3187.0 |      3608.0 |      2282 |      3671 |       784.4 | munmap                 |
|      0.0 |            5898 |         1 |      5898.0 |      5898.0 |      5898 |      5898 |         0.0 | connect                |
|      0.0 |            4198 |         1 |      4198.0 |      4198.0 |      4198 |      4198 |         0.0 | fflush                 |
|      0.0 |            3837 |         2 |      1918.5 |      1918.5 |      1436 |      2401 |       682.4 | fcntl                  |
|      0.0 |            3455 |         2 |      1727.5 |      1727.5 |      1546 |      1909 |       256.7 | fwrite                 |
|      0.0 |            1865 |         1 |      1865.0 |      1865.0 |      1865 |      1865 |         0.0 | bind                   |
+----------+-----------------+-----------+-------------+-------------+-----------+-----------+-------------+------------------------+
