repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.6e-05,0.129728004,0.00548,53.9238396,0.0294400007,54.119331,0
1,1.6e-05,0.105728,0.003147,54.0147514,0.0271039996,54.582171,0
2,3.1e-05,0.107712001,0.004459,53.8649597,0.0286400001,54.161485,0
3,1.3e-05,0.125824004,0.004171,53.8507843,0.0229759999,54.398626,0
4,1.7e-05,0.122079998,0.003753,53.8526382,0.0236479994,54.037812,0
5,1.7e-05,0.109503999,0.005694,53.6900787,0.0211200006,53.857248,0
6,1.3e-05,0.107455999,0.003543,54.1165428,0.0248639993,54.6932,0
7,1.3e-05,0.128031999,0.003263,54.0036163,0.0257280003,54.199294,0
8,1.3e-05,0.127872005,0.003648,53.6430397,0.0231999997,54.143109,0
9,1.6e-05,0.112095997,0.004183,54.164959,0.0267840009,54.458053,0
10,1.3e-05,0.113407999,0.003527,53.7752953,0.0267200004,53.958136,0
11,1.2e-05,0.126752004,0.004323,54.6265297,0.0221439991,54.811886,0
12,1.5e-05,0.109792002,0.004284,54.0363846,0.0225280002,54.204586,0
13,1.2e-05,0.107263997,0.003866,54.2358704,0.0290239993,54.694579,0
14,1.2e-05,0.116159998,0.005829,53.785183,0.0223680008,53.963341,0
15,1.2e-05,0.107519999,0.004661,54.0607033,0.0221439991,54.508582,0
16,1.4e-05,0.109183997,0.005308,53.5253448,0.0256639998,53.81379,0
17,1.7e-05,0.105567999,0.003741,53.6585274,0.0216000006,53.82061,0
18,1.2e-05,0.106816001,0.003347,54.5508156,0.0234559998,54.719167,0
19,1.4e-05,0.110624,0.004549,53.9168968,0.0271039996,54.094952,0
20,1.3e-05,0.126624003,0.004909,54.0238724,0.0210239999,54.496497,0
21,1.3e-05,0.114015996,0.006121,53.6944962,0.0333120003,53.881904,0
22,1.3e-05,0.126368001,0.003366,53.5677109,0.0281920005,54.12254,0
23,1.3e-05,0.112768002,0.004144,53.9260788,0.0291840006,54.22825,0
24,1.3e-05,0.127711996,0.003651,53.7678719,0.0257280003,53.962424,0
25,1.2e-05,0.128383994,0.003473,54.2329597,0.0255999994,54.830835,0
26,1.3e-05,0.128767997,0.003544,53.9755211,0.0256319996,54.172139,0
27,1.4e-05,0.128416002,0.00453,54.0866547,0.0293439999,54.687725,0
28,1.2e-05,0.134016007,0.004506,53.7685127,0.0222399998,53.961343,0
29,1.2e-05,0.106592,0.004052,53.5112648,0.0292160008,54.053177,0
