repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.7e-05,0.112768002,0.012472,103.899811,0.0255040005,106.712763,0
1,1.6e-05,0.119776003,0.012596,100.577988,0.0290239993,103.264175,0
2,1.3e-05,0.108576,0.006034,103.96051,0.0285759997,106.773679,0
3,1.9e-05,0.117824003,0.01369,100.999039,0.0263359994,103.685317,0
4,1.9e-05,0.112000003,0.011653,104.007324,0.02544,106.822766,0
5,2.8e-05,0.131423995,0.009087,80.571907,0.0248319991,81.222286,0
6,1.3e-05,0.110239998,0.013286,54.0198402,0.0290879998,54.215801,0
7,1.5e-05,0.117087997,0.016269,55.1255989,0.0221759994,55.810373,0
8,1.2e-05,0.111391999,0.00717,56.1222382,0.0239039995,56.405192,0
9,1.2e-05,0.117311999,0.00505,103.80381,0.0269760005,106.474708,0
10,1.7e-05,0.107936002,0.00544,108.099457,0.0230400003,110.7587,0
11,1.3e-05,0.113728002,0.008805,105.888161,0.0248000007,108.689652,0
12,1.4e-05,0.113311999,0.014366,108.222015,0.0213760007,110.883551,0
13,1.8e-05,0.110592,0.006183,108.105698,0.0226559993,110.768316,0
14,1.3e-05,0.111936003,0.007041,105.655907,0.0279360004,108.322011,0
15,1.3e-05,0.110079996,0.004876,108.003998,0.0294080004,110.684997,0
16,1.4e-05,0.129887998,0.022092,107.807518,0.0228799991,108.380752,0
17,1.2e-05,0.107072003,0.00846,108.003555,0.0318080001,110.680294,0
18,1.3e-05,0.127616003,0.009132,108.211266,0.0316479988,110.907759,0
19,1.2e-05,0.128703997,0.011411,105.831779,0.0286400001,108.518809,0
20,1.3e-05,0.111552,0.004979,108.191933,0.0246719997,110.873233,0
21,1.3e-05,0.11152,0.008153,108.286751,0.0271680001,110.693739,0
22,2.5e-05,0.121247999,0.012137,106.229538,0.0224319994,109.006358,0
23,1.4e-05,0.110207997,0.006137,108.020737,0.0270080008,110.679626,0
24,1.3e-05,0.108287998,0.011044,105.190178,0.0287040006,107.906061,0
25,1.2e-05,0.113888003,0.004948,108.397987,0.0273599997,111.062729,0
26,1.3e-05,0.112992004,0.005684,108.205025,0.0217920002,110.861232,0
27,1.3e-05,0.114111997,0.007721,105.835648,0.0223999992,108.498014,0
28,1.4e-05,0.111840002,0.005317,108.223488,0.0231999997,110.89061,0
29,1.3e-05,0.112255998,0.013118,105.520958,0.0300479997,108.212823,0
