target_id,best_seed_id,q0,q1,q2,q3,q4,q5,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,success_rank
0,0,-2.1157889455746881,-1.0678594469375524,-0.67700171730584469,-3.5044938180474605,4.2734951952778193,2.802139019955292,0.0854501641438,0.858630165293,0.00022458520311919211,0,0.00011229260155959606,16,1,1,1,0,0
1,0,-2.5049843773133542,-4.289866236875377,1.2631112877386748,2.7076684918278864,2.8042413299439488,-4.1258030160387449,0.0704365239983,0.0193127271256,1.1857794445182998e-07,0,5.928897222591499e-08,14,1,1,1,0,0
2,0,2.1953710511345217,-3.6591682812349995,0.20576514812072794,-3.0533417539974193,-4.5089332000829705,2.222019000087414,137.761694812,0.233198076397,0.018994850061810016,0,0.009497425030905008,60,0,0,0,0,3
3,0,5.277641004206771,2.6302758875197587,-2.2119653362935714,-3.5538819845672491,-0.41640615250016316,-3.6830106248922352,9.64882073612,0.0338952207567,9.3449712283725985e-05,0,4.6724856141862992e-05,60,1,1,0,0,1
4,0,6.2831853071795862,-3.4675975621780428,2.3716022985915028,1.9213364517008871,4.1731003273973863,5.1589052271329834,1272.19562311,52.1926794328,2.4482826408128244,0.0075689999999999993,1.2243683904064122,60,0,0,0,1,3
5,0,0.60365447869104005,2.690924315828823,1.769391375114296,-2.4626410374203069,-0.56337781657340891,4.179615340042468,0.0391073014493,0.12308570825,4.6165111862348986e-06,0,2.3082555931174493e-06,8,1,1,1,0,0
6,0,5.2124128531449418,1.5808232270429192,1.560908401006005,5.0478815412730302,-1.2455054767470388,2.3895687025566987,2.63978741815,0.692813317373,0.00015318188210707503,0,7.6590941053537515e-05,44,1,1,1,0,0
7,0,-2.2449275548428047,-3.6770515474733156,-1.395029421042866,6.2762127549884505,-1.2978968136464966,-2.9902655066011139,10.2432316645,0.217849442234,0.00011938044403765899,0.0064043924028005014,0.00025182199410284453,60,1,0,0,1,2
8,0,3.07076601551148,-2.2188092159136823,2.9347948875048604,-1.4963072788053293,1.0122520272490587,6.2831853071795862,30.3165908421,1.85802198436,0.0019707098561725384,0.0075689999999999993,0.0012124249280862692,60,0,0,0,1,3
9,0,6.2831853071795862,-4.6250776528774606,2.752129384165185,6.2831853071795862,-5.3394983793873445,-6.2831853071795862,350.13400658,54.5364515801,1.0285944311412978,0.022706999999999998,0.51497842557064888,60,0,0,0,1,3
10,0,4.9161860123123571,-4.5619095010935071,2.7330154594775298,0.097813225470955889,-3.4556278294339755,-6.2831853071795862,59.2109225008,4.70100855856,0.010237820366687987,0.0075689999999999993,0.0053459801833439938,60,0,0,0,1,3
11,0,-1.2578739246422999,-2.1093440385152533,3.1363590537927917,-4.1530466401263979,0.49604930742773856,-6.2308188134527649,390.208252012,10.7392511045,0.18739446823999376,0.0078852239589312263,0.093933790838764811,60,0,0,0,1,3
12,0,-1.4797727828658742,-3.7904498608090846,2.5101787801684119,-4.7794405190933613,-4.4410064135534775,-1.4641795160448716,0.0826930281144,0.987254161387,0.00029690853603087965,0,0.00014845426801543982,21,1,1,1,0,0
13,0,1.3513496811167329,-1.8988507051094066,-3.1009501164251492,-6.2410848485214796,-3.1133487566731248,0.3053643018343542,749.844835346,15.3664634417,0.63419603972340799,0.0041649831732438088,0.31722296935690131,60,0,0,0,1,3
14,0,1.7034963608228275,-0.79403100238455604,1.2953951003513069,-3.0569574393084293,2.2970671180483815,1.1327580428461939,0.156722206194,0.705641645609,0.00015170275389904113,0,7.5851376949520564e-05,21,1,1,1,0,0
15,0,2.4504491885514343,3.1482925360615668,0.59741737067387957,6.1120132767088471,-4.4871261308814203,-0.024648483031259414,0.00526402066803,0.655228912549,0.00013077987947878242,0,6.538993973939121e-05,13,1,1,1,0,0
16,0,3.4999479519404253,3.9826928835770428,-1.3821670947460343,1.9898680734928518,2.0567828074492187,6.2474671672133351,4.71977762604,0.0297286329519,2.2545519161307306e-05,0.0026298291685210046,9.0167634636283784e-05,23,1,1,1,1,0
17,0,-0.034697862309734803,3.877890624810751,2.121775431120545,5.6874796389433246,0.84327684579262574,-1.3556982643443338,0.0208889790255,0.513819598047,8.0422657823385469e-05,0,4.0211328911692734e-05,19,1,1,1,0,0
18,0,1.1455073714007271,-1.7917763807152087,-1.5662226127255288,6.2831853071795862,-4.44723539434003,-3.4655496142542201,8.5601834585,0.740118797242,0.00024013880202693354,0.0075689999999999993,0.00034713940101346673,60,1,1,0,1,1
19,0,0.492576260706518,-3.7213301086559887,0.067962536708474075,-3.8974836590875479,-5.2043809798337319,-1.4761965692193304,187.746933855,1.01921285193,0.035565346175084736,0,0.017782673087542368,60,0,0,0,0,3
20,0,-0.79391455521001242,6.1041826502586689,-2.6264662635917975,-4.7600835773121064,0.79829044106625191,-0.4921892847077658,0.921044050785,0.434814238562,5.8440333946236627e-05,0,2.9220166973118313e-05,33,1,1,1,0,0
21,0,-0.87665906148279527,-6.0919875780643027,-1.8030449853232133,-1.692176800976477,-5.4062642195940507,-5.1292608665017889,0.0743881327164,0.223562596248,1.5230383650045185e-05,0,7.6151918250225927e-06,6,1,1,1,0,0
