repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.2e-05,0.0107519999,0.003643,18.9759998,0.00771200005,19.015926,0
1,1.3e-05,0.0106560001,0.002823,21.0773449,0.00828799978,21.120284,0
2,1.2e-05,0.011136,0.003628,18.481472,0.00745599996,18.520536,0
3,1.2e-05,0.0107519999,0.002543,20.0755196,0.0106880004,20.122684,0
4,1.3e-05,0.0116800005,0.006715,18.5471363,0.00761599978,18.587738,0
5,1.3e-05,0.011008,0.002976,20.1536961,0.00774399983,20.196438,0
6,1.2e-05,0.0111999996,0.002562,18.7676487,0.0158399995,18.822073,0
7,1.3e-05,0.0110400002,0.002467,18.3136959,0.0156159997,18.363579,0
8,1.3e-05,0.0112319998,0.002394,18.9104958,0.00761599978,18.951708,0
9,1.2e-05,0.0105919996,0.002917,19.2118397,0.00815999974,19.254273,0
10,1.3e-05,0.0112640001,0.003951,19.5695686,0.00848000031,19.612989,0
11,1.3e-05,0.0112960003,0.002512,18.7679996,0.0158079993,18.81553,0
12,1.2e-05,0.0105919996,0.002373,18.57584,0.0157440007,18.625171,0
13,1.3e-05,0.0109759998,0.002251,20.3814716,0.0147839999,20.43114,0
14,1.2e-05,0.0110719996,0.002043,19.659296,0.00758400001,19.699232,0
15,1.2e-05,0.0108160004,0.002429,20.0397434,0.00787200034,20.081259,0
16,1.3e-05,0.0110719996,0.002588,19.2265606,0.00771200005,19.269403,0
17,1.3e-05,0.0111039998,0.002638,19.2894077,0.0157760009,19.339126,0
18,1.2e-05,0.0110719996,0.0023,19.2207355,0.00710400008,19.260129,0
19,1.3e-05,0.0107199997,0.002775,18.5274239,0.00719999988,18.566637,0
20,1.3e-05,0.0108479997,0.002768,19.3652153,0.00748800021,19.407639,0
21,1.3e-05,0.0112960003,0.002143,19.9983044,0.0098240003,20.045027,0
22,1.2e-05,0.0108160004,0.005558,20.1520329,0.00867199991,20.19303,0
23,1.3e-05,0.0112319998,0.003149,20.7756481,0.0157760009,20.825211,0
24,1.3e-05,0.0112960003,0.00211,19.1976967,0.00755200023,19.24066,0
25,1.2e-05,0.0113279996,0.002281,19.0955524,0.0158399995,19.145963,0
26,1.1e-05,0.0140479999,0.002224,19.5759678,0.0157760009,19.629999,0
27,1.3e-05,0.011136,0.0028,18.7820797,0.00774399983,18.82346,0
28,1.3e-05,0.0106560001,0.003436,21.3421764,0.00819199998,21.383138,0
29,1.4e-05,0.0110400002,0.003134,19.0574398,0.00729600014,19.097338,0
