method,N,K,warmup,repeat,gpu_stream_ms_mean,gpu_stream_ms_std,e2e_ms_mean,e2e_ms_std,raw_throughput_mean,raw_throughput_std,valid_throughput_strict,loose_sr,medium_sr,strict_sr,pos_p50_all_mm,pos_p95_all_mm,pos_p99_all_mm,pos_max_all_mm,pos_p95_suc_mm,rot_p50_all_deg,rot_p95_all_deg,rot_p95_suc_deg,near_limit_ratio,iter_mean,iter_p95,monotonic_pass,nan_count,inf_count
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,100,1,10,30,6.51525122,0.242389746,6.51525122,0.242389746,15348.6023,0,6906.87104,0.53,0.49,0.45,12.734984,642.23333,1011.69095,1272.19562,4.31381756,0.735833986,51.1198354,0.953595323,0.45,60,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,200,1,10,30,8.53434563,0.203545458,8.53434563,0.203545458,23434.72,0,11600.1864,0.56,0.525,0.495,4.9668698,638.929313,1061.56105,1272.19562,4.7201059,0.68933501,50.2977101,0.945163215,0.38,60,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,300,1,10,30,14.7586901,0.278606319,14.7586901,0.278606319,20327.0072,0,9824.72015,0.536666667,0.513333333,0.483333333,6.95119877,658.791084,1061.56105,1272.19562,4.5242937,0.729838137,50.2557282,0.953600152,0.37,60,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,400,1,10,30,16.6492692,0.643777772,16.6492692,0.643777772,24025.0785,0,11652.1631,0.5375,0.51,0.485,7.02424297,709.378774,1067.49659,1272.19562,4.72092658,0.740406809,51.3590129,0.943942243,0.3725,60,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,500,1,10,30,19.437167,0.775418312,19.437167,0.775418312,25723.9134,0,12913.4045,0.55,0.526,0.502,4.95724083,686.162194,1061.31319,1272.19562,4.77105945,0.701872099,51.1132437,0.939560656,0.362,60,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,600,1,10,30,22.7785664,0.562499743,22.7785664,0.562499743,26340.5515,0,13521.4831,0.561666667,0.535,0.513333333,4.84569507,709.378774,1054.29184,1272.19562,4.7219114,0.675280156,51.1132437,0.943949487,0.36,53,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,700,1,10,30,26.4809877,0.577664779,26.4809877,0.577664779,26434.0594,0,13670.185,0.564285714,0.537142857,0.517142857,4.78905616,717.007941,1067.49659,1272.19562,4.71871672,0.685781849,51.1132437,0.943496478,0.354285714,51.5,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,800,1,10,30,29.4340863,0.675309518,29.4340863,0.675309518,27179.3727,0,13997.3769,0.56125,0.535,0.515,4.82787497,717.007941,1082.48266,1278.4113,4.70810761,0.700201961,51.5903321,0.934329767,0.36375,51.5,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,900,1,10,30,32.46181,0.60391921,32.46181,0.60391921,27724.8865,0,14386.1356,0.563333333,0.536666667,0.518888889,4.72141899,703.829826,1067.40011,1278.4113,4.69364482,0.676143869,51.5903321,0.927486008,0.353333333,50.5,60,1,0,0
CUDA-V4-opt4c_block_target-analytic-graph_off-precision_fp64-fallback_none,1000,1,10,30,35.8905126,0.620641307,35.8905126,0.620641307,27862.5165,0,14544.2336,0.568,0.54,0.522,4.58813523,685.013048,1061.72481,1278.4113,4.61401528,0.657200787,51.1132437,0.92759901,0.35,50,60,1,0,0
