N,k1_strict_sr,k1_throughput,k1_p95_mm,k1_gpu_ms,curobo_strict_sr,curobo_throughput,curobo_p95_suc_mm,sr_delta_pp,throughput_ratio
100,0.45,15348.6023,642.23333,6.51525122,0.86,10382.335671057055,0.05146155182115662,-41.0,1.478
200,0.495,23434.72,638.929313,8.53434563,0.875,20171.310658631646,0.018976091463604603,-38.0,1.162
300,0.483333333,20327.0072,658.791084,14.7586901,0.88,30449.41747628262,0.18208914566986092,-39.7,0.668
400,0.485,24025.0785,709.378774,16.6492692,0.83,36538.844957885805,0.22449498052040215,-34.5,0.658
500,0.502,25723.9134,686.162194,19.437167,0.838,43497.86960926852,0.22236305744134516,-33.6,0.591
600,0.513333333,26340.5515,709.378774,22.7785664,0.8433333333333334,49493.538929866394,0.21534083394745754,-33.0,0.532
700,0.517142857,26434.0594,717.007941,26.4809877,0.8442857142857143,55198.87124064612,0.28224674090074753,-32.7,0.479
800,0.515,27179.3727,717.007941,29.4340863,0.83875,61128.03213288432,0.28286794958766004,-32.4,0.445
900,0.518888889,27724.8865,703.829826,32.46181,0.8388888888888889,64904.74426983965,0.2965181536481095,-32.0,0.427
1000,0.522,27862.5165,685.013048,35.8905126,0.84,72624.31299620564,0.28305014312940485,-31.8,0.384
