target_id,best_seed_id,q0,q1,q2,q3,q4,q5,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,success_rank
0,14,3.9362982269715245,5.0868028389845499,-0.98417438323717721,0.73735468821709238,1.8673410742678871,0.80064175138420146,3.78597004774,0.036568534021,1.4740921186602362e-05,0,7.3704605933011809e-06,17,1,1,1,0,0
1,0,-2.5049843773133542,-4.289866236875377,1.2631112877386748,2.7076684918278864,2.8042413299439488,-4.1258030160387449,0.0704365239983,0.0193127271256,1.1857794445182998e-07,0,5.928897222591499e-08,14,1,1,1,0,0
2,10,5.1374038778863866,-5.9297458880322687,0.43173379514086607,4.161080012232552,-3.3278384077778251,-6.0512972767597715,0.665409316519,0.162050089355,8.4420935088501989e-06,0,4.2210467544250995e-06,10,1,1,1,0,0
3,1,5.8244380941603993,6.0625740213177446,2.4014483284609147,-1.867035018756829,4.9866035511823341,-2.3324721173191523,0.0174515647667,0.583840162946,0.00010383504213382666,0,5.1917521066913329e-05,11,1,1,1,0,0
4,2,-2.1420936964575645,-0.49083571707993312,0.50415419110592918,5.3236613150169783,-4.4401939977489526,-0.82705535343200709,20.3753799396,6.12935902001,0.011859340744405648,0,0.0059296703722028238,20,1,0,0,0,2
5,2,3.1350170972966263,-5.8368351085539256,-1.7645931295915773,5.5132081126231629,-5.8563528020487823,-4.7014594871374324,0.064018501614,0.0694557234967,1.4736025098558693e-06,0,7.3680125492793463e-07,16,1,1,1,0,0
6,14,1.6061387641705887,-0.012061954582993858,1.6832059148361129,3.1280084281760643,-4.2519032674199284,2.65490932481831,0.718526715555,0.440134008701,5.9526141400663103e-05,0,2.9763070700331551e-05,12,1,1,1,0,0
7,2,4.044124958318088,1.363898912660364,1.206324286083458,-0.84507337465220456,-1.3306249311650258,-2.5795858514090528,0.0478556296093,0.0545815351376,9.0978931302926355e-07,0,4.5489465651463178e-07,17,1,1,1,0,0
8,8,-5.064150066209451,-4.6315204553805378,2.793628763765359,-0.85295111063786788,-4.4594743141678785,2.7808066920756267,0.156785298695,0.0204899932323,1.5247215338899757e-07,0,7.6236076694498784e-08,10,1,1,1,0,0
9,15,-3.2873147258017026,2.3527374769140601,-2.8820923963128537,5.1588812007327904,1.8027673231776709,1.9010411762337627,0.176243005466,0.0245943729785,2.1531955121173898e-07,0,1.0765977560586949e-07,17,1,1,1,0,0
10,3,-6.2831853071795862,-1.5597783458629324,2.9359380251479474,5.419177010235658,-2.0565716004733985,-4.5314165812760336,7.44540771762,0.995427664472,0.00035727225817524795,0.0075689999999999993,0.00040570612908762398,20,1,1,0,1,1
11,8,0.49526886868138298,-1.8045268206641549,-2.8394906580736547,1.297739196720364,4.4439758032133385,0.67290948181041432,0.468551724443,0.0392879294263,6.8973031665727025e-07,0,3.4486515832863513e-07,20,1,1,1,0,0
12,5,0.83764018807113438,0.60826980245390028,-2.5951800086944794,-4.8940327765122529,3.9205149295522621,-0.39721511382368424,4.67683412693,0.0088500689946,2.1896636220686891e-05,0,1.0948318110343445e-05,13,1,1,1,0,0
13,10,5.2488675064235801,-0.091787305154449994,-1.998589073673682,-5.1162263313565504,1.785942157222399,-0.73615310079349039,0.031624664984,0.000392580699078,1.0470669518489487e-09,0,5.2353347592447434e-10,17,1,1,1,0,0
14,2,-4.6037418668795294,0.50664780946024557,-1.4802503244723519,5.3169204250737625,-4.2788891380532883,1.4781190613092803,0.0458430424688,0.15226902242,7.0649169677093081e-06,0,3.532458483854654e-06,12,1,1,1,0,0
15,10,2.3891190193327425,-3.1008165285875422,0.76147581371556716,4.413219492742777,2.8831885466141487,6.1818342246633566,0.816847205682,0.195007305842,1.2251184700859215e-05,0,6.1255923504296073e-06,7,1,1,1,0,0
16,2,-0.048522864274720419,-5.6339318579382001,-1.915118328200959,6.0205132996174413,1.1840991627979682,-2.085400091788534,0.0961673065563,0.467383691048,6.6552166424678654e-05,0,3.3276083212339327e-05,14,1,1,1,0,0
17,6,-1.8697635468880591,-3.0446636571435279,2.3203970328928141,-3.8030636342282125,4.6940179357811447,-2.6632122385039403,0.0261555518296,0.0177150427211,9.6279985797100022e-08,0,4.8139992898550011e-08,15,1,1,1,0,0
18,7,1.2516152646415102,4.4805783431302473,-1.5850743854390226,0.096115494973228036,0.87457667613575996,-2.4418015837447569,0.0352824996534,0.0505024402656,7.7817050949412798e-07,0,3.8908525474706399e-07,6,1,1,1,0,0
19,7,3.3563067086008123,0.55774870937348653,0.22691653532282813,3.3717945998231076,2.5824067886304305,0.5343654268678929,72.3177966648,7.68273501396,0.023209729415189929,0,0.011604864707594965,20,0,0,0,0,3
20,11,-2.8222662579541726,5.1347085389899654,-2.1958469720933045,-3.1829590429429935,3.2291556000806243,3.5869449089524728,0.387335878559,0.0453507475104,7.7653277522982173e-07,0,3.8826638761491087e-07,11,1,1,1,0,0
21,7,-3.4547367741018653,2.9797212209420159,1.964740472727788,-2.2599615126628363,-3.2466429523324343,5.52373759772561,0.560411185216,0.0626181448898,1.5084753684098909e-06,0,7.5423768420494547e-07,7,1,1,1,0,0
22,8,-3.6512422367126045,-0.43481364970412012,-0.27319388746800582,-1.3205361699533342,1.8369219656040041,3.3880306489635919,0.0515441118022,0.403657523206,4.9636835199001122e-05,0,2.4818417599500561e-05,19,1,1,1,0,0
23,1,-2.1720111261989681,5.925409627626415,-2.2506947638536907,-1.9014459064299534,-1.8246409761449807,3.963143779624779,27.6010982931,1.40199454647,0.0013605731876838955,0,0.00068028659384194773,20,1,0,0,0,2
24,15,4.2809982004442846,-5.7065289854170089,2.8825219157573723,-2.4520756505478056,-1.2994324397162331,-2.6940713409093413,0.864686589783,0.00267843048456,7.4986822083136287e-07,0,3.7493411041568143e-07,20,1,1,1,0,0
25,1,-3.8159639014956599,-2.4975864750660972,-1.2037429709342327,1.9355280357048781,-4.6590128341842219,2.6405634497575714,0.134656862786,0.044069557819,6.0973785928577946e-07,0,3.0486892964288973e-07,12,1,1,1,0,0
26,14,-2.2283320937381448,-3.2428577303034531,2.5543599547419134,-2.3232758766661408,-1.8843133691989375,2.0914496727643535,0.667708092421,0.0651382968759,1.7383251142794571e-06,0,8.6916255713972856e-07,16,1,1,1,0,0
27,9,4.8961318189138172,0.94004506930943199,-0.1329600220342457,-2.8807094353215392,1.0493846793604671,-5.7419657308186194,2.92956239735,0.607359287389,0.0001209512253347683,0,6.0475612667384151e-05,17,1,1,1,0,0
28,5,-1.4726442863070035,-4.2062488741533404,-1.0177375604798351,-4.330787934899833,4.6063040741893371,-3.2802412535891845,51.8933964725,1.2497203549,0.0031686763777749468,0,0.0015843381888874734,20,0,0,0,0,3
29,1,1.2253482329029453,0.87041771356703435,-2.9596238122291254,3.2855591195022358,4.4515333228796941,0.71868371744514759,30.9916227138,0.0956207173502,0.0009632658934672514,0,0.0004816329467336257,20,0,0,0,0,3
30,7,0.94803698858752261,5.2033211106196227,-1.8948868368032807,-4.6240955439140912,1.3913540456649334,4.2905665295327395,0.0132807864173,0.189065039646,1.088890553510965e-05,0,5.4444527675548248e-06,11,1,1,1,0,0
31,9,-1.0301723349261291,-2.172311133353932,2.6099677531082488,0.17274611285392935,-1.7500659409895292,2.4474193456127575,0.888326296429,0.026514561018,1.0032763401643518e-06,0,5.0163817008217592e-07,15,1,1,1,0,0
32,2,4.2733752152598736,-1.9387836430383341,1.9849100061367182,-5.2719073365476987,-1.6887822485084292,4.0979974014703355,0.026677624048,0.38897690665,4.6090251490176897e-05,0,2.3045125745088448e-05,20,1,1,1,0,0
33,14,5.9465224438247368,2.0427750677145755,-2.9646795460704265,1.2148872302906946,-1.5507053322873618,1.4918724826057779,4.97614212372,0.0102500333725,2.4793994511514412e-05,0,1.2396997255757206e-05,14,1,1,1,0,0
34,6,-5.616056308780208,0.78450444308865908,2.3523552423684735,4.95478992567062,4.3812300242682261,1.3023017348753847,0.140581610106,0.0907140893123,2.5264739488503264e-06,0,1.2632369744251632e-06,11,1,1,1,0,0
35,6,0.50307481754743522,-4.3624198772524903,2.5263159602640575,-5.9557681390039114,-4.1992151394838162,3.7972066309737222,0.212252037606,0.0605580998506,1.1621693519218386e-06,0,5.8108467596091931e-07,16,1,1,1,0,0
36,7,-4.7734391481347345,-5.757521082044847,1.4581586028011599,4.2811690347334457,3.9244671599965968,-0.72903108189089671,0.174029644743,0.00171826874268,3.1185684180472219e-08,0,1.5592842090236109e-08,13,1,1,1,0,0
37,3,-0.81773717457120176,4.0185353132235839,-2.5567410010188829,-4.6650815704500577,-1.6366774239899768,2.1488695374908695,0.103054899762,0.107842504644,3.5533226736410704e-06,0,1.7766613368205352e-06,15,1,1,1,0,0
38,2,-4.4012828107094881,3.9890356840638659,2.2965070583841802,-0.54288795233349774,-5.1329541003770762,-3.1145919195701293,0.422934960653,0.0265276859074,3.9323877879239065e-07,0,1.9661938939619532e-07,15,1,1,1,0,0
39,10,0.55348104711660984,-3.8390766818212536,-1.0935752769018878,-3.3762803072014242,-2.6183941413073764,-0.75842584645146793,0.0812280803624,0.411848544266,5.1675568183707768e-05,0,2.5837784091853884e-05,10,1,1,1,0,0
40,2,2.2569366448989236,-0.4874016034438971,-0.76751960931048757,-1.8237214045643537,-5.0553746963798742,-1.1441601463755042,0.0977703358124,0.157030366134,7.5209786165786768e-06,0,3.7604893082893384e-06,13,1,1,1,0,0
41,5,1.1102566342247642,-0.05116444849949664,2.3056711579123901,-0.26643134695674808,5.8742733649193122,1.3912234726513288,0.0543890455411,0.0682462409164,1.4217288487928111e-06,0,7.1086442439640555e-07,12,1,1,1,0,0
42,15,1.2288528372073666,-4.5244101239397319,-1.7360080983667141,-2.3978290024917377,-4.4440328103092019,-1.3955779046722494,0.11815662413,0.00816264051855,3.4257250575076536e-08,0,1.7128625287538268e-08,20,1,1,1,0,0
43,8,1.2744116104726573,-3.75459243798195,-1.5974138397105113,4.3346457639035414,1.2306746048097639,3.1061560108641344,0.392450010737,0.471435115811,6.7855564017702653e-05,0,3.3927782008851326e-05,20,1,1,1,0,0
44,11,1.394114956190786,1.6937088662885702,0.82452760853191343,3.1403949857279017,5.3782612205385654,-3.4471372924815036,0.450554318304,0.332834058815,3.3948063293197046e-05,0,1.6974031646598523e-05,15,1,1,1,0,0
45,9,-2.1488005908751688,1.6177152216505928,1.9453639038904034,-5.3301627180104747,-4.5077809712536094,-5.5990812017759186,0.0250794917611,0.0352586455126,3.7932085329852502e-07,0,1.8966042664926251e-07,16,1,1,1,0,0
46,15,2.7537337088296434,-1.1092676093328857,-0.085548146849750539,5.0224289404633247,-2.3920415615989459,6.2791545670420197,13.3949409499,1.60797820324,0.0009670413861277593,0.0068838980821200099,0.00069003763552747993,20,1,0,0,1,2
47,9,4.6672646323218059,-3.1179978760926903,1.2201309578926385,3.6170398449951717,-2.5126150811990198,-1.9114881677571178,2.00826463111,0.0866440151866,6.319946265131223e-06,0,3.1599731325656115e-06,6,1,1,1,0,0
48,7,-0.68058335598676678,1.0949343879298898,1.6409314463919993,-5.3018895075928398,0.9508904755064026,4.6373606528857145,0.109635117071,0.0725813011765,1.6167582195517548e-06,0,8.083791097758774e-07,16,1,1,1,0,0
49,4,-2.4805382752148115,-5.0221035279445161,2.3864282286132177,-4.4278495795184698,1.4718455512781341,-4.8589557234730849,0.159141011409,0.140261525506,6.0181543867820991e-06,0,3.0090771933910496e-06,11,1,1,1,0,0
50,11,4.0130710756843451,-2.4798809872158603,2.5159008019184408,-5.7231800049340995,5.2658167825456719,-2.0563267370347851,2.99166976816,0.490971814612,8.2379129206926576e-05,0,4.1189564603463288e-05,7,1,1,1,0,0
