repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.2e-05,0.138080001,0.004651,152.990402,0.0232319999,155.693427,0
1,1.2e-05,0.108608,0.008788,152.914139,0.0274560004,155.725324,0
2,1.2e-05,0.108223997,0.009848,153.008774,0.0286400001,155.689145,0
3,1.2e-05,0.131104007,0.008919,149.610046,0.024704,152.102883,0
4,1.4e-05,0.111872002,0.005996,153.408569,0.0304639991,156.085338,0
5,1.3e-05,0.111648001,0.007878,153.512985,0.0264320001,156.320339,0
6,2.6e-05,0.114752002,0.007748,149.641571,0.0250879992,152.318953,0
7,1.4e-05,0.107519999,0.005418,154.292389,0.0247360002,157.09633,0
8,1.3e-05,0.109664001,0.007272,154.022308,0.0236159991,156.761207,0
9,2.3e-05,0.108864002,0.007135,153.076614,0.0230080001,154.304777,0
10,1.3e-05,0.111008003,0.007676,151.403961,0.0432320014,154.092247,0
11,1.4e-05,0.110688001,0.005459,153.363525,0.0266880002,156.178741,0
12,1.3e-05,0.111327998,0.006456,153.086945,0.0256639998,155.872958,0
13,1.4e-05,0.114656001,0.009773,149.729126,0.0227840003,152.536245,0
14,1.2e-05,0.109439999,0.011309,127.340897,0.0228160005,127.900832,0
15,1.3e-05,0.116223998,0.00806,76.6789474,0.0231999997,76.86357,0
16,1.3e-05,0.106880002,0.007413,79.8450851,0.0252480004,80.1332,0
17,1.7e-05,0.11344,0.015018,148.663452,0.0234559998,151.341198,0
18,1.7e-05,0.109888002,0.009303,153.177444,0.0229439996,155.971235,0
19,1.7e-05,0.116416,0.010455,152.813049,0.0256960001,155.619345,0
20,1.7e-05,0.119199999,0.010837,149.642746,0.0255999994,152.447669,0
21,1.7e-05,0.114303999,0.009649,152.982819,0.0306560006,155.672292,0
22,2.4e-05,0.134560004,0.008563,153.11322,0.0291840006,155.937095,0
23,1.9e-05,0.110335998,0.008067,151.589188,0.0389759988,152.181774,0
24,1.8e-05,0.129344001,0.008762,153.108353,0.0251519997,155.608097,0
25,1.3e-05,0.113760002,0.006938,153.278656,0.0306560006,155.963548,0
26,1.2e-05,0.128352001,0.007092,153.020035,0.0245120004,155.827215,0
27,1.4e-05,0.108543999,0.007646,149.149475,0.0262400005,151.821679,0
28,1.3e-05,0.107776001,0.007936,153.370728,0.0283840001,155.849302,0
29,1.2e-05,0.110528,0.008512,153.336761,0.032159999,156.022357,0
