repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.3e-05,0.0409279987,0.009764,28.4142399,0.00777600007,28.496495,0
1,1.4e-05,0.0392960012,0.003886,28.4166718,0.0154560003,28.503536,0
2,1.2e-05,0.0392000005,0.002505,28.3994236,0.00771200005,28.476706,0
3,1.3e-05,0.0382400006,0.002756,29.2600956,0.00851199962,29.339385,0
4,1.3e-05,0.0388800018,0.004909,30.2649918,0.0122880004,30.809722,0
5,1.3e-05,0.0526399985,0.003202,30.7704315,0.00780799985,30.863569,0
6,1.2e-05,0.0389439985,0.002693,30.7472954,0.0161279999,30.834045,0
7,1.2e-05,0.0388160013,0.002288,30.7130241,0.0138560003,30.915364,0
8,1.3e-05,0.0397440009,0.003216,30.6494408,0.00825599954,30.731811,0
9,1.2e-05,0.0394239984,0.002505,28.4074879,0.00761599978,28.486231,0
10,1.3e-05,0.0389119983,0.002791,28.4072952,0.00803199969,28.484259,0
11,1.5e-05,0.038784001,0.003523,29.2705917,0.00857600011,29.352416,0
12,1.3e-05,0.0395519994,0.004292,28.4102077,0.00777600007,28.487566,0
13,1.2e-05,0.0382080004,0.003176,28.4053764,0.00825599954,28.484128,0
14,1.3e-05,0.0394239984,0.003534,28.4088001,0.0155199999,28.49499,0
15,1.2e-05,0.0396159999,0.002953,29.2729282,0.00953599997,29.353165,0
16,1.7e-05,0.0388160013,0.003993,28.4142723,0.00761599978,28.489531,0
17,1.2e-05,0.0383680016,0.002887,28.4234886,0.00819199998,28.501222,0
18,1.3e-05,0.0378880017,0.003944,28.4157124,0.00838399958,28.491478,0
19,1.4e-05,0.0382080004,0.003483,29.2701111,0.00921600033,29.351396,0
20,1.8e-05,0.0397440009,0.004143,28.4120007,0.00979200006,28.498909,0
21,1.2e-05,0.0392960012,0.005146,28.4064636,0.00784000009,28.485489,0
22,1.4e-05,0.0394239984,0.002645,28.4071369,0.0158399995,28.493023,0
23,1.2e-05,0.0391680002,0.002619,29.2504005,0.0109440004,29.336717,0
24,1.4e-05,0.0386880003,0.005918,28.4156475,0.00780799985,28.496196,0
25,1.2e-05,0.0381760001,0.004655,28.4206085,0.00751999998,28.494965,0
26,1.3e-05,0.0384639986,0.003338,28.4102402,0.00854399987,28.488859,0
27,1.7e-05,0.0385279991,0.005309,28.7905273,0.0114559997,29.080715,0
28,1.2e-05,0.0441920012,0.008346,28.7172165,0.00755200023,28.808782,0
29,1.3e-05,0.0394559987,0.003011,28.4112644,0.00771200005,28.48712,0
