repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.4e-05,0.0114879999,0.003667,6.09040022,0.0037440001,6.124049,0
1,1.3e-05,0.0112640001,0.003425,6.09632015,0.00342399999,6.130536,0
2,1.3e-05,0.0111039998,0.002779,6.09516811,0.0114879999,6.137776,0
3,1.2e-05,0.0109120002,0.002802,6.09603214,0.00297600008,6.130066,0
4,1.3e-05,0.0108479997,0.00244,6.0855999,0.0112960003,6.12764,0
5,1.3e-05,0.0109120002,0.002747,6.28179216,0.00345600001,6.316447,0
6,1.4e-05,0.0109759998,0.00295,6.09619188,0.00854399987,6.294654,0
7,1.2e-05,0.0116480002,0.003199,6.40150404,0.00950399972,6.559789,0
8,1.2e-05,0.0109120002,0.003107,6.09222412,0.00294400007,6.126099,0
9,1.3e-05,0.0109120002,0.002477,6.08239985,0.00326399994,6.116507,0
10,1.2e-05,0.0109759998,0.002821,6.09456015,0.00329599995,6.128297,0
11,1.3e-05,0.0111039998,0.003393,6.09884787,0.00390399992,6.135873,0
12,1.3e-05,0.0108479997,0.004625,6.2877121,0.00323199993,6.322925,0
13,1.4e-05,0.0109120002,0.003214,6.57446384,0.00345600001,6.609362,0
14,1.2e-05,0.0109759998,0.002402,6.23830414,0.0105280001,6.279863,0
15,1.3e-05,0.0109440004,0.002514,6.07859182,0.00323199993,6.112466,0
16,1.4e-05,0.0110719996,0.002857,6.09126377,0.00335999997,6.124574,0
17,1.2e-05,0.0109759998,0.002416,6.09481621,0.00297600008,6.12773,0
18,1.3e-05,0.0108479997,0.002178,6.09881592,0.00377600011,6.132941,0
19,1.4e-05,0.011008,0.003612,6.29337597,0.00819199998,6.492721,0
20,1.4e-05,0.0109120002,0.003675,6.54422379,0.00339199998,6.57906,0
21,1.1e-05,0.0112960003,0.003198,6.08297586,0.00332799996,6.117412,0
22,1.4e-05,0.01088,0.002562,6.09679985,0.00329599995,6.129858,0
23,1.3e-05,0.0108479997,0.002563,6.09872007,0.00361600006,6.133982,0
24,1.3e-05,0.0106560001,0.003991,6.0906558,0.00332799996,6.123769,0
25,1.3e-05,0.01088,0.002324,6.08307219,0.0104959998,6.298835,0
26,1.3e-05,0.0108479997,0.002953,6.5819521,0.00822400022,6.739401,0
27,1.3e-05,0.0111680003,0.002911,6.08867216,0.0115200002,6.130157,0
28,1.4e-05,0.0111680003,0.00224,6.09132814,0.011616,6.133757,0
29,1.3e-05,0.0113599999,0.002231,6.09308815,0.0105919996,6.136812,0
