repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.4e-05,0.0110400002,0.002502,6.03664017,0.0105600003,6.078555,0
1,1.2e-05,0.0112319998,0.002151,6.028512,0.00291200005,6.0632,0
2,1.3e-05,0.0110400002,0.002696,6.03971195,0.00332799996,6.074453,0
3,1.4e-05,0.0106880004,0.003003,6.23952007,0.0115200002,6.282371,0
4,1.2e-05,0.0112640001,0.002691,6.52505589,0.00400000019,6.559974,0
5,1.2e-05,0.0107519999,0.002454,6.17817593,0.00329599995,6.211424,0
6,1.2e-05,0.0111999996,0.002274,6.04102421,0.0105600003,6.083635,0
7,1.3e-05,0.0112640001,0.002191,6.03865623,0.0105600003,6.082019,0
8,1.2e-05,0.0111680003,0.002402,6.03567982,0.0115520004,6.078821,0
9,1.2e-05,0.0112640001,0.002749,6.02924824,0.0105600003,6.072027,0
10,1.2e-05,0.0112640001,0.002194,6.04080009,0.0105919996,6.083885,0
11,1.2e-05,0.0115200002,0.00224,6.03775978,0.0115520004,6.081542,0
12,1.2e-05,0.0109440004,0.002317,6.03593588,0.00294400007,6.068976,0
13,1.3e-05,0.0112640001,0.002217,6.02713585,0.0109440004,6.070251,0
14,1.2e-05,0.0128319999,0.003334,6.04182386,0.0105600003,6.086486,0
15,2.2e-05,0.0113279996,0.002259,6.02867222,0.011616,6.072965,0
16,1.4e-05,0.0112960003,0.00271,6.03859186,0.0115520004,6.081435,0
17,1.2e-05,0.011136,0.00216,6.03014421,0.0115839997,6.073056,0
18,1.2e-05,0.0112960003,0.002491,6.04102421,0.0105280001,6.083314,0
19,1.3e-05,0.011008,0.00223,6.03299189,0.00332799996,6.067241,0
20,1.3e-05,0.0109120002,0.002251,6.03670406,0.0031359999,6.070653,0
21,1.3e-05,0.0108160004,0.002856,6.03667212,0.0115839997,6.078861,0
22,1.2e-05,0.0111999996,0.002136,6.04102421,0.00947200041,6.257879,0
23,1.2e-05,0.0107840002,0.00355,6.03465605,0.00639999984,6.232299,0
24,1.3e-05,0.0118720001,0.002437,6.34505606,0.00844800007,6.504021,0
25,1.3e-05,0.0110719996,0.002412,6.03123188,0.00352000003,6.066848,0
26,1.3e-05,0.0112319998,0.002547,6.03993607,0.0115839997,6.083376,0
27,1.3e-05,0.0112640001,0.002665,6.02460814,0.00396799995,6.063865,0
28,1.3e-05,0.0113599999,0.003008,6.03158379,0.0115200002,6.073781,0
29,1.2e-05,0.0109440004,0.002175,6.03641605,0.0106239999,6.078465,0
