repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.3e-05,0.123839997,0.003826,54.1730232,0.0218240004,54.373471,46
1,2.7e-05,0.0760959983,0.015303,55.8920631,0.0131519996,56.0226,46
2,1.6e-05,0.0759039968,0.005813,55.695137,0.0281600002,55.857457,46
3,2.3e-05,0.104768001,0.017425,54.9228172,0.01456,55.085845,46
4,1.3e-05,0.0755520016,0.006244,55.6171532,0.0207679998,55.752362,46
5,1.3e-05,0.101952001,0.004276,54.6436806,0.0216320008,54.80881,46
6,1.2e-05,0.113407999,0.004068,56.0949135,0.0137919998,56.259039,46
7,1.3e-05,0.0762239993,0.003349,57.8818245,0.0236159991,58.021111,46
8,1.3e-05,0.117311999,0.003281,54.4625931,0.0133440001,54.628554,46
9,1.4e-05,0.0758080035,0.003414,55.3957443,0.020544,55.527365,46
10,1.3e-05,0.102431998,0.002811,55.770752,0.0135359997,55.925713,46
11,1.4e-05,0.0753279999,0.003957,55.8272324,0.0211200006,55.960712,46
12,1.3e-05,0.104896002,0.004061,55.3244476,0.0180479996,55.500126,46
13,1.3e-05,0.0755520016,0.011408,53.7205124,0.0137919998,53.852584,46
14,1.3e-05,0.0753920004,0.006001,54.8238068,0.0142719997,54.958048,46
15,1.4e-05,0.0752959996,0.005771,55.2080956,0.0241599996,55.350465,46
16,1.4e-05,0.120288,0.004313,55.0486069,0.0235200003,55.235923,46
17,1.3e-05,0.113375999,0.005729,54.9824333,0.0196160004,55.151285,46
18,1.2e-05,0.100000001,0.004053,55.0058556,0.0213440005,55.16068,46
19,1.3e-05,0.0978560001,0.002635,54.3284492,0.0153599996,54.476715,46
20,1.4e-05,0.0789439976,0.003091,56.6011848,0.0211839993,56.734998,46
21,1.4e-05,0.100351997,0.002736,53.6002579,0.0134079996,53.75123,46
22,1.3e-05,0.0756160021,0.002997,55.6380157,0.0209599994,55.768478,46
23,1.4e-05,0.105728,0.002718,54.8638382,0.0137919998,55.018183,46
24,1.3e-05,0.0740479976,0.004849,56.8628159,0.0240959991,57.001381,46
25,1.3e-05,0.124191999,0.003386,55.8631668,0.0129279997,56.038551,46
26,1.2e-05,0.0758719966,0.002744,54.7981758,0.013088,54.925979,46
27,1.3e-05,0.0758719966,0.003155,53.5379219,0.0129279997,53.658555,46
28,1.2e-05,0.0754240006,0.003527,55.9726067,0.0214079991,56.104756,46
29,1.4e-05,0.106144004,0.003788,54.8210869,0.0135679999,54.978305,46
