target_id,best_seed_id,q0,q1,q2,q3,q4,q5,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,success_rank
0,0,0.21717297950342479,-1.8926624807088863,-0.79882986861270044,-2.3635407168960949,5.6128934908454697,2.3808893522529262,1.13796054661,0.139590823614,7.2306068027447509e-06,0,3.6153034013723755e-06,8,1,1,1,0,0
1,0,-5.6960915594474191,-5.7827908363378135,3.1274031482119904,3.8481889425465079,0.43729564898294071,-6.2831853071795862,75.2778935999,12.1040822723,0.050295896228653797,0.012870368127129016,0.025534059158140769,60,0,0,0,1,3
2,0,2.8913409096982998,-2.8442499379430788,-1.8406993688251807,-6.2831853071795862,-3.642178687289078,-3.6733505786920753,105.452155137,54.1290672478,0.90363576980201543,0.0075689999999999993,0.45204495490100771,60,0,0,0,1,3
3,0,3.2334947030769916,-0.02469004859716608,-0.99296035736354082,-0.72910879527756323,2.6180725823848561,-5.562953029535759,0.0797787335667,0.885494400677,0.0002388569851304285,0,0.00011942849256521425,29,1,1,1,0,0
4,0,4.6806577718983382,-1.2520393720746634,3.0325302179388398,-1.180068764753488,4.1887662563671455,2.7868010588575531,37.5705127219,2.94416046792,0.0040519918525201001,0,0.00202599592626005,60,0,0,0,0,3
5,0,3.913280336774716,3.6826311544719088,1.5971570687568029,-3.6014280523195015,-1.5320646203490094,3.9364845075898183,1.95408075654,0.390995787762,5.0387643962304722e-05,0,2.5193821981152361e-05,21,1,1,1,0,0
6,0,6.2831853071795862,2.5284360953780394,1.3938224986563279,5.8983772154403491,-6.2831853071795862,5.2834973750875971,146.525138691,0.112206716349,0.021473451507620204,0.015137999999999999,0.011190865753810102,60,0,0,0,1,3
7,0,-1.4991003246149937,-2.6815681200209407,0.61849419299551145,6.2831853071795862,-3.531376478774928,-5.9729075827527547,1.64939101863,0.31159236645,3.2295735957914038e-05,0.0075689999999999993,0.00024321786797895699,30,1,1,1,1,0
8,0,3.5176030679255028,2.2695537914242077,0.69822273771076859,-6.2234912373619302,-0.87590516816261443,5.3667434147936346,4.83784068577,0.0186928649486,2.3511142894471452e-05,0.00074561382312304391,3.412398614092704e-05,21,1,1,1,1,0
9,0,6.0340437189703762,-5.8360673935536624,2.9498904281240139,5.929627764775887,-6.0360365763931068,-0.86065917552665061,478.647500952,3.93886418703,0.23382946314921985,0,0.11691473157460992,60,0,0,0,0,3
10,0,6.1340795054678008,-0.22214652328925177,0.84351120353554443,-2.76060803993877,-5.5272937740607837,-2.1306458921743601,0.0667699900921,0.811338881415,0.00020052520490714904,0,0.00010026260245357452,19,1,1,1,0,0
11,0,0.47175222861955607,-3.323694450311919,2.2044133065725662,-5.5109333615824587,2.0514607233852469,-6.2831853071795862,6.58682288094,36.7165859863,0.41070047128887222,0.0075689999999999993,0.2055773056444361,60,0,0,0,1,3
12,0,-0.71559806795091918,-4.7354833567296275,0.67608968075254616,-2.7506115346821329,-3.7955850953626675,-1.8551546835255373,0.609552800091,0.0185586898697,4.7647246167322979e-07,0,2.382362308366149e-07,16,1,1,1,0,0
13,0,0.13921485232500189,-2.1069769823130717,-1.7107477054002003,-6.2831853071795862,-2.7920191731482644,2.6851228426383096,144.755873815,17.1065486532,0.11009567910437204,0.0075689999999999993,0.055274909552186023,60,0,0,0,1,3
14,0,2.0126695396552479,-1.5901071863360181,1.2830059201123978,-4.4196724606231435,-0.77937230504517907,-0.84586062462627953,4.48640981707,0.0690426984026,2.1579952059109071e-05,0,1.0789976029554536e-05,34,1,1,1,0,0
15,0,0.64711691681171435,1.7808373246670506,2.6139312493495668,6.2831853071795862,-3.1846158499065029,3.9345394388721768,15.0908511808,2.1538081278,0.0016408203247109362,0.0075689999999999993,0.001047480162355468,60,1,0,0,1,2
16,0,4.8974422177841461,5.7669829498300649,-2.1952132641510014,1.2460552688842514,-1.8472324514558303,2.8880492496855976,0.364586842354,6.39377528582,0.012453003439502851,0,0.0062265017197514257,60,1,0,0,0,2
17,0,0.4100995189514049,0.89380287461536956,2.2507301148583529,5.0871420284399402,-1.5895142832423403,-4.7660417224687128,0.48305032312,0.0993208718181,3.2382774517891645e-06,0,1.6191387258945823e-06,25,1,1,1,0,0
18,0,6.2831853071795862,-2.5346904577454694,-0.57527098717119762,0.10428474508243162,-6.2831853071795862,-5.976117525962561,186.558499431,0.240696727676,0.034821721694015366,0.015137999999999999,0.017865000847007682,60,0,0,0,1,3
19,0,0.45718152881165447,-5.773066437009069,-3.1415926535897931,2.7185259290616042,-4.3181659012651785,-3.9264016819052578,491.731249571,12.0371095212,0.28593625070574996,0.0075689999999999993,0.14319519535287498,60,0,0,0,1,3
20,0,-5.2157930888249409,6.2831853071795862,-2.5699459914554912,-6.2831853071795862,-0.11402693213865524,3.3881695779448178,1010.39402915,10.686027564,1.0556807183161521,0.015137999999999999,0.52829449915807603,60,0,0,0,1,3
21,0,-3.5849873929660028,-3.9962822784116714,-1.6166531436156124,-0.59533264156122234,-3.8031200536628522,-3.4333864500170863,157.181125864,10.9117605061,0.060975641623769596,0,0.030487820811884798,60,0,0,0,0,3
22,0,-3.000232779003313,4.207271271157385,-0.2655393809361718,2.5520048859580826,-2.3239823717730075,2.7121162239228274,38.8476479162,0.000555244108753,0.0015091398425330549,0,0.00075456992126652744,60,0,0,0,0,3
23,0,5.5243504745160426,6.2831853071795862,-2.0297771003273066,6.2831853071795862,4.4755084579542048,-3.2629223874596285,146.198929464,51.4870179771,0.82888841125952184,0.015137999999999999,0.41489834562976091,60,0,0,0,1,3
