repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.1e-05,0.1096,0.004091,58.0974731,0.0255360007,58.285726,0
1,1.2e-05,0.126752004,0.004606,58.0475197,0.0233280007,58.25032,0
2,1.2e-05,0.108543999,0.006117,57.779808,0.0222079996,57.959561,0
3,1.2e-05,0.110303998,0.004704,57.499073,0.0249600001,57.928047,0
4,1.4e-05,0.111263998,0.004229,57.4195824,0.0226559993,57.604801,0
5,1.4e-05,0.107712001,0.003877,57.9464645,0.0218560006,58.12603,0
6,1.2e-05,0.109728001,0.003622,57.8778572,0.0265919995,58.067455,0
7,1.3e-05,0.126496002,0.004088,57.7314568,0.0239039995,57.933439,0
8,1.2e-05,0.108255997,0.004963,57.2736626,0.0311040003,57.711622,0
9,3.2e-05,0.130720004,0.005415,57.5244789,0.0248639993,57.734276,0
10,1.3e-05,0.115999997,0.006933,58.255455,0.0240000002,58.447872,0
11,1.2e-05,0.135168001,0.006002,57.9257278,0.0233280007,58.136161,0
12,1.3e-05,0.11344,0.007005,57.7349434,0.0226879995,57.921465,0
13,1.3e-05,0.108608,0.003853,57.6749763,0.0318080001,58.202285,0
14,1.4e-05,0.145567998,0.004373,57.3117104,0.0251839999,57.537123,0
15,1.2e-05,0.126271993,0.004899,57.900383,0.0257920008,58.105011,0
16,1.2e-05,0.125952005,0.004266,58.0648651,0.0228480007,58.262309,0
17,1.3e-05,0.106495999,0.004836,57.9369583,0.0306880008,58.123618,0
18,1.3e-05,0.110880002,0.003548,57.5954552,0.0268159993,57.917847,0
19,1.4e-05,0.117055997,0.008517,57.563488,0.0217599999,57.751383,0
20,1.3e-05,0.108351998,0.003758,57.8207054,0.0262080003,58.009734,0
21,1.2e-05,0.127616003,0.004658,57.8656311,0.0261119995,58.078034,0
22,1.3e-05,0.127327994,0.00496,57.930912,0.0214399993,58.12854,0
23,1.2e-05,0.114464,0.003935,57.5370865,0.0259520002,57.968564,0
24,1.3e-05,0.113632001,0.003568,57.5283508,0.0221439991,57.715212,0
25,1.4e-05,0.107519999,0.004069,57.5895348,0.0231359992,57.769228,0
26,1.2e-05,0.114015996,0.003853,57.9459839,0.0286720004,58.256493,0
27,1.4e-05,0.107648,0.005361,57.891552,0.0258239992,58.086338,0
28,1.3e-05,0.108672,0.013264,57.7934074,0.0260160007,58.120353,0
29,1.4e-05,0.136160001,0.005261,57.6282578,0.0260799993,57.845955,0
