repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.3e-05,0.0245760009,0.004235,36.5057297,0.0279360004,36.849026,0
1,1.4e-05,0.0304959994,0.005036,37.1519356,0.0225280002,37.25081,0
2,1.4e-05,0.0288960002,0.003896,37.6761932,0.0247360002,37.778559,0
3,1.2e-05,0.0309759993,0.004665,37.0336647,0.0255360007,37.145446,0
4,1.8e-05,0.0279360004,0.013239,36.0824318,0.0208640005,36.180002,0
5,1.2e-05,0.0293119997,0.002863,36.8257904,0.0244479999,37.0388,0
6,1.2e-05,0.0265919995,0.002904,37.3108788,0.0278399996,37.419573,0
7,1.3e-05,0.0264320001,0.00273,37.4488335,0.0239359997,37.990369,0
8,1.3e-05,0.0301760007,0.003687,36.5509453,0.0207679998,36.649973,0
9,1.2e-05,0.0291200001,0.003709,36.9243851,0.0238719992,37.135359,0
10,1.3e-05,0.0257920008,0.002903,37.4648972,0.0215039998,37.551812,0
11,1.4e-05,0.0289600007,0.003226,35.8062706,0.0210880004,35.894814,0
12,1.3e-05,0.0237440001,0.004372,37.6394882,0.0293439999,37.731305,0
13,1.3e-05,0.0237760004,0.002713,37.2298546,0.0224959999,37.317222,0
14,1.2e-05,0.0252160002,0.004034,36.7807045,0.0280319992,37.005598,0
15,1.3e-05,0.02544,0.005458,36.1958733,0.0196800008,36.286765,0
16,1.3e-05,0.0290879998,0.004675,37.8913269,0.0256960001,38.105161,0
17,1.3e-05,0.0259840004,0.003679,37.669281,0.0294400007,37.765575,0
18,1.3e-05,0.0259840004,0.002801,36.1219215,0.0225280002,36.214695,0
19,1.3e-05,0.0276159998,0.003916,36.0983047,0.0287999995,36.343468,0
20,1.5e-05,0.0280319992,0.003117,36.0824013,0.0280000009,36.462927,0
21,1.3e-05,0.0252800006,0.005205,36.1343689,0.0224319994,36.227336,0
22,1.2e-05,0.0287360009,0.003699,36.2637444,0.0297279991,36.487299,0
23,1.3e-05,0.0281600002,0.004435,36.7574387,0.0262400005,37.102265,0
24,1.5e-05,0.0300479997,0.005046,36.712513,0.0160000008,36.798566,0
25,1.2e-05,0.0246719997,0.00301,37.6015053,0.0206719991,37.692484,0
26,1.2e-05,0.0282879993,0.003468,36.6093445,0.0251839999,36.986027,0
27,1.3e-05,0.0247680005,0.003987,36.7840004,0.0224959999,37.004434,0
28,1.3e-05,0.0241279993,0.004639,36.2480316,0.0204160009,36.337971,0
29,1.4e-05,0.0232960004,0.005987,37.3296013,0.0267200004,37.546482,0
