target_id,best_seed_id,q0,q1,q2,q3,q4,q5,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,success_rank
0,0,0.38874729414691644,-3.4784340035106935,-2.6661047830747884,2.8154068621738992,4.4163120751717875,6.2831853071795862,48.1066973353,5.61630618335,0.011922769660231645,0.0075689999999999993,0.0061884548301158228,60,0,0,0,1,3
1,0,-1.2333349378658722,-2.7298729080593915,3.0709952448206903,4.9713196807946076,2.1658632598390328,-6.1852087049908917,13.7956009594,0.10845770402,0.00019390184294883022,0.0002690449990879052,0.00010502227144705227,60,1,0,0,1,2
2,0,1.8874411413104883,-2.9959547684504662,-2.7768220535402497,-5.3661609986299714,-1.7819383505215207,-0.40874146852482685,1.17702273023,0.223163400409,1.6555909785692956e-05,0,8.2779548928464778e-06,13,1,1,1,0,0
3,0,2.6747056130904117,2.3266715212932438,-2.7778556077562611,-1.560212551499103,1.8613419876099926,1.3137246447061619,0.0511464097367,0.0409412450914,5.1321127244154794e-07,0,2.5660563622077397e-07,34,1,1,1,0,0
4,0,5.3410504581194269,-2.0865539489816927,3.1249783745618109,-1.1355164258984045,1.269090606083896,4.3958620534363479,339.638196067,22.1832811664,0.26525571609204629,0.0049541497167507479,0.13277648253752566,60,0,0,0,1,3
5,0,3.600431150895401,0.63426326010063461,2.9946755234746507,-0.65428756909202401,-2.4312737212962157,4.7227243163142916,383.039741358,28.6651283171,0.39702040362143881,0,0.19851020181071941,60,0,0,0,0,3
6,0,5.5821087756683019,0.23512970733948863,2.6567256569964894,5.4491668142019174,-1.0411226471531598,2.82835577920165,0.00268849658109,0.357653429864,3.896544175409201e-05,0,1.9482720877046005e-05,15,1,1,1,0,0
7,0,0.66253947801092528,-0.49165016794663929,-3.1356187710040122,5.5500914901630782,-2.8255143745477826,-5.3341514318445951,70.2470619818,2.0013354733,0.0061547471732310887,0.0065652317032228171,0.0032743305377122287,60,0,0,0,1,3
8,0,5.0990040635653173,0.73428924336025125,2.992462266242085,-6.2831853071795862,-1.5822336611103747,6.1971966431224033,115.316546805,5.78382009298,0.023488143008565929,0.0075700228003892332,0.011971172188294641,60,0,0,0,1,3
9,0,5.7465139985052609,-3.9340529524442731,2.8061242156865092,5.1028484090054871,-5.8037934182387163,-5.1219503774929178,384.184903967,55.5834067301,1.0887181597245377,0,0.54435907986226884,60,0,0,0,0,3
10,0,0.56369573488782043,-3.6778177092245419,3.0313746578938829,2.5561379565594726,-6.2831853071795862,-3.6630102534479012,182.577331513,40.1069753759,0.52333276463911327,0.0075689999999999993,0.26189345231955663,60,0,0,0,1,3
11,0,0.47162947762553242,-2.6870335064369359,2.6660202697577202,-6.0213434640143602,1.6856341058462923,-4.3797474632760771,4.92637639765,0.124339180527,2.8978640335870746e-05,0,1.4489320167935373e-05,41,1,1,1,0,0
