target_id,best_seed_id,q0,q1,q2,q3,q4,q5,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,success_rank
0,9,-2.6672374023046435,-2.0644608535965223,-1.0460937684540881,0.004474852032057176,-1.4928640914775908,5.1669470267018047,0.582157648855,0.100392819673,3.4090606736958237e-06,0,1.7045303368479118e-06,6,1,1,1,0,0
1,15,-0.071196194070343208,1.3637497332071928,-1.5600474482814881,-2.9573148770479674,-1.9069329566800355,1.4374910325999855,0.0342005045499,0.00928704844128,2.7442704216767594e-08,0,1.3721352108383797e-08,9,1,1,1,0,0
2,2,-2.9457703636894994,-2.7624737251744187,-0.91998749590043372,4.824879542588671,-2.0283117281071759,-2.2130660684656291,0.333668870905,0.00261118616205,1.1341188628494695e-07,0,5.6705943142473473e-08,13,1,1,1,0,0
3,15,-1.9315734265446747,-0.81322841338038032,-2.4591953564632623,4.643229753318753,4.5097120312619632,-2.9241073587711957,0.15094059198,0.0343696441075,3.8261922384912269e-07,0,1.9130961192456135e-07,34,1,1,1,0,0
4,2,-0.041482652310478811,0.44636689874397906,0.30985274516842376,3.4494630851848727,-5.6765243566751842,-3.1306917016537161,0.430343938616,0.00776585093875,2.0356690713210905e-07,0,1.0178345356605452e-07,10,1,1,1,0,0
5,13,-2.7237173550546832,-3.3775762616262983,-0.29432424967444326,-5.2127937175660861,1.5076178259541231,1.386796535037498,2.76445632497,0.103024580464,1.0875447616553254e-05,0,5.437723808276627e-06,49,1,1,1,0,0
6,0,4.5795730877513199,0.8022246446892487,2.5817382698305162,4.3973143077643533,-1.6085087112090326,3.6507448857106333,0.0434592824136,0.0130987569884,5.4154184662114288e-08,0,2.7077092331057144e-08,12,1,1,1,0,0
7,8,3.9822943577041561,3.2144035812764842,-1.8580357759983552,-4.9072278212024969,4.6567532655769206,1.7572609668342742,0.57347501066,0.0773055256566,2.1493112438904452e-06,0,1.0746556219452226e-06,12,1,1,1,0,0
8,3,3.5890757052951878,-3.5561843197406779,0.88695018908621881,-1.1315742862142883,5.0854109888490138,-2.8790662942148941,0.148534239593,0.0236047004752,1.9178972834633498e-07,0,9.5894864173167491e-08,21,1,1,1,0,0
9,7,-1.9598080269019549,0.77852886572393876,2.7624768198789664,-2.124570166657235,-2.0793721737582054,3.4250160366594771,0.751651944785,0.0535715354604,1.4392050460770455e-06,0,7.1960252303852275e-07,21,1,1,1,0,0
10,2,4.58784889286125,2.5794874070588159,-1.9686316471733813,-5.5640986537244173,-1.7960446205294185,3.1111087337388157,0.0177725281434,0.0785747475137,1.8810210547683048e-06,0,9.4051052738415242e-07,13,1,1,1,0,0
11,11,-6.2492858559252564,6.2198563104730296,2.6285458600478107,-1.7873709281025545,3.7457543379964817,1.3271628406209863,3.6477464487,0.266755705284,3.4982205201233513e-05,0.0033799846740095005,0.00011889064282090176,35,1,1,1,1,0
