target_id,best_seed_id,q0,q1,q2,q3,q4,q5,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,success_rank
0,11,-2.1974696051920182,-1.3124525744950042,-1.7970972741367817,-4.6774202627145502,-3.3707108565218236,6.1113825693646993,0.0456064834575,0.0375797075783,4.3227115699558035e-07,0,2.1613557849779017e-07,33,1,1,1,0,0
1,6,0.37816252257050764,2.4833291249105769,-2.5641836313557307,-1.6598883970250111,-4.8577493056387349,-2.2986681707222187,0.020810514168,0.0075871725806,1.7968436467316384e-08,0,8.9842182336581922e-09,17,1,1,1,0,0
2,1,2.7090253480070805,1.4484425578085109,-1.0177852349482948,-0.36284731776272278,-1.4110093937817929,5.3335332206442496,0.57220924046,0.0216730165689,4.7050820181913452e-07,0,2.3525410090956726e-07,6,1,1,1,0,0
3,5,-0.42229463612680834,3.4650148536576459,-2.5444511890410415,-4.3866747072095178,4.8694008842525625,2.4761004852360924,0.107969723868,0.0168996510977,9.865565025194964e-08,0,4.932782512597482e-08,17,1,1,1,0,0
4,4,-6.1951460994743623,-4.8833619023538644,1.05881205330751,-4.0280029791383702,1.7372738225618509,5.0734134892786082,1.07496605325,0.00822694946529,1.1761693443234444e-06,0,5.8808467216172222e-07,20,1,1,1,0,0
5,9,3.9396829435627034,0.23351712113187756,0.30753093284692273,-2.9799447270965804,-0.92775275484819264,1.5413703680806758,0.0183332130623,0.959665458733,0.00028054012264677546,0,0.00014027006132338773,18,1,1,1,0,0
6,1,1.4072579456509342,-3.1338444004431367,-0.90153505116313104,2.5417280971230887,1.4091972919197908,-2.8372001275894587,0.0370434327114,0.000544089718556,1.4623929051020188e-09,0,7.3119645255100942e-10,18,1,1,1,0,0
7,12,4.7468202437812819,1.5055966702253631,-0.60572040436620878,-5.8100715990096212,-2.501832027450309,3.2044537185201416,0.0261271485482,0.225925865683,1.554911629789788e-05,0,7.7745581489489398e-06,30,1,1,1,0,0
8,9,-0.90879736467065408,4.4402875309528866,-1.9786015269996269,-3.3264845990591914,2.8338376089528419,-0.83614041246770276,0.0900633670957,0.000520787490942,8.1940283106282745e-09,0,4.0970141553141372e-09,9,1,1,1,0,0
9,11,-3.4638963832580734,0.98363289537796694,-2.0082748690044974,-1.1224442047758703,2.0679279703184137,2.4410152962160772,0.681051170764,0.0256228687559,6.6382159927603978e-07,0,3.3191079963801989e-07,8,1,1,1,0,0
