experiment,method,robot,N,K,seed_type,max_iter,wlimit,barrier_enabled,target_type,repeat,gpu_time_ms_mean,gpu_time_ms_std,throughput_targets_per_s_mean,throughput_targets_per_s_std,strict_sr,medium_sr,loose_sr,pos_p95_all_mm,pos_p95_success_mm,rot_p95_all_deg,rot_p95_success_deg,mean_iter,p95_iter,near_limit_ratio,joint_violation_count,nan_count,inf_count,fail_count,notes
near_singular,OPT4C-K1,UR10,100,1,sobol,60,0.03,true,wrist_singular,30,5.38132054,0.308142604,18582.7994,0.0,0.56,0.58,0.64,536.541299,4.16756882,43.5096127,0.970012914,36.0,60.0,0.36,,0,0,44,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K16,UR10,100,16,sobol,60,0.03,true,wrist_singular,30,6.62611624,0.141893809,15091.7968,0.0,0.99,0.99,0.99,3.42138417,3.12062933,0.271957983,0.273886387,19.0,52.1,0.0,,0,0,1,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K1,UR10,500,1,sobol,60,0.03,true,wrist_singular,30,19.5986965,0.520951405,25511.9007,0.0,0.562,0.59,0.624,785.556353,4.76738174,51.8906321,0.943057277,39.5,60.0,0.378,,0,0,219,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K16,UR10,500,16,sobol,60,0.03,true,wrist_singular,30,31.2346719,0.141735998,16007.8518,0.0,0.968,0.97,0.98,3.7673548,2.25333158,0.306808194,0.306256722,19.0,53.05,0.008,,0,0,16,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K1,UR10,1000,1,sobol,60,0.03,true,wrist_singular,30,38.0825589,0.775362771,26258.7396,0.0,0.548,0.571,0.605,798.563835,4.71274481,52.0403066,0.932426966,40.0,60.0,0.382,,0,0,452,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K16,UR10,1000,16,sobol,60,0.03,true,wrist_singular,30,57.6074421,0.21782165,17358.8683,0.0,0.976,0.978,0.983,3.17718015,1.97416789,0.28184193,0.276358757,18.0,52.0,0.006,,0,0,24,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K1,UR10,100,1,sobol,60,0.03,true,elbow_singular,30,5.47734618,0.241451797,18257.0166,0.0,0.43,0.43,0.45,340.020104,2.58697927,50.1156285,0.82393622,60.0,60.0,0.46,,0,0,57,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K16,UR10,100,16,sobol,60,0.03,true,elbow_singular,30,6.57050031,0.240174102,15219.5412,0.0,0.87,0.88,0.9,98.180922,4.34808454,2.04335201,0.760213532,22.5,60.0,0.02,,0,0,13,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K1,UR10,500,1,sobol,60,0.03,true,elbow_singular,30,23.4026849,0.656465709,21365.0699,0.0,0.396,0.402,0.45,364.321196,4.72799115,50.9821299,0.91307658,60.0,60.0,0.49,,0,0,302,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K16,UR10,500,16,sobol,60,0.03,true,elbow_singular,30,31.2773033,0.106155378,15986.0329,0.0,0.888,0.896,0.938,55.852198,3.68717679,1.11078772,0.711564452,20.0,60.0,0.028,,0,0,56,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K1,UR10,1000,1,sobol,60,0.03,true,elbow_singular,30,43.7294038,0.935870361,22867.9084,0.0,0.416,0.428,0.471,337.355801,4.54396192,49.4339861,0.944486844,60.0,60.0,0.479,,0,0,584,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K16,UR10,1000,16,sobol,60,0.03,true,elbow_singular,30,57.8554389,0.31368599,17284.4597,0.0,0.883,0.888,0.917,73.3973844,3.84556909,1.39480792,0.632370502,22.0,60.0,0.027,,0,0,117,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K1,UR10,100,1,sobol,60,0.03,true,shoulder_singular,30,5.80241812,0.125700764,17234.1941,0.0,0.49,0.55,0.62,513.330964,4.6896014,39.3444977,0.924055665,60.0,60.0,0.43,,0,0,51,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K16,UR10,100,16,sobol,60,0.03,true,shoulder_singular,30,6.61310182,0.104903451,15121.4971,0.0,0.98,0.98,0.99,3.56267355,2.95804026,0.374343853,0.28272574,17.0,52.1,0.04,,0,0,2,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K1,UR10,500,1,sobol,60,0.03,true,shoulder_singular,30,20.7786613,0.738369491,24063.1478,0.0,0.528,0.554,0.604,483.136302,4.73866146,50.0476406,0.923248542,48.5,60.0,0.404,,0,0,236,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K16,UR10,500,16,sobol,60,0.03,true,shoulder_singular,30,31.2419732,0.113663192,16004.1108,0.0,0.97,0.976,0.98,3.72196263,2.62413677,0.481187076,0.404672866,18.0,50.05,0.018,,0,0,15,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K1,UR10,1000,1,sobol,60,0.03,true,shoulder_singular,30,40.4188577,0.456262326,24740.9268,0.0,0.505,0.536,0.588,465.885398,4.80067159,52.4271031,0.949537835,58.5,60.0,0.447,,0,0,495,targets generated by FK from near-singular joint samples
near_singular,OPT4C-K16,UR10,1000,16,sobol,60,0.03,true,shoulder_singular,30,57.6187602,0.235321634,17355.4585,0.0,0.956,0.958,0.974,4.75044075,2.79019669,0.508803814,0.429288476,19.0,58.0,0.014,,0,0,44,targets generated by FK from near-singular joint samples
