repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.3e-05,0.0114240004,0.006837,6.31545591,0.0114240004,6.363893,0
1,1.7e-05,0.0110400002,0.002723,6.85891199,0.0105600003,7.029623,0
2,2.5e-05,0.0119679999,0.010169,6.56150389,0.00950399972,6.900791,0
3,2.3e-05,0.0120320003,0.008507,6.31177616,0.0113599999,6.360924,0
4,1.7e-05,0.0109440004,0.003431,6.87968016,0.0064960001,7.045777,0
5,2.3e-05,0.0116800005,0.007608,6.55043221,0.0105280001,6.88787,0
6,2.2e-05,0.0119040003,0.00748,6.318048,0.00358400005,6.723322,0
7,2.5e-05,0.0108479997,0.006283,6.69478416,0.00627199979,6.74365,0
8,2.3e-05,0.0115839997,0.009107,6.55718422,0.0054080002,6.888678,0
9,2.3e-05,0.0121600004,0.005517,6.30630398,0.0044160001,6.710066,0
10,1.3e-05,0.0116480002,0.004088,6.69801617,0.00729600014,6.750417,0
11,2.2e-05,0.0122239999,0.009097,6.55315208,0.00848000031,6.888393,0
12,2.2e-05,0.0115839997,0.007924,6.31427193,0.00438399985,6.718575,0
13,2.3e-05,0.0114559997,0.004459,6.6806078,0.0106239999,6.740948,0
14,2.3e-05,0.013088,0.012819,6.87408018,0.00745599996,7.044516,0
15,2.2e-05,0.0122880004,0.008354,6.17488003,0.00719999988,6.590214,0
16,3.2e-05,0.0121280001,0.007757,6.68556786,0.00694399979,6.736913,0
17,2.4e-05,0.0123199997,0.008213,6.86393595,0.0065919999,7.033287,0
18,2.4e-05,0.0119679999,0.008847,6.17439985,0.0044160001,6.580546,0
19,2.3e-05,0.0113920001,0.006538,6.69040012,0.00691200001,6.740979,0
20,2.4e-05,0.0120000001,0.008908,6.87571192,0.00848000031,7.044127,0
21,2.3e-05,0.0112640001,0.006365,6.16569614,0.0102080004,6.576909,0
22,1.8e-05,0.0109120002,0.004288,6.68531179,0.00668800017,6.735099,0
23,2.3e-05,0.0116800005,0.007198,6.8620162,0.0105600003,7.034088,0
24,2.3e-05,0.0127360001,0.010421,6.55958414,0.00569600007,6.893083,0
25,2.6e-05,0.0127360001,0.009321,6.31225586,0.0113279996,6.362097,0
26,1.2e-05,0.0109440004,0.003133,6.86204815,0.00643200008,7.029835,0
27,2.6e-05,0.0119359996,0.008043,6.55366421,0.00329599995,6.885115,0
28,2.3e-05,0.0120320003,0.007273,6.31507206,0.0104959998,6.363137,0
29,1.7e-05,0.011008,0.002972,6.8602562,0.00454400014,7.025273,0
