repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.3e-05,0.01088,0.002634,6.6815362,0.0054080002,6.917054,0
1,1.2e-05,0.0111039998,0.002166,6.77791977,0.0102399997,6.96398,0
2,1.2e-05,0.0112960003,0.002241,6.70559978,0.00457599992,6.999719,0
3,1.3e-05,0.0113920001,0.00282,6.53593588,0.0116480002,6.583939,0
4,1.3e-05,0.0114240004,0.002939,6.73065615,0.00355200004,6.910614,0
5,1.4e-05,0.0111999996,0.002245,6.699296,0.0115520004,7.000517,0
6,1.4e-05,0.0114879999,0.002091,6.53670406,0.010272,6.955158,0
7,1.3e-05,0.0120959999,0.002336,6.56688023,0.0279680006,6.813176,0
8,1.3e-05,0.0112640001,0.002905,6.50435209,0.0115520004,6.8068,0
9,1.2e-05,0.0111999996,0.002411,6.52828789,0.00511999987,6.881471,0
10,1.3e-05,0.0119359996,0.002282,6.68396807,0.00438399985,6.903566,0
11,1.3e-05,0.0111039998,0.002236,6.5065918,0.00511999987,6.799375,0
12,1.2e-05,0.0109440004,0.002477,6.50121593,0.0072639999,6.909384,0
13,1.3e-05,0.0110719996,0.002243,6.56265593,0.0115839997,6.7907,0
14,1.3e-05,0.0113920001,0.002285,6.79308796,0.0118079996,6.97989,0
15,1.3e-05,0.0113599999,0.002309,6.36009598,0.00438399985,6.759169,0
16,1.2e-05,0.0113599999,0.002484,6.57753611,0.0116480002,6.806068,0
17,1.3e-05,0.0115520004,0.002316,6.72412777,0.0105280001,6.912348,0
18,1.4e-05,0.0112960003,0.002938,6.76166391,0.0106239999,6.949491,0
19,1.3e-05,0.0113920001,0.002267,6.53302383,0.0106239999,6.581362,0
20,1.3e-05,0.0116800005,0.002106,6.71817589,0.0105280001,6.906557,0
21,1.3e-05,0.01088,0.003234,6.69967985,0.00438399985,6.992647,0
22,1.3e-05,0.0113279996,0.002526,6.53711987,0.0104959998,6.584037,0
23,1.3e-05,0.0111039998,0.002575,6.72108793,0.00953599997,6.906731,0
24,1.4e-05,0.0118720001,0.002229,6.70147181,0.00646399986,6.996706,0
25,1.3e-05,0.0110719996,0.002239,6.52617598,0.00815999974,6.93498,0
26,1.3e-05,0.011744,0.002234,6.56428814,0.00335999997,6.799957,0
27,1.3e-05,0.0111039998,0.002634,6.55676794,0.00748800021,6.743304,0
28,1.4e-05,0.0111999996,0.002422,6.53423977,0.0112960003,6.951951,0
29,1.3e-05,0.0116800005,0.002498,6.56291199,0.0044160001,6.783976,0
