repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.3e-05,0.00598399993,0.002473,5.96380806,0.00969600026,6.157382,0
1,1.3e-05,0.00601600017,0.002819,5.96752024,0.00867199991,6.275998,0
2,1.4e-05,0.00582400011,0.002922,5.54406404,0.00960000046,5.776397,0
3,1.4e-05,0.00591999991,0.002427,5.73670387,0.00863999967,6.044392,0
4,1.3e-05,0.00572799984,0.002773,5.75481606,0.0031359999,5.791441,0
5,1.2e-05,0.00576000009,0.002697,6.02534389,0.0098240003,6.218796,0
6,1.2e-05,0.00569600007,0.00245,6.02012777,0.0055999998,6.205117,0
7,1.3e-05,0.00636800006,0.002375,5.36607981,0.00844800007,5.604339,0
8,1.7e-05,0.00572799984,0.002425,5.10688019,0.00358400005,5.387684,0
9,1.2e-05,0.00569600007,0.002286,5.22745609,0.0105600003,5.269173,0
10,1.3e-05,0.00566399982,0.002448,5.31167984,0.0116480002,5.356191,0
11,1.3e-05,0.00582400011,0.003195,5.13830423,0.00668800017,5.182658,0
12,1.3e-05,0.00643200008,0.009635,5.37455988,0.00953599997,5.527508,0
13,1.3e-05,0.00604799995,0.003941,5.1520319,0.0143680004,5.223186,0
14,2.5e-05,0.00950399972,0.021116,5.33190393,0.00761599978,5.527547,0
15,2.7e-05,0.00870400015,0.020946,5.13411188,0.00457599992,5.459153,0
16,2e-05,0.00851199962,0.017802,5.53734398,0.0120000001,5.777136,0
17,1.3e-05,0.00819199998,0.010976,5.42784023,0.0116800005,5.609366,0
18,1.8e-05,0.00704000005,0.006339,4.94140816,0.0309759993,5.185562,0
19,1.2e-05,0.00601600017,0.009423,5.22544003,0.00751999998,5.41046,0
20,1.8e-05,0.00908800028,0.022554,5.02966404,0.00844800007,5.260441,0
21,1.2e-05,0.00793599989,0.01262,5.17167997,0.00448000012,5.455896,0
22,1.4e-05,0.00624000002,0.002773,5.22182417,0.0104959998,5.288677,0
23,1.3e-05,0.00576000009,0.002614,5.4892478,0.0115839997,5.533136,0
24,1.3e-05,0.00591999991,0.002276,5.14659214,0.0115520004,5.189659,0
25,1.2e-05,0.0055999998,0.002059,5.41494417,0.0108160004,5.458235,0
26,1.4e-05,0.00579199987,0.002212,5.13676786,0.0104959998,5.179127,0
27,1.3e-05,0.00563200004,0.002291,5.38969612,0.0044160001,5.57976,0
28,1.4e-05,0.00579199987,0.002487,4.97715187,0.00352000003,5.373459,0
29,1.3e-05,0.00627199979,0.00217,5.17462397,0.00643200008,5.389846,0
