repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.4e-05,0.111904003,0.020505,58.0388145,0.0252800006,58.21699,0
1,1.8e-05,0.133568004,0.010784,57.8402252,0.0256319996,58.060607,0
2,1.9e-05,0.111359999,0.007841,57.5879364,0.0251519997,57.763313,0
3,1.2e-05,0.112672001,0.012235,57.4063988,0.0253759995,57.713267,0
4,1.3e-05,0.115552001,0.008279,57.6880646,0.0228160005,57.860164,0
5,1.2e-05,0.115007997,0.006895,58.0086708,0.0235520005,58.185981,0
6,1.3e-05,0.119231999,0.00638,57.8596153,0.0251199994,58.153001,0
7,1.4e-05,0.117568001,0.009137,57.4550095,0.0296320003,57.772692,0
8,2.5e-05,0.120448001,0.01711,57.7610245,0.0284800008,58.190396,0
9,2.4e-05,0.148000002,0.010609,57.2429771,0.024704,57.455842,0
10,1.9e-05,0.114848003,0.009246,57.7756462,0.0308480002,57.970571,0
11,2e-05,0.113696001,0.020963,57.6688957,0.0286079999,57.859369,0
12,1.9e-05,0.137183994,0.012653,57.5874863,0.0285759997,58.032494,0
13,1.8e-05,0.120127998,0.008217,57.4641914,0.0248959996,57.647322,0
14,1.7e-05,0.112032004,0.0083,57.8461761,0.0255999994,58.019602,0
15,1.9e-05,0.111680001,0.006576,57.9424324,0.0292799994,58.128774,0
16,1.4e-05,0.132991999,0.009754,57.8600655,0.0246399995,58.055896,0
17,1.3e-05,0.115840003,0.007276,57.3357773,0.0256639998,57.646278,0
18,1.3e-05,0.119935997,0.007532,57.5569916,0.0243519992,57.738748,0
19,1.3e-05,0.117951997,0.006821,57.8794556,0.0263999999,58.06445,0
20,2.7e-05,0.112864003,0.012183,57.8156815,0.0250879992,57.99281,0
21,1.3e-05,0.112704001,0.009718,57.7923203,0.0229119994,57.964023,0
22,1.3e-05,0.113856003,0.005814,57.3908806,0.0281920005,57.833445,0
23,1.9e-05,0.117055997,0.007056,57.3416328,0.0256639998,57.520408,0
24,1.2e-05,0.11248,0.009039,57.9951668,0.0282240007,58.181801,0
25,1.3e-05,0.130720004,0.008337,58.032032,0.0252800006,58.223563,0
26,1.2e-05,0.111808002,0.007955,57.8238716,0.0227199998,57.993261,0
27,1.4e-05,0.112960003,0.00629,57.5074883,0.0250879992,57.923669,0
28,1.3e-05,0.116127998,0.008941,57.5937271,0.0339840017,57.801455,0
29,1.8e-05,0.113664001,0.025602,57.9986877,0.0231999997,58.173514,0
