experiment,method,robot,N,K,seed_type,max_iter,wlimit,barrier_enabled,target_type,repeat,gpu_time_ms_mean,gpu_time_ms_std,throughput_targets_per_s_mean,throughput_targets_per_s_std,strict_sr,medium_sr,loose_sr,pos_p95_all_mm,pos_p95_success_mm,rot_p95_all_deg,rot_p95_success_deg,mean_iter,p95_iter,near_limit_ratio,joint_violation_count,nan_count,inf_count,fail_count,notes
seed_count_scan,OPT4C-K1,UR10,100,1,sobol,60,0.03,true,random_reachable,30,6.77136213,0.561155251,14768.0774,0.0,0.45,0.49,0.53,642.23333,4.31381756,51.1198354,0.953595323,60.0,60.0,0.45,,0,0,55,
seed_count_scan,OPT4C-K2,UR10,100,2,sobol,60,0.03,true,random_reachable,30,6.57157548,0.26741967,15217.0511,0.0,0.64,0.65,0.71,316.78342,3.70246785,25.1572724,0.889941329,33.5,60.0,0.2,,0,0,36,
seed_count_scan,OPT4C-K4,UR10,100,4,sobol,60,0.03,true,random_reachable,30,6.56495253,0.270112624,15232.4026,0.0,0.84,0.85,0.88,87.7240593,4.55495802,1.11644673,0.857467842,23.0,60.0,0.08,,0,0,16,
seed_count_scan,OPT4C-K8,UR10,100,8,sobol,60,0.03,true,random_reachable,30,6.56619628,0.255112626,15229.5173,0.0,0.93,0.94,0.97,15.5501326,2.75178618,0.804839442,0.737353626,20.0,60.0,0.04,,0,0,7,
seed_count_scan,OPT4C-K16,UR10,100,16,sobol,60,0.03,true,random_reachable,30,6.56939198,0.253726571,15222.1089,0.0,0.96,0.96,0.98,4.38451277,3.1743141,0.573046801,0.519748983,21.0,60.0,0.01,,0,0,4,
seed_count_scan,OPT4C-K1,UR10,500,1,sobol,60,0.03,true,random_reachable,30,21.1360683,0.628963089,23656.2445,0.0,0.502,0.526,0.55,686.162194,4.77105945,51.1132437,0.939560656,60.0,60.0,0.362,,0,0,249,
seed_count_scan,OPT4C-K2,UR10,500,2,sobol,60,0.03,true,random_reachable,30,25.3510602,0.628760784,19723.041,0.0,0.698,0.712,0.748,259.852847,4.09073206,22.6149135,0.919971126,24.0,60.0,0.156,,0,0,151,
seed_count_scan,OPT4C-K4,UR10,500,4,sobol,60,0.03,true,random_reachable,30,29.3906293,0.343065984,17012.2251,0.0,0.846,0.856,0.886,107.66526,3.88005498,1.44368517,0.815875351,20.0,60.0,0.048,,0,0,77,
seed_count_scan,OPT4C-K8,UR10,500,8,sobol,60,0.03,true,random_reachable,30,31.1455723,0.182186473,16053.6463,0.0,0.922,0.926,0.94,37.5968192,3.29177722,0.816590088,0.692314786,20.0,60.0,0.018,,0,0,39,
seed_count_scan,OPT4C-K16,UR10,500,16,sobol,60,0.03,true,random_reachable,30,31.2259573,0.177376078,16012.3193,0.0,0.954,0.954,0.966,4.33796842,2.09849052,0.568232018,0.452852161,20.0,60.0,0.004,,0,0,23,
seed_count_scan,OPT4C-K1,UR10,1000,1,sobol,60,0.03,true,random_reachable,30,39.2499919,0.765748569,25477.7123,0.0,0.522,0.54,0.568,685.013048,4.61401528,51.1132437,0.92759901,50.0,60.0,0.35,,0,0,478,
seed_count_scan,OPT4C-K2,UR10,1000,2,sobol,60,0.03,true,random_reachable,30,49.0888714,0.898828138,20371.216,0.0,0.712,0.733,0.768,208.016609,4.23791373,21.4054849,0.916554217,24.0,60.0,0.152,,0,0,288,
seed_count_scan,OPT4C-K4,UR10,1000,4,sobol,60,0.03,true,random_reachable,30,55.4330332,0.508413822,18039.785,0.0,0.854,0.863,0.893,98.7736713,3.88951518,1.5208828,0.807648106,20.0,60.0,0.047,,0,0,146,
seed_count_scan,OPT4C-K8,UR10,1000,8,sobol,60,0.03,true,random_reachable,30,57.4329502,0.334535115,17411.6077,0.0,0.924,0.929,0.946,36.093694,3.59281972,0.831462589,0.683290526,19.0,60.0,0.021,,0,0,76,
seed_count_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.03,true,random_reachable,30,58.011986,0.177534142,17237.817,0.0,0.954,0.954,0.965,4.56313281,2.54634627,0.529917399,0.448161392,19.0,60.0,0.007,,0,0,46,
