repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.2e-05,0.00595200015,0.002448,6.28169584,0.0104959998,6.314765,0
1,1.7e-05,0.0060800002,0.002203,6.84179211,0.00729600014,6.990588,0
2,1.5e-05,0.00624000002,0.002563,6.52102423,0.00966400001,6.835405,0
3,1.2e-05,0.00585599989,0.002138,6.2829442,0.0112960003,6.316479,0
4,1.2e-05,0.0141120004,0.002225,6.96880007,0.00755200023,7.12677,0
5,1.3e-05,0.00614400022,0.002197,6.41936016,0.0107840002,6.81721,0
6,1.3e-05,0.00611199997,0.002392,6.81433582,0.00518399989,7.203642,0
7,1.4e-05,0.0065919999,0.002139,6.66995192,0.0118079996,6.704393,0
8,2.4e-05,0.0060800002,0.002716,6.47219181,0.0037440001,6.893122,0
9,1.4e-05,0.00585599989,0.002494,6.27961588,0.00473600021,6.691562,0
10,1.3e-05,0.00636800006,0.002205,6.674016,0.0106560001,6.70976,0
11,1.2e-05,0.00614400022,0.002237,6.52582407,0.00934400037,6.839995,0
12,1.3e-05,0.00671999995,0.00306,6.36451197,0.00431999983,6.595688,0
13,1.3e-05,0.00588800013,0.002189,6.88022423,0.0119679999,6.914684,0
14,1.2e-05,0.00591999991,0.002465,6.84435177,0.00841599982,6.994793,0
15,1.2e-05,0.00627199979,0.002985,6.13718414,0.0113279996,6.541094,0
16,1.4e-05,0.00591999991,0.00239,6.66527987,0.0114879999,6.699902,0
17,1.3e-05,0.00598399993,0.002219,6.83849621,0.00777600007,6.987875,0
18,1.8e-05,0.00665599992,0.002155,6.1403842,0.00723200012,6.550861,0
19,1.4e-05,0.00579199987,0.002196,6.66403198,0.0115520004,6.698523,0
20,1.3e-05,0.0060800002,0.003089,6.9101119,0.00761599978,7.060683,0
21,1.4e-05,0.006176,0.002307,6.13196802,0.0064960001,6.52747,0
22,1.3e-05,0.00636800006,0.002041,6.67484808,0.0105919996,6.710507,0
23,1.2e-05,0.00627199979,0.002426,6.90748787,0.0065919999,7.057145,0
24,1.2e-05,0.00713599985,0.002268,6.35641623,0.0120000001,6.93711,0
25,1.2e-05,0.00633599982,0.002372,6.27952003,0.0105280001,6.31321,0
26,1.3e-05,0.00595200015,0.002054,6.89833593,0.00630400004,7.046836,0
27,1.3e-05,0.00627199979,0.002364,6.52649593,0.00966400001,6.842213,0
28,1.3e-05,0.00598399993,0.002692,6.27404785,0.00371200009,6.302368,0
29,1.2e-05,0.00604799995,0.004258,6.90201616,0.00633599982,7.051754,0
