experiment,method,N,K,threshold_level,pos_threshold_mm,rot_threshold_deg,success_rate,pos_p95_all_mm,rot_p95_all_deg,source_csv
threshold_scan,OPT4C-K16,1000,16,Loose,30.0,10.0,0.965,4.56313281140799,0.5299173986746988,data/experiments/results/cuda_opt4c_best_N1000.csv
threshold_scan,OPT4C-K16,1000,16,Medium,10.0,5.0,0.954,4.56313281140799,0.5299173986746988,data/experiments/results/cuda_opt4c_best_N1000.csv
threshold_scan,OPT4C-K16,1000,16,Strict,5.0,1.0,0.954,4.56313281140799,0.5299173986746988,data/experiments/results/cuda_opt4c_best_N1000.csv
threshold_scan,OPT4C-K16,1000,16,Ultra,2.0,0.5,0.851,4.56313281140799,0.5299173986746988,data/experiments/results/cuda_opt4c_best_N1000.csv
threshold_scan,OPT4C-K1,1000,1,Loose,30.0,10.0,0.568,685.01304775775,51.113243654064995,data/experiments/补充实验/results/cuda_opt4c_k1_best_N1000.csv
threshold_scan,OPT4C-K1,1000,1,Medium,10.0,5.0,0.54,685.01304775775,51.113243654064995,data/experiments/补充实验/results/cuda_opt4c_k1_best_N1000.csv
threshold_scan,OPT4C-K1,1000,1,Strict,5.0,1.0,0.522,685.01304775775,51.113243654064995,data/experiments/补充实验/results/cuda_opt4c_k1_best_N1000.csv
threshold_scan,OPT4C-K1,1000,1,Ultra,2.0,0.5,0.249,685.01304775775,51.113243654064995,data/experiments/补充实验/results/cuda_opt4c_k1_best_N1000.csv
threshold_scan,cuRobo-Graph-K16,1000,16,Loose,30.0,10.0,0.998,0.7988865064984763,0.07847434918238838,data/experiments/补充实验/results/curobo_threshold_N1000_K16.rows.csv
threshold_scan,cuRobo-Graph-K16,1000,16,Medium,10.0,5.0,0.997,0.7988865064984763,0.07847434918238838,data/experiments/补充实验/results/curobo_threshold_N1000_K16.rows.csv
threshold_scan,cuRobo-Graph-K16,1000,16,Strict,5.0,1.0,0.988,0.7988865064984763,0.07847434918238838,data/experiments/补充实验/results/curobo_threshold_N1000_K16.rows.csv
threshold_scan,cuRobo-Graph-K16,1000,16,Ultra,2.0,0.5,0.97,0.7988865064984763,0.07847434918238838,data/experiments/补充实验/results/curobo_threshold_N1000_K16.rows.csv
threshold_scan,cuRobo-Graph-K1,1000,1,Loose,30.0,10.0,0.896,101.1759021364187,7.741980991336193,data/experiments/补充实验/results/curobo_threshold_N1000_K1.rows.csv
threshold_scan,cuRobo-Graph-K1,1000,1,Medium,10.0,5.0,0.857,101.1759021364187,7.741980991336193,data/experiments/补充实验/results/curobo_threshold_N1000_K1.rows.csv
threshold_scan,cuRobo-Graph-K1,1000,1,Strict,5.0,1.0,0.838,101.1759021364187,7.741980991336193,data/experiments/补充实验/results/curobo_threshold_N1000_K1.rows.csv
threshold_scan,cuRobo-Graph-K1,1000,1,Ultra,2.0,0.5,0.825,101.1759021364187,7.741980991336193,data/experiments/补充实验/results/curobo_threshold_N1000_K1.rows.csv
