repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.4e-05,0.111840002,0.020248,605.686951,0.0294400007,605.778331,0
1,2.5e-05,0.120480001,0.023329,603.673523,0.0297599994,603.66833,0
2,2.6e-05,0.110944003,0.021207,606.530396,0.0240640007,606.497269,0
3,1.2e-05,0.108000003,0.012553,606.009705,0.0258239992,606.328242,0
4,2.2e-05,0.115424,0.020013,606.972046,0.0281920005,607.256015,0
5,1.2e-05,0.110752001,0.011278,604.872131,0.0226559993,604.982635,0
6,1.6e-05,0.113824002,0.009895,606.761047,0.0263999999,607.19007,0
7,1.8e-05,0.130912006,0.013989,606.702759,0.0232319999,606.689366,0
8,1.2e-05,0.108543999,0.008803,605.543823,0.0283840001,605.641382,0
9,1.3e-05,0.130943999,0.012046,606.416443,0.0245120004,606.809951,0
10,1.2e-05,0.108032003,0.009616,605.411377,0.0372800007,605.42122,0
11,1.7e-05,0.131167993,0.027152,604.82489,0.0239039995,604.819385,0
12,1.2e-05,0.109728001,0.007919,607.336426,0.0233600009,607.549153,0
13,1.4e-05,0.117568001,0.009166,605.408875,0.0323520005,605.417022,0
14,2.3e-05,0.112319998,0.022076,604.592346,0.0257920008,604.989337,0
15,1.9e-05,0.130112007,0.018241,606.422424,0.0283519998,606.433478,0
16,1.8e-05,0.132095993,0.010338,605.779907,0.0287360009,605.804242,0
17,1.9e-05,0.130656004,0.017896,605.076965,0.0251519997,605.097401,0
18,1.2e-05,0.11152,0.009158,605.004333,0.0266559999,605.117817,0
19,1.4e-05,0.133919999,0.019471,603.591003,0.0326079987,603.621206,0
20,2.6e-05,0.112512,0.016624,603.892395,0.0283840001,604.294503,0
21,1.3e-05,0.128064007,0.012144,603.923462,0.0282240007,603.941922,0
22,1.4e-05,0.13504,0.013397,604.53241,0.0226879995,604.940416,0
23,1.3e-05,0.110784002,0.010672,604.738647,0.0264960006,604.734647,0
24,1.2e-05,0.113343999,0.015285,607.236389,0.0259199999,607.367874,0
25,1.3e-05,0.109536,0.009877,609.63678,0.0297279991,609.781531,0
26,1.5e-05,0.147775993,0.012576,610.02594,0.0252800006,610.19936,0
27,2.5e-05,0.116704002,0.022606,609.813843,0.0265280008,609.958071,0
28,1.7e-05,0.108576,0.009391,609.418579,0.0381119996,609.578862,0
29,1.3e-05,0.131200001,0.00983,609.118286,0.0274240002,609.272579,0
